"","name","height","weight","season","age","team.x","lg","pos","g","mp","per","ts","x3p_ar","f_tr","orb","drb","trb","ast","stl","blk","tov","usg","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","x","team.y","gp","w","l","min","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year"
"34","Cole_Aldrich",83,250,"2017",28,"MIN","NBA","C",62,531,12.7,0.549,0,0.256,11,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,0.116,-2.3,1.5,-0.8,0.2,263,"MIN",62,23,39,8.6,3162.2,0.6,0.32,0.28,4.2,4.5,3.91,138,7643979,7300000,0
"35","Cole_Aldrich",83,250,"2018",29,"MIN","NBA","C",21,49,6,0.34,0,0.4,7,28.6,17.6,8.2,2,1.8,5.4,16.8,-0.1,0.1,0,-0.013,-6.8,-0.7,-7.5,-0.1,264,"MIN",21,14,7,2.3,843.6,0.16,0.09,0.07,4.17,4.6,3.72,151,7300000,6956021,0
"46","LaMarcus_Aldridge",83,260,"2017",31,"SAS","NBA","PF",72,2335,18.6,0.532,0.053,0.258,8.5,16.6,12.7,9.9,1,3,7.7,24.5,3.5,3.7,7.2,0.149,0.7,0.1,0.8,1.7,1024,"SAS",71,52,19,32.4,11517,2.18,1.16,1.02,4.05,4.16,3.93,27,20575005,21461010,0
"47","LaMarcus_Aldridge",83,260,"2018",32,"SAS","NBA","C",75,2509,25,0.57,0.068,0.296,10.8,17.3,14,11.3,0.9,3,6.8,29.1,7.4,3.5,10.9,0.209,4.3,-0.4,3.9,3.7,1025,"SAS",75,45,30,33.5,12054.6,2.28,1.23,1.06,4.11,4.23,3.97,37,21461010,22347015,0
"48","LaMarcus_Aldridge",83,260,"2019",33,"SAS","NBA","C",81,2687,22.9,0.576,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,6.4,2.9,9.3,0.167,2.4,-0.6,1.8,2.6,1026,"SAS",81,48,33,33.2,12418.2,2.35,1.26,1.09,4.05,4.25,3.84,38,22347015,2.6e+07,0
"49","LaMarcus_Aldridge",83,260,"2020",34,"SAS","NBA","C",53,1754,19.8,0.571,0.198,0.241,6.3,17.8,12,11.4,1,4.4,7.8,23.6,3.1,1.4,4.4,0.122,1.8,-0.5,1.3,1.5,1027,"SAS",52,22,30,33,12189.6,2.31,1.25,1.06,3.94,4.2,3.68,40,2.6e+07,2.4e+07,0
"50","Nickeil_AlexanderWalker",77,205,"2020",21,"NOP","NBA","SG",41,501,7.6,0.441,0.515,0.123,1.7,15.2,8.4,20.3,1,1.2,14.3,22.8,-0.7,0.4,-0.4,-0.034,-3.5,-1.4,-4.9,-0.4,1244,"NOP",41,18,23,12.2,5388.1,1.02,0.59,0.43,4.69,5.5,3.91,270,2964840,3113160,0
"51","Grayson_Allen",76,198,"2019",23,"UTA","NBA","SG",38,416,7.5,0.516,0.556,0.337,0.8,5.1,3,8.9,0.7,1.1,13.9,24.4,-0.4,0.4,0,0.002,-4.2,-2.1,-6.3,-0.5,594,"UTA",38,22,16,11,4550.1,0.86,0.48,0.38,4.38,4.91,3.87,333,2074320,2429400,0
"52","Grayson_Allen",76,198,"2020",24,"MEM","NBA","SG",30,498,11.4,0.577,0.517,0.199,1.1,12.6,7,11.8,0.6,0.2,10.7,17.9,0.5,0.3,0.7,0.07,-1,-1.5,-2.6,-0.1,595,"MEM",30,14,16,16.6,6859.9,1.3,0.69,0.61,4.38,4.68,4.08,309,2429400,2545320,0
"53","Jarrett_Allen",83,237,"2018",19,"BRK","NBA","C",72,1441,17.5,0.636,0.038,0.37,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,0.141,-0.9,0.1,-0.8,0.5,727,"BKN",70,24,46,20,7830.7,1.48,0.83,0.65,4.46,4.88,4.01,328,1713720,2034120,0
"54","Jarrett_Allen",83,237,"2019",20,"BRK","NBA","C",80,2096,18.5,0.632,0.079,0.489,9.6,24,16.8,7.9,1,4.5,13,15.9,4.4,3.3,7.6,0.175,0.2,1.4,1.6,1.9,728,"BKN",80,42,38,26.2,10389.4,1.97,1.1,0.87,4.23,4.7,3.75,334,2034120,2376840,0
"55","Jarrett_Allen",83,237,"2020",21,"BRK","NBA","C",64,1647,20.3,0.658,0.012,0.574,12.5,25,18.9,7.8,1.1,4.3,12.2,15,4.3,2.8,7.1,0.207,1,1.1,2.1,1.7,729,"BKN",64,30,34,25.7,9759.7,1.85,1.01,0.84,4.05,4.46,3.65,312,2376840,3909902,0
"64","Lavoy_Allen",81,260,"2017",27,"IND","NBA","PF",61,871,11.6,0.485,0.006,0.196,13.7,14.5,14.1,9.1,1,2.4,13.7,10.9,0.9,0.8,1.7,0.093,-1.5,-0.2,-1.7,0.1,1046,"IND",60,31,29,14.5,5426.3,1.03,0.55,0.47,4.27,4.45,4.09,220,4e+06,4300000,0
"66","Justin_Anderson",78,230,"2017",23,"TOT","NBA","SF",75,1228,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,0.6,1.3,1.9,0.074,-0.9,-0.4,-1.3,0.2,898,"PHI",74,23,51,16.6,6297.1,1.19,0.66,0.53,4.34,4.68,3.97,345,1514160,1579440,0
"67","Justin_Anderson",78,230,"2018",24,"PHI","NBA","SF",38,519,13,0.54,0.51,0.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,0.6,0.7,1.2,0.115,-0.6,-0.3,-0.9,0.1,899,"PHI",37,27,10,13.9,5265.9,1,0.54,0.46,4.31,4.64,3.97,339,1579440,2516048,0
"68","Justin_Anderson",78,230,"2019",25,"ATL","NBA","SF",48,463,11.2,0.516,0.49,0.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,0.1,0.4,0.4,0.043,-2.4,-0.3,-2.7,-0.1,900,"ATL",48,17,31,9.7,3919.9,0.74,0.39,0.35,4.25,4.69,3.85,290,2516048,0,1
"69","Justin_Anderson",78,230,"2020",26,"BRK","NBA","SF",3,17,-3.8,0.218,0.5,0.333,0,11.8,6.1,0,0,4.9,0,16.9,-0.1,0,-0.1,-0.167,-12.8,-2.3,-15.1,-0.1,901,"BKN",3,2,1,5.6,2380,0.45,0.25,0.2,4.6,4.44,4.08,522,98144,0,1
"72","Kyle_Anderson",81,230,"2017",23,"SAS","NBA","SF",72,1020,12.5,0.525,0.191,0.273,3.7,19,11.5,12.4,2.5,2.1,14.3,12.1,0.7,2,2.7,0.127,-1.4,3.2,1.8,1,995,"SAS",71,53,18,14.2,5406.1,1.02,0.56,0.46,4.34,4.75,3.92,383,1192080,2151704,0
"73","Kyle_Anderson",81,230,"2018",24,"SAS","NBA","SF",74,1978,15.9,0.582,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,2.4,3.8,6.2,0.151,-0.4,3.3,2.9,2.4,996,"SAS",74,41,33,26.7,10330.2,1.96,1.08,0.88,4.41,4.69,4.1,297,2151704,0,1
"74","Kyle_Anderson",81,230,"2019",25,"MEM","NBA","SF",43,1281,12.8,0.569,0.123,0.232,4.1,18.1,11,15,2.1,2.7,16,12.6,0.8,1.8,2.7,0.1,-1.6,2.4,0.8,0.9,997,"MEM",43,19,24,29.8,11668,2.21,1.19,1.02,4.16,4.27,4.03,148,8641000,9073050,0
"75","Kyle_Anderson",81,230,"2020",26,"MEM","NBA","PF",59,1140,13,0.542,0.221,0.236,5.1,18.3,11.8,15.1,1.9,2.4,15.1,13.3,0.9,1.4,2.2,0.095,-1.3,1.9,0.6,0.7,998,"MEM",59,30,29,19.3,7634,1.45,0.77,0.67,4.2,4.5,3.9,137,9073050,9505100,0
"84","Ryan_Anderson",81,240,"2017",28,"HOU","NBA","PF",72,2116,13.5,0.583,0.655,0.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4,1.1,5.2,0.117,1.7,-2,-0.4,0.9,1424,"HOU",72,50,22,29.4,10319.9,1.95,1.04,0.92,4.01,4.38,3.66,30,18735364,19578455,0
"85","Ryan_Anderson",81,240,"2018",29,"HOU","NBA","PF",66,1725,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1,7.5,14.4,3.1,1.7,4.8,0.132,0.9,-0.8,0.1,0.9,1425,"HOU",66,52,14,26.1,9474.3,1.79,0.95,0.84,4.13,4.39,3.89,42,19578455,20421546,0
"86","Ryan_Anderson",81,240,"2019",30,"TOT","NBA","PF",25,322,4.6,0.414,0.58,0.232,6.1,12.5,9.2,7.8,0.6,0.3,15.5,12,-0.3,0,-0.2,-0.035,-4.5,-1.9,-6.4,-0.4,1426,"MIA",25,7,18,12.8,5072.8,0.96,0.55,0.41,4.2,4.56,3.83,44,20421546,15600000,0
"87","Ryan_Anderson",81,240,"2020",31,"HOU","NBA","PF",2,14,9.5,0.357,0.714,0,0,52.8,26.2,20.1,3.3,0,12.5,23.6,0,0,0,-0.031,-4.1,0.7,-3.4,0,1427,"HOU",2,1,1,7,901.5,0.17,0.09,0.08,3.94,5.01,5.54,196,5214583,5214583,0
"88","Ryan_Anderson",81,240,"2020",31,"HOU","NBA","PF",2,14,9.5,0.357,0.714,0,0,52.8,26.2,20.1,3.3,0,12.5,23.6,0,0,0,-0.031,-4.1,0.7,-3.4,0,1428,"HOU",2,1,1,7,901.5,0.17,0.09,0.08,3.94,5.01,5.54,487,5e+05,0,1
"89","Ike_Anigbogu",82,250,"2018",19,"IND","NBA","C",11,30,21.6,0.558,0,0.667,19,15,16.9,0,1.7,8.9,14.7,20.3,0.1,0,0.1,0.165,1.8,0.1,1.9,0,624,"IND",11,5,6,2.7,971,0.18,0.11,0.08,4.03,4.49,3.93,439,950000,1378242,0
"90","Ike_Anigbogu",82,250,"2019",20,"IND","NBA","C",3,6,-6,0,0,0,18.9,36.2,27.7,19.4,0,14.8,25,29.1,-0.1,0,-0.1,-0.48,-14,-2.3,-16.2,0,625,"IND",3,2,1,2,817.3,0.15,0.08,0.07,4.38,3.86,3.21,430,1378242,1618520,0
"92","Thanasis_Antetokounmpo",78,205,"2020",27,"MIL","NBA","SF",18,93,14.2,0.528,0.194,0.417,12.4,8,10.1,13.8,2.9,1.9,20.5,23.8,0,0.2,0.2,0.083,-4,1.7,-2.3,0,1543,"MIL",17,14,3,5.4,2338.8,0.44,0.24,0.21,4.47,4.61,4.31,408,1445697,1701593,0
"106","Carmelo_Anthony",80,240,"2017",32,"NYK","NBA","SF",74,2538,17.9,0.535,0.303,0.263,2.6,16,9.3,14.5,1.2,1.1,9,29.1,3.2,1.5,4.7,0.089,2.3,-1.6,0.7,1.7,210,"NYK",74,29,45,34.3,11653.2,2.21,1.19,1.01,3.86,4.09,3.63,9,24559380,26243760,0
"107","Carmelo_Anthony",80,240,"2018",33,"OKC","NBA","PF",78,2501,12.7,0.503,0.406,0.165,2.9,17.7,10,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,0.071,-0.6,-1.3,-1.9,0,211,"OKC",76,46,30,32,10604.3,2.01,1.06,0.95,3.77,4.11,3.45,12,26243760,27928140,0
"108","Carmelo_Anthony",80,240,"2019",34,"HOU","NBA","PF",10,294,10.9,0.513,0.529,0.182,3.3,17.3,10.2,2.6,0.7,2,5.8,20.5,0.1,0.2,0.3,0.048,-1.3,-1.4,-2.7,-0.1,212,"HOU",10,4,6,29.4,10368,1.96,1.03,0.94,3.71,3.87,3.59,308,2393887,0,1
