"","x","name","season","team.x","gp.x","w","l","min.x","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year","team.y","age","gp.y","min.y","box_outs","off_box_outs","def_box_outs","team_reb_on_box_outs","player_reb_on_box_outs","x_box_outs_off","x_box_outs_def","x_team_reb_when_box_out","x_player_reb_when_box_out"
"634",634,"Isaiah_Canaan","2018","OKC",20,9,11,21.1,8031.5,1.52,0.81,0.71,4.34,4.58,4.12,484,2e+05,0,1,"MIL",28,30,20.9,0.4,0,0.4,0.4,0,0,100,100,0
"636",636,"Isaiah_Hartenstein","2019","HOU",28,15,13,7.9,3389.8,0.64,0.34,0.3,4.47,4.7,4.23,468,838464,1416852,0,"HOU",22,23,11.6,2.6,0.4,2.2,1.5,0.7,16.7,83.3,92.1,39.5
"638",638,"Isaiah_Hicks","2018","NYK",18,4,14,13.3,5206.7,0.99,0.52,0.47,4.46,4.71,4.17,469,815615,0,1,"NYK",24,3,10.8,1.7,0.3,1.3,0.3,0,20,80,100,0
"640",640,"Isaiah_Taylor","2017","HOU",4,3,1,13,4827.5,0.91,0.47,0.44,4.28,4.41,4.16,534,50000,0,1,"ATL",23,67,17.4,0.4,0,0.4,0.3,0,0,100,90,15
"642",642,"Isaiah_Thomas","2017","BOS",76,51,25,33.8,12280.9,2.33,1.28,1.05,4.14,4.6,3.68,150,6587132,6261395,0,"LAL",29,32,26.9,0.7,0,0.7,0.6,0,0,100,90,5
"643",643,"Isaiah_Thomas","2018","LAL",32,15,17,26.9,9703.8,1.84,1,0.84,4.25,4.67,3.84,168,6261395,0,1,"DEN",30,12,15.1,0,0,0,0,0,0,0,0,0
"644",644,"Isaiah_Thomas","2019","DEN",12,6,6,15.1,5766.8,1.09,0.6,0.49,4.02,4.48,3.57,336,2029463,0,1,"WAS",31,40,23.1,0.2,0,0.2,0.2,0,0,100,87.5,12.5
"646",646,"Isaiah_Whitehead","2017","BKN",73,17,56,22.5,8755.3,1.66,0.87,0.79,4.43,4.83,4.07,391,1074145,1122248,0,"BKN",23,16,11.2,0.6,0.1,0.4,0.4,0.2,22.2,77.8,100,42.9
"648",648,"Ish_Smith","2017","DET",81,37,44,24.1,9717.8,1.84,1.05,0.79,4.58,5.21,3.95,167,6e+06,6e+06,0,"DET",29,82,24.9,0.5,0,0.4,0.2,0,5.3,94.7,69,6.9
"649",649,"Ish_Smith","2018","DET",82,39,43,24.9,10624.9,2.01,1.14,0.87,4.88,5.56,4.21,174,6e+06,6e+06,0,"DET",30,56,22.3,0.6,0,0.6,0.4,0.1,0,100,92.3,23.1
"650",650,"Ish_Smith","2019","DET",56,33,23,22.3,9436.1,1.79,1.05,0.74,4.52,5.13,3.86,192,6e+06,0,1,"WAS",31,60,26.2,0.5,0,0.4,0.3,0.1,3.7,96.3,88.9,16.7
"653",653,"Ivica_Zubac","2017","LAL",38,8,30,16,5986,1.13,0.62,0.52,4.26,4.66,3.86,401,1034956,1081529,0,"LAL",21,43,9.5,2.8,0.5,2.3,1.5,0.6,19.2,80.8,85.3,33.3
"654",654,"Ivica_Zubac","2018","LAL",43,19,24,9.5,3584.7,0.68,0.36,0.32,4.38,4.9,3.92,404,1312611,1544951,0,"LAC",22,59,17.6,4.3,0.7,3.6,2.3,0.9,16.2,83.8,89.9,35.1
"655",655,"Ivica_Zubac","2019","LAC",59,32,27,17.6,6991.7,1.32,0.72,0.61,4.24,4.59,3.89,400,1544951,0,1,"LAC",23,64,18.1,2.8,0.6,2.3,1.8,1.1,19.6,80.4,93.4,57
"657",657,"JJ_Barea","2017","DAL",34,10,24,22.1,7980.4,1.51,0.86,0.65,4.12,4.52,3.68,215,4096950,3903900,0,"DAL",34,69,23.2,0.6,0,0.6,0.5,0.1,2.3,97.7,97.1,20.6
"658",658,"JJ_Barea","2018","DAL",69,23,46,23.2,8826.5,1.67,0.96,0.71,4.32,4.78,3.83,223,3903900,3710850,0,"DAL",35,38,19.8,0.3,0,0.3,0.2,0.1,0,100,85.7,42.9
