"","x","name","season","team.x","gp.x","w","l","min.x","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year","team.y","age","gp.y","min.y","box_outs","off_box_outs","def_box_outs","team_reb_on_box_outs","player_reb_on_box_outs","x_box_outs_off","x_box_outs_def","x_team_reb_when_box_out","x_player_reb_when_box_out"
"772",772,"Jeremy_Lamb","2019","CHA",79,38,41,28.5,11591,2.2,1.21,0.99,4.35,4.74,3.96,165,7488372,0,1,"IND",28,46,28.1,0.3,0,0.3,0.2,0,14.3,85.7,100,25
"774",774,"Jeremy_Lin","2017","BKN",35,13,22,24.5,9497.7,1.8,0.98,0.82,4.41,4.97,3.88,90,11483254,1.2e+07,0,"BKN",29,1,25.2,1,0,1,1,0,0,100,100,0
"775",775,"Jeremy_Lin","2018","BKN",1,0,1,25.2,10502,1.99,1.07,0.92,4.8,5.02,4.54,101,1.2e+07,12516746,0,"TOR",30,74,19.4,0.6,0,0.6,0.3,0.1,0,100,96.3,14.8
"778",778,"Jerian_Grant","2017","CHI",63,29,34,16.3,6080.9,1.15,0.6,0.55,4.25,4.36,4.11,326,1643040,1713840,0,"CHI",25,74,22.8,1.1,0.1,1,0.7,0.1,6.4,93.6,82.8,10.3
"779",779,"Jerian_Grant","2018","CHI",74,24,50,22.8,8694.1,1.65,0.87,0.78,4.34,4.71,4,327,1713840,2639314,0,"ORL",26,60,15.6,0.8,0,0.8,0.6,0,4,96,86.8,5.3
"781",781,"Jerome_Robinson","2019","LAC",33,18,15,9.7,4174.4,0.79,0.42,0.37,4.5,4.96,4.09,268,3046200,3567720,0,"WAS",23,55,13.6,0.4,0,0.4,0.3,0.1,8.3,91.7,83.3,22.2
"783",783,"Jerryd_Bayless","2017","PHI",3,1,2,23.8,8957.3,1.7,0.97,0.73,4.28,4.77,3.77,113,9424084,9e+06,0,"PHI",29,39,23.7,0.6,0.1,0.6,0.3,0,12,88,76.5,0
"784",784,"Jerryd_Bayless","2018","PHI",38,21,17,23.9,9029.7,1.71,0.9,0.81,4.29,4.57,4.02,132,9e+06,8575916,0,"MIN",30,34,19.3,0.1,0,0.1,0.1,0,0,100,100,0
"786",786,"Jevon_Carter","2019","MEM",39,9,30,14.8,6185.9,1.17,0.62,0.55,4.43,4.62,4.23,461,838464,1416852,0,"PHX",24,50,15.1,0.3,0,0.3,0.2,0,0,100,100,22.2
"788",788,"Jimmy_Butler","2017","CHI",76,40,36,37,13728.7,2.6,1.41,1.19,4.23,4.47,3.96,36,17552209,18696918,0,"MIN",28,59,36.7,2.1,0.4,1.8,1.3,0.3,18.9,81.1,84.8,16.3
"789",789,"Jimmy_Butler","2018","MIN",59,37,22,36.7,13707.3,2.6,1.4,1.2,4.26,4.4,4.1,45,19301070,20445779,0,"PHI",29,65,33.6,2.3,0.3,1.9,1.2,0.3,14.4,85.6,82.6,17.4
"790",790,"Jimmy_Butler","2019","PHI",64,38,26,33.5,13557.3,2.57,1.38,1.19,4.32,4.65,3.99,43,20445779,19841627,0,"MIA",30,54,34.3,1.7,0.3,1.4,1.1,0.3,17,83,90.9,24.2
"792",792,"Joakim_Noah","2017","NYK",46,17,29,22.1,8495.4,1.61,0.87,0.74,4.39,4.71,4.06,43,1.7e+07,17765000,0,"NYK",33,7,5.7,1.7,0.9,0.9,0.7,0.6,50,50,71.4,57.1
"793",793,"Joakim_Noah","2018","NYK",7,1,6,5.7,2291.6,0.43,0.23,0.2,4.5,4.87,4.14,55,17765000,18530000,0,"MEM",34,42,16.5,4.7,0.9,3.8,1.8,0.9,18.9,81.1,84.6,42.9
"795",795,"Jodie_Meeks","2017","ORL",36,14,22,20.5,7874.1,1.49,0.8,0.69,4.38,4.74,4.02,152,6540000,0,1,"WAS",30,77,14.5,0.6,0,0.6,0.4,0,2.3,97.7,90.3,9.7
"796",796,"Jodie_Meeks","2018","WAS",77,41,36,14.5,5551,1.05,0.56,0.49,4.42,4.7,4.12,240,3290000,3454500,0,"TOR",31,8,13,0.3,0,0.3,0.1,0,0,100,100,0
"799",799,"Joe_Harris","2017","BKN",51,10,41,21.9,8949.1,1.69,0.92,0.77,4.65,5.19,4.14,425,980431,1051245,0,"BKN",26,78,25.3,2,0.1,1.8,1.3,0.2,7.8,92.2,89.4,15
"800",800,"Joe_Harris","2018","BKN",77,26,51,25.3,10050.7,1.9,1.06,0.84,4.53,4.95,4.1,349,1524305,0,1,"BKN",27,76,30.2,3,0.1,2.9,1.7,0.3,4.8,95.2,91.3,15.2
"801",801,"Joe_Harris","2019","BKN",76,41,35,30.2,12922.1,2.45,1.4,1.04,4.55,5.17,3.92,154,8333333,7670000,0,"BKN",28,63,30.9,1.5,0.1,1.4,1.1,0.2,6.2,93.8,90.7,18.7
"803",803,"Joe_Ingles","2017","UTA",82,51,31,24.1,8797.4,1.67,0.9,0.77,4.16,4.33,3.98,294,2250000,0,1,"UTA",30,82,31.4,2.4,0.1,2.3,1.1,0.2,2.5,97.5,89.3,13.6
"804",804,"Joe_Ingles","2018","UTA",82,48,34,31.4,11897.8,2.25,1.24,1.02,4.33,4.61,4.04,79,14136364,13045455,0,"UTA",31,82,31.3,1.5,0,1.5,0.8,0.2,1.6,98.4,91.9,21.6
"805",805,"Joe_Ingles","2019","UTA",81,50,31,31.3,12478.3,2.36,1.3,1.06,4.25,4.67,3.83,96,13045455,11954546,0,"UTA",32,64,29.9,1.3,0,1.3,0.7,0.1,0,100,87.5,12.5
"807",807,"Joe_Johnson","2017","UTA",78,47,31,23.6,8374.1,1.59,0.89,0.69,4.04,4.38,3.67,98,1.1e+07,10505000,0,"HOU",37,55,21.9,2.1,0.1,2,1,0.3,5.2,94.8,83.3,27.3
"809",809,"Joe_Young","2017","IND",32,18,14,4.1,1655.9,0.31,0.18,0.14,4.54,4.89,4.17,393,1052342,1097658,0,"IND",26,53,10.5,0.3,0,0.3,0.2,0,0,100,100,8.3
"811",811,"Joel_Bolomboy","2017","UTA",12,8,4,4.4,1661.8,0.31,0.18,0.14,4.34,4.59,3.82,455,6e+05,905249,0,"UTA",24,6,6.3,1.5,0.3,1.2,0.7,0.3,22.2,77.8,100,50
"813",813,"Joel_Embiid","2017","PHI",31,13,18,25.4,9229.5,1.75,0.93,0.82,4.15,4.46,3.85,200,4826160,6100266,0,"PHI",24,63,30.4,7.9,1.4,6.5,4.2,1.7,17.4,82.4,87.3,35
"814",814,"Joel_Embiid","2018","PHI",62,41,21,30.4,10768.4,2.04,1.08,0.96,4.04,4.37,3.71,171,6100266,0,1,"PHI",25,64,33.7,7.8,1.6,6.2,4.4,2.3,21,79,89.2,45.7
"815",815,"Joel_Embiid","2019","PHI",63,43,20,33.7,12354.9,2.34,1.27,1.07,3.89,4.26,3.52,22,25467250,27270000,0,"PHI",26,44,30.2,4.5,0.6,3.9,2.9,1.5,13.1,86.9,95.5,50.8
"817",817,"Joffrey_Lauvergne","2017","CHI",70,41,29,14,5155.3,0.98,0.52,0.45,4.19,4.52,3.88,323,1709720,0,1,"SAS",26,55,9.7,3.3,1.1,2.2,1.9,0.8,34.1,65.9,81.6,37.6
"819",819,"John_Collins","2018","ATL",73,21,52,24.1,9485.3,1.8,0.98,0.82,4.47,4.84,4.1,316,1936920,2299080,0,"ATL",21,61,30,6.3,2.4,4,2.9,1.4,37.2,62.8,81.7,37.9
"820",820,"John_Collins","2019","ATL",61,24,37,30,12141.2,2.3,1.25,1.05,4.3,4.66,3.93,317,2299080,2686560,0,"ATL",22,41,33.2,3.2,0.8,2.4,1.7,0.9,25.4,74.6,86.3,45
"822",822,"John_Henson","2017","MIL",58,26,32,19.4,6945.8,1.32,0.67,0.65,4.12,4.28,3.97,74,12517606,11672536,0,"MIL",27,76,25.9,6.8,1.1,5.7,3.5,1.2,16.2,83.8,85.2,29.9
"823",823,"John_Henson","2018","MIL",75,39,36,26,9331.7,1.77,0.89,0.88,4.11,4.31,3.92,106,11422536,10577466,0,"CLE",28,14,13.5,5.1,0.3,4.9,2.4,1.4,5.6,94.4,89.5,50
"824",824,"John_Henson","2019","CLE",14,10,4,13.5,5432.1,1.03,0.55,0.47,4.27,4.75,3.81,121,11327466,9732396,0,"DET",29,40,15,2.1,0.1,2,1.2,0.6,7,93,94.1,45.1
"828",828,"John_Wall","2017","WAS",78,48,30,36.4,12087.6,2.29,1.19,1.1,3.79,4.07,3.52,44,16957900,18063850,0,"WAS",27,41,34.4,0.5,0,0.5,0.4,0.1,0,100,94.1,11.8
"829",829,"John_Wall","2018","WAS",41,23,18,34.4,11211.7,2.12,1.09,1.03,3.71,3.83,3.58,49,18063850,19169800,0,"WAS",28,32,34.5,0.5,0,0.5,0.2,0.1,0,100,87.5,25
"832",832,"Jon_Leuer","2017","DET",75,34,41,25.9,10119.1,1.92,1.03,0.89,4.44,4.81,4.09,100,10991957,10497319,0,"DET",29,8,17.1,5.1,0.3,4.9,2.6,0.5,4.9,95.1,84,16
"833",833,"Jon_Leuer","2018","DET",8,5,3,17.1,7201.1,1.36,0.76,0.6,4.78,5.24,4.3,118,10497319,10002681,0,"DET",30,41,9.8,2.6,0.3,2.3,1.3,0.4,11.1,88.9,83.3,25.8
"835",835,"Jonah_Bolden","2019","PHI",43,24,19,14.6,6082.2,1.15,0.63,0.52,4.45,4.84,4.05,362,1690000,1698450,0,"PHX",24,7,6.7,0.4,0,0.4,0.1,0,0,100,100,0
"838",838,"Jonas_Jerebko","2017","BOS",78,51,27,15.8,6019.1,1.14,0.62,0.52,4.34,4.68,3.99,197,5e+06,0,1,"UTA",31,74,15.3,2.2,0.3,1.8,1.1,0.3,16,84,92.4,22.8
"839",839,"Jonas_Jerebko","2018","UTA",74,45,29,15.3,5971.3,1.13,0.62,0.51,4.47,4.81,4.11,221,4e+06,4200000,0,"GSW",32,73,16.7,2.2,0.3,1.9,0.9,0.5,14.8,85.2,90.7,46.7
"841",841,"Jonas_Valanciunas","2017","TOR",79,49,30,25.9,9300.1,1.76,0.94,0.82,4.1,4.25,3.94,61,14382022,15460675,0,"TOR",26,77,22.4,7.4,2.5,4.9,4,2,33.7,66.3,83.9,42.1
"842",842,"Jonas_Valanciunas","2018","TOR",77,56,21,22.4,8416.1,1.59,0.86,0.74,4.28,4.55,4,71,15460675,16539326,0,"MEM",27,49,22.3,6.7,1.2,5.5,3.3,1.5,17.5,82.5,91.1,40.8
"843",843,"Jonas_Valanciunas","2019","MEM",49,31,18,22.3,8424.1,1.6,0.86,0.74,4.02,4.28,3.75,69,16539326,17617977,0,"MEM",28,62,26.3,5.9,1.4,4.5,3.5,1.9,23.5,76.5,89.8,47.8
"844",844,"Jonathan_Gibson","2017","DAL",17,4,13,13.6,5246.5,0.99,0.56,0.43,4.4,4.89,3.89,487,469943,0,1,"BOS",30,4,10,0.3,0,0.3,0,0,0,100,0,0
"845",845,"Jonathan_Gibson","2017","DAL",17,4,13,13.6,5246.5,0.99,0.56,0.43,4.4,4.89,3.89,478,543471,0,1,"BOS",30,4,10,0.3,0,0.3,0,0,0,100,0,0
"846",846,"Jonathan_Isaac","2018","ORL",27,11,16,19.8,7541.5,1.43,0.77,0.66,4.39,4.71,4.08,215,4186320,4969080,0,"ORL",21,75,26.6,3.6,0.9,2.8,1.3,0.5,23.7,76.3,81.8,30.6
"847",847,"Jonathan_Isaac","2019","ORL",73,35,38,26.5,10914,2.07,1.15,0.92,4.43,4.83,4.02,216,4969080,5806440,0,"ORL",22,32,29.7,2.3,0.3,2,1.1,0.4,12.3,87.7,94.4,36.1
"849",849,"Jonathon_Simmons","2017","SAS",77,60,17,17.9,6752.3,1.28,0.7,0.58,4.31,4.64,3.97,435,874636,0,1,"ORL",28,69,29.4,1.5,0.1,1.4,0.7,0,9.6,90.4,84.2,5.3
"850",850,"Jonathon_Simmons","2018","ORL",69,21,48,29.4,11252.8,2.13,1.12,1.01,4.38,4.66,4.11,165,6300000,6e+06,0,"PHI",29,56,19,0.7,0.1,0.7,0.4,0.1,7.3,92.7,88.5,11.5
"852",852,"Jordan_Bell","2018","GSW",57,43,14,14.2,5504.3,1.04,0.54,0.5,4.4,4.66,4.17,443,815615,1378252,0,"GSW",24,68,11.6,1.9,0.2,1.6,0.8,0.2,11.1,88.9,85.9,23.4
"853",853,"Jordan_Bell","2019","GSW",68,46,22,11.6,4511.5,0.85,0.45,0.4,4.19,4.47,3.92,415,1378252,0,1,"MEM",25,29,8.8,0.6,0.1,0.5,0.5,0.2,23.5,76.5,100,53.8
"855",855,"Jordan_Clarkson","2017","LAL",82,26,56,29.2,11179.7,2.12,1.13,0.99,4.35,4.68,4.03,77,12500000,11562500,0,"CLE",26,81,23.3,1.2,0.1,1.1,0.8,0.1,9.2,90.8,93.2,11
"856",856,"Jordan_Clarkson","2018","CLE",81,40,41,23.3,9143.4,1.73,0.93,0.8,4.46,4.89,4.06,105,11562500,12500000,0,"CLE",27,81,27.3,1.4,0.1,1.3,0.8,0.1,7.3,92.7,85.3,13.3
"857",857,"Jordan_Clarkson","2019","CLE",81,18,63,27.3,10901.8,2.06,1.15,0.91,4.28,4.66,3.89,103,12500000,13437500,0,"UTA",27,63,24.2,1,0,1,0.6,0.2,3.1,96.9,88.9,24.4
"866",866,"Jordan_Mickey","2017","BOS",25,9,16,5.6,2139,0.41,0.21,0.19,4.3,4.6,4.1,378,1223653,1276346,0,"MIA",23,23,12.4,3.4,0.7,2.7,1.7,0.7,21.5,78.5,90.9,38.6
"868",868,"Jose_Calderon","2017","ATL",41,15,26,13.1,5036.9,0.95,0.52,0.43,4.37,4.74,3.99,136,7708427,0,1,"CLE",36,57,16,0.7,0,0.7,0.4,0.1,2.6,97.4,75.9,13.8
"869",869,"Jose_Calderon","2018","CLE",57,33,24,16,6215.6,1.18,0.62,0.55,4.42,4.64,4.2,289,2328652,0,1,"DET",37,49,12.9,0.5,0,0.5,0.4,0,0,100,94.7,0
"871",871,"Josh_Hart","2018","LAL",63,27,36,23.2,8943.5,1.69,0.87,0.83,4.4,4.71,4.11,385,1394520,1655160,0,"LAL",24,67,25.6,1.2,0,1.2,0.5,0.1,0,100,89.5,18.4
"872",872,"Josh_Hart","2019","LAL",67,31,36,25.6,10489.5,1.99,1.04,0.95,4.33,4.68,4.01,368,1655160,1934160,0,"NOP",25,57,27.4,1.1,0,1.1,0.5,0.2,0,100,96.3,37
"874",874,"Josh_Huestis","2017","OKC",2,0,2,15.4,6276,1.19,0.62,0.57,4.67,4.84,4.14,384,1191480,1242840,0,"OKC",26,69,14.2,1.6,0.3,1.3,1.1,0.2,18.6,81.4,91.6,19.3
"876",876,"Josh_Jackson","2018","PHX",77,19,58,25.4,10022.3,1.9,1.02,0.88,4.5,4.93,4.1,196,5090040,6041520,0,"PHX",22,79,25.2,1.9,0.1,1.7,0.8,0.2,7.4,92.6,81,17.7
"877",877,"Josh_Jackson","2019","PHX",79,19,60,25.2,10017.9,1.9,1.01,0.88,4.21,4.5,3.92,189,6041520,7059480,0,"MEM",23,18,19.8,0.8,0.2,0.6,0.4,0.1,21.4,78.6,80,20
"880",880,"Josh_McRoberts","2017","MIA",22,6,16,17.3,6322.4,1.2,0.69,0.51,4.15,4.49,3.76,173,5782450,6021175,0,"DAL",31,2,2.9,0.5,0,0.5,0,0,0,100,0,0
"882",882,"Josh_Okogie","2019","MIN",74,32,42,23.8,9842.3,1.86,0.96,0.9,4.4,4.44,4.35,329,2160720,2530680,0,"MIN",21,62,25,0.4,0.2,0.3,0.3,0.1,37,63,89.5,47.4
"884",884,"Josh_Richardson","2017","MIA",53,23,30,30.5,11435,2.17,1.18,0.99,4.27,4.53,4,439,874636,1014746,0,"MIA",24,81,33.2,1.7,0.1,1.6,0.9,0.1,5.8,94.2,85.9,9.4
"885",885,"Josh_Richardson","2018","MIA",80,43,37,33.2,12934.8,2.45,1.33,1.12,4.43,4.72,4.12,363,1471382,0,1,"MIA",25,73,34.8,1.6,0.1,1.4,0.8,0.1,8.8,91.2,84.7,15.3
"886",886,"Josh_Richardson","2019","MIA",73,35,38,34.8,14120.4,2.67,1.5,1.17,4.3,4.72,3.85,141,9367200,10100000,0,"PHI",26,48,30.7,0.5,0.1,0.4,0.3,0.1,13.6,86.4,94.4,22.2
"889",889,"Jrue_Holiday","2017","NOP",67,32,35,32.7,12430.5,2.35,1.28,1.08,4.33,4.95,3.78,91,11286518,0,1,"NOP",28,81,36.1,2.5,0.1,2.3,1.2,0.2,6,94,81.4,16.1
"890",890,"Jrue_Holiday","2018","NOP",81,47,34,36.1,13957.3,2.64,1.41,1.24,4.4,4.91,3.93,14,25686667,26131111,0,"NOP",29,67,35.9,1.8,0.2,1.6,0.9,0.2,9.2,90.8,82.9,17.1
"891",891,"Jrue_Holiday","2019","NOP",67,30,37,35.9,14546.4,2.75,1.51,1.25,4.32,4.92,3.76,18,25976111,26131111,0,"NOP",29,55,34.9,1.6,0.1,1.5,0.8,0.1,4.5,95.5,92,16
"894",894,"Julius_Randle","2017","LAL",74,24,50,28.8,10344.4,1.96,1.08,0.88,4.09,4.49,3.68,246,3267120,4149242,0,"LAL",23,82,26.7,5.5,1,4.5,3,1.3,18.6,81.4,86.1,37.2
"895",895,"Julius_Randle","2018","LAL",82,35,47,26.7,9538,1.81,0.96,0.85,4.13,4.54,3.74,217,4149242,0,1,"NOP",24,73,30.6,4.5,0.9,3.6,2.3,1.2,20.7,79.3,82.6,43
"896",896,"Julius_Randle","2019","NOP",73,31,42,30.6,11509.7,2.18,1.16,1.02,4.01,4.36,3.67,149,8641000,9073050,0,"NYK",25,64,32.5,2.7,0.6,2.2,1.8,1,20,80,95,52.9
"898",898,"Justin_Anderson","2017","PHI",74,23,51,16.6,6297.1,1.19,0.66,0.53,4.34,4.68,3.97,345,1514160,1579440,0,"PHI",24,38,13.7,0.7,0.1,0.7,0.5,0.1,7.4,92.6,90,25
"899",899,"Justin_Anderson","2018","PHI",37,27,10,13.9,5265.9,1,0.54,0.46,4.31,4.64,3.97,339,1579440,2516048,0,"ATL",25,48,9.7,0.8,0.1,0.7,0.3,0.1,10.5,89.5,89.5,36.8
"900",900,"Justin_Anderson","2019","ATL",48,17,31,9.7,3919.9,0.74,0.39,0.35,4.25,4.69,3.85,290,2516048,0,1,"BKN",26,3,5.6,0.3,0,0.3,0,0,0,100,0,0
"903",903,"Justin_Holiday","2017","NYK",82,31,51,20,7733.4,1.46,0.79,0.68,4.4,4.78,4.04,406,1015696,0,1,"CHI",29,72,31.5,1.3,0,1.3,0.9,0.2,3.2,96.8,95.7,21.7
"904",904,"Justin_Holiday","2018","CHI",72,24,48,31.5,12448.9,2.36,1.27,1.09,4.5,4.92,4.09,206,4615385,4384616,0,"MEM",30,82,31.8,1.7,0.1,1.7,1,0.2,2.8,97.2,88.9,20
"905",905,"Justin_Holiday","2019","MEM",81,25,56,31.7,12989.7,2.46,1.33,1.13,4.37,4.69,4.03,226,4384616,0,1,"IND",31,65,24.9,1.7,0,1.7,1.1,0.3,0.9,99.1,93.2,26
"907",907,"Justin_Jackson","2018","SAC",68,21,47,22.1,8625,1.63,0.88,0.75,4.47,4.8,4.13,280,2365560,2807880,0,"DAL",24,81,19.9,1.4,0.1,1.3,0.7,0.1,5.5,94.5,85.3,17.6
"908",908,"Justin_Jackson","2019","DAL",81,36,45,19.9,8198.9,1.55,0.85,0.71,4.38,4.8,3.96,275,2807880,3280920,0,"DAL",25,58,16,0.9,0,0.8,0.5,0.1,2,98,93.5,22.6
"911",911,"Justin_Patton","2018","MIN",1,0,1,3.7,1347,0.26,0.12,0.13,4.81,4.57,2.47,292,2247480,2667600,0,"PHI",22,3,6.9,2.7,0.3,2.3,0.7,0.3,12.5,87.5,100,50
"912",912,"Justin_Patton","2019","PHI",3,2,1,6.9,2884,0.55,0.32,0.23,4.45,5,3.9,281,2667600,3117240,0,"OKC",22,5,4.9,1,0,1,0.2,0,0,100,100,0
"915",915,"Justise_Winslow","2017","MIA",18,4,14,34.7,12841.3,2.43,1.32,1.11,4.22,4.52,3.89,276,2593440,2705040,0,"MIA",22,68,24.7,2.9,0.3,2.6,1.6,0.5,10.6,89.4,91.8,29.5
"916",916,"Justise_Winslow","2018","MIA",67,32,35,24.7,9540.1,1.81,0.97,0.84,4.4,4.63,4.14,262,2705040,3448926,0,"MIA",23,66,29.7,1.4,0.2,1.2,0.9,0.3,12.8,87.2,86.6,29.9
"917",917,"Justise_Winslow","2019","MIA",66,30,36,29.7,11713.7,2.22,1.22,1,4.19,4.54,3.84,250,3448926,1.3e+07,0,"MEM",24,11,32,1.2,0.1,1.1,0.5,0.2,7.7,92.3,62.5,25
"919",919,"Jusuf_Nurkic","2017","POR",64,33,31,21.6,7880.4,1.49,0.81,0.68,4.16,4.45,3.86,313,1921320,2947305,0,"POR",23,79,26.4,8.6,2.2,6.4,4.9,2.3,25.7,74.3,85.7,41.3
"920",920,"Jusuf_Nurkic","2018","POR",79,48,31,26.4,9815.8,1.86,1.02,0.84,4.25,4.56,3.92,257,2947305,0,1,"POR",24,72,27.4,8.4,2.3,6.1,4.4,2.2,27.2,72.8,87.1,43.1
"923",923,"KarlAnthony_Towns","2017","MIN",82,31,51,37,13353.1,2.53,1.35,1.18,4.11,4.28,3.94,170,5960160,6216840,0,"MIN",22,82,35.6,7.7,1.2,6.5,4.5,2.3,15.6,84.4,91.4,46.8
"924",924,"KarlAnthony_Towns","2018","MIN",82,47,35,35.6,12738.5,2.41,1.27,1.14,4.07,4.16,3.98,169,6216840,7839435,0,"MIN",23,77,33,5.5,0.7,4.8,2.7,1.3,12.6,87.4,89.3,42.9
"925",925,"KarlAnthony_Towns","2019","MIN",77,34,43,33,12486.2,2.36,1.25,1.12,4.01,4.15,3.87,163,7839435,27250000,0,"MIN",24,35,33.9,3.4,0.4,3,2.1,1.2,11.7,88.3,90.1,50.6
"927",927,"Kawhi_Leonard","2017","SAS",73,54,19,33.5,13000.5,2.46,1.38,1.08,4.43,4.86,3.97,34,17638063,18868625,0,"SAS",27,9,23.3,1.2,0.1,1.1,0.8,0.3,9.1,90.9,100,42.9
"928",928,"Kawhi_Leonard","2018","SAS",9,5,4,23.3,9013.4,1.71,0.95,0.76,4.5,4.87,4.05,47,18868625,20099189,0,"TOR",28,60,34,2.4,0.2,2.2,1.5,0.6,8.4,91.6,84.8,32.4
"929",929,"Kawhi_Leonard","2019","TOR",60,41,19,34,13517.8,2.56,1.38,1.18,4.23,4.63,3.84,36,23114067,21329752,0,"LAC",28,51,32.2,1.6,0,1.6,0.9,0.3,0,100,88.7,32.1
"931",931,"Kay_Felder","2017","CLE",42,25,17,9.2,3651.8,0.69,0.36,0.33,4.52,4.79,4.25,481,543471,905249,0,"DET",23,16,8.7,0.3,0,0.3,0.3,0.1,0,100,100,25
"933",933,"Keita_BatesDiop","2019","MIN",30,10,20,16.8,6754.2,1.28,0.67,0.61,4.22,4.38,4.07,460,838464,1416852,0,"DEN",24,39,17.1,0.6,0,0.6,0.3,0.1,0,100,100,16.7
"936",936,"Kelly_Olynyk","2017","BOS",75,49,26,20.5,7586.4,1.44,0.78,0.66,4.22,4.55,3.88,252,3094014,0,1,"MIA",27,76,23.4,5.7,1.4,4.3,2.8,1.1,24.6,75.4,83.5,31.5
"937",937,"Kelly_Olynyk","2018","MIA",75,41,34,23.3,8848.8,1.68,0.91,0.76,4.31,4.64,3.98,112,10607169,11137527,0,"MIA",28,79,22.9,3.7,0.6,3.1,1.7,0.6,16.2,83.8,84.9,28.3
"938",938,"Kelly_Olynyk","2019","MIA",79,39,40,22.9,9197.3,1.74,0.98,0.76,4.26,4.68,3.83,110,12137527,11667885,0,"MIA",29,59,18.5,2.3,0.2,2,1.3,0.3,9.8,90.2,86.2,20.7
"940",940,"Kemba_Walker","2017","CHA",79,36,43,34.7,12613.8,2.39,1.33,1.06,4.14,4.59,3.69,87,1.2e+07,1.2e+07,0,"CHA",28,80,34.2,0.7,0,0.7,0.4,0,3.6,96.4,74.5,4.3
"941",941,"Kemba_Walker","2018","CHA",80,36,44,34.2,12611.1,2.39,1.33,1.06,4.2,4.66,3.73,99,1.2e+07,1.2e+07,0,"CHA",29,82,34.9,0.9,0,0.9,0.6,0.1,0,100,90.9,14.5
"942",942,"Kemba_Walker","2019","CHA",82,39,43,34.9,13477.9,2.55,1.46,1.09,4.13,4.69,3.56,113,1.2e+07,0,1,"BOS",30,50,31.8,0.5,0,0.5,0.3,0.1,0,100,87.5,18.8
"945",945,"Kenneth_Faried","2017","DEN",60,28,32,21.3,8004.9,1.52,0.81,0.7,4.28,4.55,4.01,84,12078652,12921348,0,"DEN",28,32,14.4,4.4,1.8,2.6,2.3,1,41.4,58.6,86.9,38.1
"946",946,"Kenneth_Faried","2018","DEN",32,16,16,14.4,5387.3,1.02,0.55,0.47,4.28,4.52,4.01,91,12921348,13764045,0,"HOU",29,37,19.7,5,1.4,3.6,2.6,1.5,27.3,72.7,85.8,47.8
"948",948,"Kenrich_Williams","2019","NOP",46,17,29,23.5,9896,1.87,1.01,0.87,4.5,4.83,4.18,473,838464,1416852,0,"NOP",25,35,22.3,2.1,0.1,1.9,0.9,0.2,5.6,94.4,83.8,18.9
"950",950,"Kent_Bazemore","2017","ATL",73,39,34,26.9,10223.4,1.94,1,0.93,4.34,4.62,4.07,52,15730338,16910113,0,"ATL",28,65,27.5,0.9,0,0.9,0.5,0.1,1.8,98.2,85.3,17.6
"951",951,"Kent_Bazemore","2018","ATL",64,19,45,27.5,10809.1,2.05,1.08,0.96,4.48,4.73,4.24,62,16910113,18089887,0,"ATL",29,67,24.5,0.7,0,0.7,0.4,0.1,0,100,87.5,28.1
"952",952,"Kent_Bazemore","2019","ATL",67,24,43,24.5,10135.4,1.92,1.01,0.91,4.36,4.71,4.03,59,18089887,19269662,0,"SAC",30,64,25.1,0.5,0,0.4,0.3,0.1,3.4,96.6,94.1,47.1
"954",954,"Kentavious_CaldwellPope","2017","DET",76,33,43,33.3,12501.3,2.37,1.26,1.1,4.27,4.62,3.95,230,3678319,0,1,"LAL",25,74,33.2,2.1,0.3,1.9,1.3,0.4,13.2,86.8,89.8,26.9
"955",955,"Kentavious_CaldwellPope","2018","LAL",74,31,43,33.2,12482.7,2.36,1.22,1.14,4.35,4.69,4.03,56,17745894,0,1,"LAL",26,82,24.8,1,0.1,0.9,0.5,0.1,8.3,91.7,89.6,16.7
"956",956,"Kentavious_CaldwellPope","2019","LAL",82,37,45,24.8,10024.5,1.9,1.01,0.89,4.28,4.64,3.93,111,1.2e+07,0,1,"LAL",27,63,25.5,1,0.1,0.8,0.5,0.1,14.8,85.2,81.1,24.3
"958",958,"Kevin_Durant","2017","GSW",62,51,11,33.4,11874.8,2.25,1.17,1.08,4.05,4.55,3.62,6,26540100,27734406,0,"GSW",29,68,34.2,1.9,0.1,1.8,1.1,0.4,4.7,95.3,91.4,37
"959",959,"Kevin_Durant","2018","GSW",68,49,19,34.2,12128.8,2.3,1.21,1.09,4.06,4.55,3.63,16,2.5e+07,26250000,0,"GSW",30,78,34.6,1.4,0.1,1.4,0.9,0.4,4.5,95.5,100,40
"961",961,"Kevin_Huerter","2019","ATL",75,27,48,27.3,11336.1,2.15,1.14,1.01,4.41,4.72,4.1,320,2250960,2636280,0,"ATL",21,56,31.4,1,0.1,0.9,0.7,0.2,8.6,91.4,95.3,20.9
"963",963,"Kevin_Love","2017","CLE",60,40,20,31.4,11328.6,2.15,1.13,1.02,4.1,4.27,3.93,24,21165675,22642350,0,"CLE",29,59,28,7.6,1.3,6.3,4.3,1.9,17.2,82.6,87.2,38.9
"964",964,"Kevin_Love","2018","CLE",59,37,22,28,10488.8,1.99,1.05,0.94,4.27,4.46,4.09,30,22642350,24119025,0,"CLE",30,22,27.2,3.2,0.6,2.5,1.4,1.1,20,80,90.9,72.7
