"","name","height","weight","season","age.x","team.x","lg","pos","g","mp","per","ts","x3p_ar","f_tr","orb","drb","trb","ast","stl","blk","tov","usg","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","x","team.y","gp.x","w.x","l.x","min.x","dist_miles","avg_speed","rk","salary_current","contract_year","team.x.x","age.y","gp.y","min.y","box_outs","off_box_outs","def_box_outs","team_reb_on_box_outs","player_reb_on_box_outs","x_box_outs_off","x_box_outs_def","x_team_reb_when_box_out","x_player_reb_when_box_out","team.y.y","w.y","l.y","min","pts","touches","front_ct_touches","time_of_poss","avg_sec_per_touch","avg_drib_per_touch","pts_per_touch","elbow_touches","post_ups","paint_touches","pts_per_elbow_touch","pts_per_post_touch","pts_per_paint_touch"
"624","Troy_Daniels",76,205,"2017",25,"MEM","NBA","SG",67,1183,10.4,0.531,0.717,0.109,2.1,7.8,4.8,6.6,0.9,0.3,8,21.7,0.5,0.8,1.3,0.051,0.2,-1.9,-1.8,0,1608,"MEM",67,33,34,17.7,1.26,4.3,245,3332940,0,"PHX",26,79,20.5,1.1,0.1,1,0.6,0.1,6,94,81.8,16.4,"PHX",20,59,20.5,8.9,24.4,18.6,0.7,1.73,1.04,0.364,0.4,0,0.2,0.645,1,0.588
"625","Troy_Daniels",76,205,"2018",26,"PHO","NBA","SG",79,1622,9.8,0.583,0.797,0.111,0.8,7.7,4.2,4.5,0.8,0.2,8.5,17.2,1.4,0,1.4,0.042,-0.5,-2.1,-2.6,-0.3,1609,"PHX",79,20,59,20.5,1.57,4.59,234,3408520,0,"PHX",27,51,14.9,0.7,0,0.7,0.4,0,5.6,94.4,95.5,0,"PHX",13,38,14.9,6.2,19.2,13.3,0.7,2.03,1.36,0.324,0.3,0,0.6,0.538,0,0.903
"626","Troy_Daniels",76,205,"2019",27,"PHO","NBA","SG",51,760,9.8,0.558,0.705,0.084,1.9,8.9,5.3,5,1.6,0.5,8.7,17.6,0.2,0.1,0.3,0.02,-1.7,-2,-3.7,-0.3,1610,"PHX",51,13,38,14.9,1.16,4.36,260,3258539,1,"DEN",28,42,10.9,0.6,0.1,0.5,0.5,0.1,13,87,95,20,"DEN",32,10,10.9,4.1,8.8,6.6,0.3,1.76,0.98,0.47,0.2,0,0.4,1,0,0.611
"633","Anthony_Davis",82,253,"2017",23,"NOP","NBA","C",75,2708,27.5,0.58,0.088,0.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,5.9,5.1,11,0.195,4.4,1.4,5.9,5.4,86,"NOP",75,31,44,36.1,2.38,3.96,16,22116750,0,"NOP",25,75,36.4,5.9,1.6,4.3,3,1.6,27.5,72.5,84.4,44.1,"NOP",45,30,36.4,28.1,71.7,43.9,2.3,1.93,0.85,0.392,4.4,6.4,10.1,0.681,0.614,1.153
"634","Anthony_Davis",82,253,"2018",24,"NOP","NBA","PF",75,2727,28.9,0.612,0.111,0.409,7.7,24.8,16.5,10.8,2,5.6,8.6,30,8.8,4.9,13.7,0.241,5.3,1.4,6.7,5.9,87,"NOP",75,45,30,36.4,2.39,3.96,22,23775506,0,"NOP",26,56,33,4.5,0.9,3.6,2.7,1.6,20,80,91.6,55.1,"NOP",25,31,33,25.9,73.7,45.7,2.6,2.11,1.04,0.352,3.8,7,8.9,0.617,0.543,1.117
"635","Anthony_Davis",82,253,"2019",25,"NOP","NBA","C",56,1850,30.3,0.597,0.141,0.422,9.9,27.5,18.8,19,2.2,6,8.4,29.5,6.4,3.1,9.5,0.247,7.1,2.3,9.4,5.3,88,"NOP",56,25,31,33,2.28,3.9,24,25434263,0,"LAL",27,55,34.3,1.8,0.4,1.4,1,0.5,21.2,78.8,90.5,41.3,"LAL",43,12,34.3,26.7,64.5,42,2.5,2.33,1.11,0.413,3.4,9,7.6,0.654,0.519,1.11
"637","Deyonta_Davis",83,237,"2017",20,"MEM","NBA","C",36,238,10.6,0.528,0,0.383,9.3,19.8,14.4,1.3,0.7,6.8,12.7,12,0.1,0.4,0.5,0.097,-5,0.4,-4.6,-0.2,425,"MEM",36,23,13,6.6,0.45,4.12,362,1369229,0,"MEM",21,62,15.2,4.5,0.8,3.7,2.1,0.8,18.3,81.7,86,32.7,"MEM",16,46,15.2,5.8,22.1,12.1,0.5,1.36,0.24,0.263,2.2,0.4,3.9,0.191,0.308,1.061
"638","Deyonta_Davis",83,237,"2018",21,"MEM","NBA","C",62,943,16.6,0.621,0,0.215,9,22,15.3,7.1,0.8,3.9,9.9,15.3,1.9,0.8,2.7,0.138,-0.9,-0.6,-1.5,0.1,426,"MEM",62,16,46,15.2,1.09,4.33,390,1312611,0,"ATL",22,9,13.2,2.9,0.6,2.3,1.4,0.6,19.2,80.8,81.3,31.3,"ATL",3,6,13.2,4,17.3,8.9,0.3,1.11,0.08,0.231,0.6,0,3.4,0.4,0,0.968
"646","Ed_Davis",81,225,"2017",27,"POR","NBA","PF",46,789,11.5,0.563,0,0.57,13.4,20.9,17.1,4.6,0.9,2.2,17.2,12,1,0.7,1.7,0.104,-3.2,-0.8,-4.1,-0.4,490,"POR",46,19,27,17.1,1.22,4.26,149,6666667,0,"POR",29,78,18.9,9,2.5,6.5,4.6,1.8,28,71.9,85,32.9,"POR",48,30,18.9,5.3,30.5,12.3,0.8,1.67,0.45,0.174,1.8,0.4,4.8,0.507,0.393,0.777
"647","Ed_Davis",81,225,"2018",28,"POR","NBA","C",78,1471,15.5,0.607,0.003,0.38,13.7,28.8,21.3,3.9,1.1,2.9,16.2,12.1,2.5,2.5,5,0.164,-1.2,0.6,-0.6,0.5,491,"POR",78,48,30,18.9,1.35,4.3,164,6352531,1,"BKN",30,81,17.9,8.1,1.8,6.3,4.3,1.9,21.9,78.1,87.6,40,"BKN",42,39,17.9,5.8,32.1,15.5,0.8,1.51,0.4,0.181,2.1,0.1,5,0.565,0.714,0.894
"648","Ed_Davis",81,225,"2019",29,"BRK","NBA","C",81,1446,17.3,0.632,0.007,0.536,15.8,34.6,25.2,6,1.2,1.8,14.6,12.7,3.3,2.5,5.7,0.191,-0.6,0.7,0,0.7,492,"BKN",81,42,39,17.9,1.34,4.19,224,4449000,1,"UTA",30,25,10.7,2.8,0.4,2.4,1.6,0.8,14.3,85.7,88.6,43.2,"UTA",15,10,10.7,1.3,18.2,8.2,0.5,1.65,0.45,0.073,1.2,0.1,2.2,0.069,1,0.446
"659","DeMar_DeRozan",78,220,"2017",27,"TOR","NBA","SG",74,2620,24,0.552,0.08,0.419,3,13.6,8.3,20.6,1.5,0.4,9,34.3,6.7,2.4,9,0.166,4.1,-1,3,3.3,375,"TOR",73,46,27,35.5,2.4,4.06,2,26540100,0,"TOR",28,80,33.9,1.4,0,1.3,0.9,0.1,0.9,99.1,89.7,12.8,"TOR",57,23,33.9,23,63.3,38.2,4.9,4.68,3.99,0.363,1.4,1.2,1.1,0.618,0.452,0.857
"660","DeMar_DeRozan",78,220,"2018",28,"TOR","NBA","SG",80,2711,21,0.555,0.203,0.396,2.5,10.4,6.5,25,1.5,0.6,9.5,29.6,6.8,2.8,9.6,0.17,3.3,-0.6,2.8,3.2,376,"TOR",80,57,23,33.9,2.39,4.24,10,27739975,0,"SAS",29,77,34.9,1.5,0,1.5,1,0.2,0.9,99.1,92.6,19.8,"SAS",44,33,34.9,21.2,59.9,31.1,5.1,5.1,4.65,0.354,1.2,2.4,1.1,0.6,0.481,0.816
"661","DeMar_DeRozan",78,220,"2019",29,"SAS","NBA","SG",77,2688,19.6,0.542,0.034,0.336,2.2,16.4,9.4,27.6,1.6,1.1,11.7,27.9,3.6,2.6,6.3,0.112,1,0.1,1.1,2.2,377,"SAS",77,44,33,34.9,2.56,4.18,15,27739975,0,"SAS",30,61,34.3,1.5,0,1.5,0.9,0.2,0,100,86.9,19.7,"SAS",25,35,34.3,22.2,61.2,32.8,5,4.9,4.38,0.363,1.1,1.8,1.1,0.477,0.453,0.697
"666","Dewayne_Dedmon",84,245,"2017",27,"SAS","NBA","C",76,1330,16,0.645,0,0.359,11.2,30.6,21.1,4.8,1.4,3.7,16.9,12.3,2.3,3,5.2,0.189,-1.4,2,0.6,0.9,421,"SAS",75,55,20,17.5,1.22,4.19,262,2898000,0,"ATL",28,62,24.9,5.2,1.1,4.1,2.6,1.2,21.2,78.8,84.1,39.7,"ATL",18,43,24.9,10,42,24.6,1,1.47,0.33,0.239,3.8,0.6,4.2,0.393,0.429,0.981
"667","Dewayne_Dedmon",84,245,"2018",28,"ATL","NBA","C",62,1542,15.8,0.599,0.296,0.18,7.2,28.1,17.7,9.2,1.3,2.8,14.3,17,1.8,1.9,3.7,0.114,-0.4,0.5,0.1,0.8,422,"ATL",61,18,43,24.9,1.77,4.29,179,6e+06,0,"ATL",29,64,25.1,5.3,0.7,4.6,2.5,1.1,13.8,85.9,89.1,38.8,"ATL",24,40,25.1,10.8,45.9,25.9,1.2,1.53,0.44,0.236,2.4,0.7,5.3,0.506,0.5,0.893
"668","Dewayne_Dedmon",84,245,"2019",29,"ATL","NBA","C",64,1609,16,0.602,0.413,0.215,6.7,25,15.7,8.1,2,3.8,12.7,16.7,2.1,1.9,4,0.119,-0.3,0.8,0.5,1,423,"ATL",64,24,40,25.1,1.88,4.19,172,7200000,1,"ATL",30,44,17.6,2.7,0.4,2.4,1.8,1,13.3,86.7,96.3,53.7,"ATL",17,27,17.6,5.8,26.4,14,0.7,1.58,0.36,0.22,1.5,0.6,3.5,0.727,0.571,0.84
"670","Sam_Dekker",81,230,"2017",22,"HOU","NBA","PF",77,1419,13.1,0.549,0.436,0.159,7.2,14.6,10.9,7.7,1.3,1.2,8.2,14.9,1.9,1.2,3.1,0.104,0.3,-0.6,-0.2,0.6,1437,"HOU",77,52,25,18.4,1.41,4.6,322,1720560,0,"LAC",24,73,12.1,2,0.3,1.7,1,0.3,15.5,84.5,75.5,22.3,"LAC",36,37,12.1,4.2,18.4,9.8,0.5,1.67,0.86,0.225,0.3,0.1,1.4,1.273,0.333,0.879
"671","Sam_Dekker",81,230,"2018",23,"LAC","NBA","PF",73,883,11.5,0.534,0.232,0.216,5.6,16,10.8,6.2,1.3,0.9,10.4,15.5,0.6,0.6,1.2,0.066,-2.3,-0.6,-2.9,-0.2,1438,"LAC",73,36,37,12.1,0.95,4.74,323,1794600,0,"WAS",25,47,16.8,1.7,0.3,1.4,0.8,0.3,19,81,80,30,"WAS",13,33,16.7,6,23.6,13.5,0.7,1.84,1.03,0.256,0.5,0.2,1.9,0.72,0,0.828
"673","Malcolm_Delaney",75,190,"2017",27,"ATL","NBA","PG",73,1248,7.5,0.456,0.284,0.24,0.9,9.8,5.4,23.1,1.5,0.1,18.1,18.3,-1.2,1.3,0.1,0.005,-5.3,-0.3,-5.6,-1.1,1085,"ATL",73,37,36,17.1,1.18,4.15,281,2500000,0,"ATL",29,54,18.8,0.7,0,0.7,0.4,0.1,5.4,94.6,82.1,14.3,"ATL",16,37,18.7,6.3,40.2,21.5,2.7,3.99,3.32,0.157,0.2,0,0.3,0.5,0,0.571
"677","Cheick_Diallo",80,220,"2017",20,"NOP","NBA","PF",17,199,16.8,0.51,0,0.276,12.1,26.7,19.4,3.2,1,2.9,7.6,20.5,0.2,0.3,0.5,0.111,-1.8,-1.9,-3.7,-0.1,230,"NOP",17,9,8,11.7,0.86,4.41,470,543471,0,"NOP",21,52,11.2,2.9,0.9,2,1.4,0.7,30,70,79.8,37.2,"NOP",29,23,11.2,4.9,17.3,7.2,0.4,1.42,0.31,0.283,0.9,0.4,2.5,0.833,0.727,0.992
"678","Cheick_Diallo",80,220,"2018",21,"NOP","NBA","PF",52,581,17,0.619,0,0.375,9.1,29.6,19.7,4.7,0.9,2.9,12,17.4,1.1,0.8,1.9,0.157,-1.3,0.1,-1.2,0.1,231,"NOP",52,29,23,11.2,0.82,4.53,393,1312611,0,"NOP",22,64,14,3.2,0.4,2.8,1.5,0.7,11.8,88.2,82.6,40,"NOP",27,37,14,6,24.2,10.8,0.5,1.34,0.35,0.25,1.6,0.5,3.8,0.619,0.793,1.013
"679","Cheick_Diallo",80,220,"2019",22,"NOP","NBA","PF",64,896,17.5,0.644,0.015,0.247,8.8,29.3,19.2,5.1,1.5,3,14,16,1.4,1.2,2.6,0.14,-1.1,0.1,-0.9,0.2,232,"NOP",64,27,37,14,1.11,4.44,396,1544951,1,"PHX",23,44,10.6,1.6,0.4,1.2,0.8,0.5,22.9,77.1,90,50,"PHX",17,27,10.6,4.8,19.2,9.9,0.5,1.66,0.43,0.25,1.3,0.8,2.8,0.661,0.529,1
"684","Spencer_Dinwiddie",77,215,"2018",24,"BRK","NBA","PG",80,2306,15.9,0.527,0.517,0.32,1.8,10.2,6,35,1.4,0.7,11.8,20.3,4.3,1.4,5.7,0.118,1.3,-0.7,0.6,1.5,1484,"BKN",78,27,51,28.9,1.99,4.13,352,1524305,0,"BKN",26,68,28.1,1.1,0,1.1,0.7,0.2,0,100,89.8,24.5,"BKN",36,32,28.1,16.8,58.5,25.4,5.1,5.2,4.65,0.287,0.3,0,0.3,0.696,0,0.667
"685","Spencer_Dinwiddie",77,215,"2019",25,"BRK","NBA","PG",68,1914,16.3,0.58,0.447,0.43,1.4,7.6,4.6,25.6,1,0.7,13.4,24.9,3.5,1.4,4.8,0.121,1.4,-0.8,0.6,1.3,1485,"BKN",68,36,32,28.1,2.06,4.06,367,1656092,1,"BKN",27,64,31.2,0.9,0,0.9,0.6,0.1,1.6,98.4,90.7,16.3,"BKN",30,34,31.2,20.6,70.8,23.2,6.8,5.75,5.15,0.291,0.4,0.2,0.6,0.704,0.364,0.694
"687","Tyler_Dorsey",77,183,"2018",21,"ATL","NBA","SG",56,974,10,0.494,0.521,0.165,1.9,12.9,7.4,12.5,0.9,0.4,8.3,20,0,0.4,0.4,0.02,-1.4,-1.5,-2.9,-0.2,1621,"ATL",56,15,41,17.4,1.29,4.49,450,815615,0,"MEM",23,48,14.5,0.6,0,0.5,0.3,0.1,7.1,92.9,94.1,23.5,"MEM",11,37,14.5,6.2,19.7,13.6,0.9,2.7,2.34,0.313,0.3,0,0.6,0.5,0,0.633
"690","Damyean_Dotson",77,202,"2018",23,"NYK","NBA","SG",44,474,11.6,0.532,0.422,0.143,2.1,17.5,9.8,9.5,1.3,0.4,9,17.3,0.3,0.3,0.6,0.06,-1.6,-0.6,-2.3,0,303,"NYK",44,11,33,10.8,0.82,4.59,432,1100000,0,"NYK",25,73,27.4,1,0,1,0.7,0.1,3.9,96.1,92.6,20.4,"NYK",12,60,27.5,10.6,36.8,26.7,1.5,2.44,1.76,0.289,0.6,0,0.4,0.295,0,0.607
"691","Damyean_Dotson",77,202,"2019",24,"NYK","NBA","SG",73,2004,10.8,0.526,0.49,0.14,1.7,12.2,6.8,10.4,1.4,0.4,8.7,17.3,0.7,0.9,1.5,0.037,-1.7,-0.9,-2.6,-0.3,304,"NYK",72,12,60,27.5,2.09,4.27,423,1378242,0,"NYK",26,48,17.4,0.4,0,0.4,0.3,0.1,5,95,100,18.8,"NYK",14,34,17.4,6.7,21.5,16.3,0.8,2.37,1.69,0.311,0.3,0,0.2,0.846,0,1.333
"702","PJ_Dozier",78,205,"2018",21,"OKC","NBA","PG",2,3,-5,0.5,0,0,0,38.3,18.5,0,0,0,33.3,42.9,0,0,0,-0.404,-17.7,-2.7,-20.4,0,1330,"OKC",2,1,1,1.6,0.11,3.76,467,815615,1,"BOS",22,6,8.5,0.5,0.2,0.3,0.3,0.2,33.3,66.7,100,50,"BOS",5,1,8.5,3.2,14.3,9,0.5,1.99,1.23,0.221,0.5,0,1,0,0,1.333
"709","Andre_Drummond",82,279,"2017",23,"DET","NBA","C",81,2409,20.9,0.518,0.008,0.39,15.1,36.2,25.2,6,2.6,3.1,12.5,22.4,1.4,5.3,6.7,0.133,0.1,0.8,1,1.8,60,"DET",81,36,45,29.8,2.01,4.07,19,22116750,0,"DET",24,78,33.7,9.2,4,5.1,5,3.3,43.8,56.1,85.3,56.8,"DET",37,41,33.7,15,52.3,39.1,1.8,2.07,0.82,0.287,5.4,3.4,11.7,0.278,0.479,0.942
"710","Andre_Drummond",82,279,"2018",24,"DET","NBA","C",78,2625,22.9,0.555,0.012,0.448,16.4,36.4,26.2,14.3,2.2,4.3,15.9,21.2,4.6,5.7,10.3,0.189,1.5,1.7,3.2,3.4,61,"DET",78,37,41,33.6,2.26,4.06,23,23775506,0,"DET",25,79,33.5,5.9,2.6,3.3,3.5,2.4,43.6,56,86.5,60.4,"DET",40,39,33.5,17.3,53.7,29.6,1.7,1.87,0.9,0.323,3.3,3.9,12.8,0.529,0.61,0.945
"711","Andre_Drummond",82,279,"2019",25,"DET","NBA","C",79,2647,23.4,0.555,0.036,0.392,16.8,34.7,25.4,7.2,2.5,4.4,12.4,22.9,4.1,5.9,10,0.181,1.3,0.8,2.1,2.7,62,"DET",79,40,39,33.5,2.33,3.94,25,25434263,0,"CLE",26,57,33,2.6,1.1,1.5,1.9,1.6,43,57,94.8,80.2,"CLE",21,35,32.9,17.6,63.9,36.5,2.5,2.33,1.32,0.276,5.5,4.7,11.7,0.484,0.69,0.919
"722","Jared_Dudley",78,237,"2017",31,"PHO","NBA","PF",64,1362,10.6,0.579,0.587,0.188,2.4,15.9,9,12.5,1.5,0.9,16.3,13.8,1.1,0.7,1.8,0.064,-1.1,0.1,-1,0.3,715,"PHX",64,17,47,21.3,1.45,4.13,103,10470000,0,"PHX",32,48,14.3,2.9,0.1,2.8,1.6,0.2,2.2,97.8,90.5,13.1,"PHX",7,41,14.3,3.2,28.7,15.8,0.7,1.55,0.48,0.11,0.6,0.7,0.5,0.071,0.121,0.727
"723","Jared_Dudley",78,237,"2018",32,"PHO","NBA","PF",48,686,8.8,0.553,0.656,0.287,1.2,13.6,7.3,15.6,1.7,1.3,16.9,10.2,0.5,0.4,0.8,0.058,-3,0.5,-2.5,-0.1,716,"PHX",48,7,41,14.3,1,4.17,121,1e+07,0,"BKN",33,59,20.7,4.4,0.2,4.2,2.5,0.4,4.6,95.4,86.4,13,"BKN",28,31,20.7,4.9,36.5,19.1,0.9,1.47,0.54,0.133,0.4,0.2,0.8,0.25,0.1,0.596
"724","Jared_Dudley",78,237,"2019",33,"BRK","NBA","PF",59,1220,7.8,0.554,0.632,0.192,2.9,10.4,6.7,9.2,1.4,1,14.2,10.4,0.6,1.2,1.8,0.07,-2.9,1.1,-1.8,0.1,717,"BKN",59,28,31,20.7,1.52,4.09,139,9530000,1,"LAL",34,40,7.8,1.1,0.1,1.1,0.8,0.1,4.5,95.5,90.9,15.2,"LAL",29,11,7.8,1.5,11.7,6.2,0.3,1.38,0.47,0.124,0.2,0.1,0.2,0.333,0.667,0.333
"726","Kris_Dunn",75,205,"2017",22,"MIN","NBA","PG",78,1333,8.1,0.432,0.233,0.188,2.1,12.6,7.3,19.4,3,2.3,20.8,14.2,-1.2,1.3,0.1,0.004,-4.5,1.8,-2.8,-0.3,987,"MIN",78,30,48,17.1,1.27,4.47,226,3872520,0,"CHI",24,52,29.3,0.7,0,0.7,0.5,0.1,2.7,97.3,89.7,27.6,"CHI",19,33,29.3,13.4,73.9,26.2,5.6,4.54,3.94,0.182,0.3,1,0.6,0.667,0.46,0.97
"727","Kris_Dunn",75,205,"2018",23,"CHI","NBA","PG",52,1525,14.5,0.488,0.201,0.171,1.6,14.4,7.8,33.3,3.3,1.6,17.3,24.7,-1,1.9,0.9,0.027,-2.4,1.1,-1.3,0.3,988,"CHI",52,19,33,29.3,2.18,4.48,220,4046760,0,"CHI",25,46,30.2,0.8,0,0.7,0.4,0.1,5.6,94.4,90.5,33.3,"CHI",14,31,30.3,11.4,69.6,23.5,5.8,4.97,4.55,0.164,0.4,0.5,0.5,0.368,0.739,0.792
"728","Kris_Dunn",75,205,"2019",24,"CHI","NBA","PG",46,1389,12.4,0.484,0.19,0.136,1.5,13.3,7.3,30,2.4,1.3,16.2,20.1,-0.5,1.2,0.6,0.022,-2.8,0.2,-2.7,-0.2,989,"CHI",45,14,31,30.3,2.28,4.28,231,4221000,0,"CHI",26,51,24.9,0.7,0,0.7,0.4,0.1,0,100,100,31.6,"CHI",19,32,24.9,7.3,45.6,20.5,2.6,3.43,2.78,0.16,0.2,0.1,0.8,0.6,0.333,0.634
"739","Kevin_Durant",82,240,"2017",28,"GSW","NBA","PF",62,2070,27.6,0.651,0.304,0.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,8,4,12,0.278,6.7,2.2,8.9,5.7,958,"GSW",62,51,11,33.4,2.25,4.05,6,26540100,0,"GSW",29,68,34.2,1.9,0.1,1.8,1.1,0.4,4.7,95.3,91.4,37,"GSW",49,19,34.2,26.4,67.9,39.1,3.9,3.45,2.42,0.388,1.7,4.3,1.7,0.649,0.534,1.19
"740","Kevin_Durant",82,240,"2018",29,"GSW","NBA","SF",68,2325,26,0.64,0.338,0.331,1.6,19.5,11.2,25.5,1,4,12.9,30.4,7.5,2.9,10.4,0.215,6.7,0.6,7.3,5.5,959,"GSW",68,49,19,34.2,2.3,4.06,16,2.5e+07,0,"GSW",30,78,34.6,1.4,0.1,1.4,0.9,0.4,4.5,95.5,100,40,"GSW",54,24,34.6,26,69.5,39.9,4.2,3.6,2.61,0.374,2,6.3,1.6,0.686,0.49,1.089
"744","Jarell_Eddie",79,218,"2017",25,"PHO","NBA","SF",5,62,9.7,0.523,0.842,0.474,1.7,10.8,6.1,0,0.8,0,4.2,16.2,0.1,0,0.1,0.054,-0.8,-1.7,-2.4,0,720,"PHX",5,0,5,12.5,0.92,4.45,497,175000,1,"CHI",26,3,2.9,0,0,0,0,0,0,0,0,0,"CHI",1,2,2.9,0,2.7,1.7,0.1,2.31,1.63,0,0,0,0,0,0,0
"748","Henry_Ellenson",82,240,"2017",20,"DET","NBA","PF",19,146,7.5,0.444,0.547,0.125,5.8,25.6,15.3,7.2,0.3,0.6,17.2,24.7,-0.4,0.2,-0.2,-0.071,-4.1,-1.8,-5.9,-0.1,612,"DET",19,8,11,7.7,0.58,4.56,324,1704120,0,"DET",21,38,8.7,1.6,0.1,1.5,0.9,0.2,5,95,86.8,21.1,"DET",21,17,8.7,4,19.5,9.1,0.6,1.8,0.92,0.204,0.5,0.3,0.5,0.333,0.4,0.789
"749","Henry_Ellenson",82,240,"2018",21,"DET","NBA","PF",38,329,10.5,0.476,0.411,0.199,3.3,24.3,13.6,9.4,0.8,0,10.2,23.8,-0.2,0.4,0.1,0.02,-2.6,-1.9,-4.4,-0.2,613,"DET",38,21,17,8.7,0.69,4.85,325,1780800,0,"NYK",22,19,13.6,1.5,0.1,1.4,0.8,0.3,7.1,92.9,94.1,35.3,"NYK",4,15,13.6,6,26.2,12,0.9,2.05,1.19,0.229,0.3,0.8,0.7,1,0.438,1.357
"750","Henry_Ellenson",82,240,"2019",22,"TOT","NBA","PF",19,259,13.1,0.538,0.4,0.263,2,25.5,13.4,9.6,1.3,0.7,7.8,19,0.2,0.2,0.4,0.077,-1,-0.5,-1.5,0,614,"NYK",19,4,15,13.6,1.14,4.71,350,1857480,0,"BKN",23,5,3,0,0,0,0,0,0,0,0,0,"BKN",2,3,3,0.4,5.8,3.2,0.1,1.34,0.59,0.069,0,0,0.4,0,0,1
"759","Wayne_Ellington",76,200,"2017",29,"MIA","NBA","SG",62,1500,12.6,0.565,0.71,0.077,1.3,8.5,4.9,7.1,1.2,0.2,5,17.9,2.1,1.2,3.3,0.105,0.8,-0.9,-0.1,0.7,1661,"MIA",62,35,27,24.2,1.73,4.32,432,923670,1,"MIA",30,77,26.5,1.1,0.1,1.1,0.7,0.1,4.7,95.3,88.7,9.7,"MIA",41,35,26.6,11.3,29.9,23.9,0.8,1.59,0.77,0.376,0.3,0,0.4,0.583,3,0.677
"760","Wayne_Ellington",76,200,"2017",29,"MIA","NBA","SG",62,1500,12.6,0.565,0.71,0.077,1.3,8.5,4.9,7.1,1.2,0.2,5,17.9,2.1,1.2,3.3,0.105,0.8,-0.9,-0.1,0.7,1662,"MIA",62,35,27,24.2,1.73,4.32,165,6e+06,0,"MIA",30,77,26.5,1.1,0.1,1.1,0.7,0.1,4.7,95.3,88.7,9.7,"MIA",41,35,26.6,11.3,29.9,23.9,0.8,1.59,0.77,0.376,0.3,0,0.4,0.583,3,0.677
"761","Wayne_Ellington",76,200,"2018",30,"MIA","NBA","SG",77,2041,12.5,0.588,0.827,0.111,1.3,10.7,6,5.9,1.3,0.3,6.6,17.3,2.6,1.9,4.5,0.105,1,-0.6,0.4,1.2,1663,"MIA",76,41,35,26.6,1.92,4.36,167,6270000,1,"DET",31,53,24.5,0.6,0,0.6,0.4,0.1,0,100,83.3,16.7,"DET",26,27,24.5,10.3,27.7,21.8,0.9,1.91,1.18,0.372,0.3,0,0.3,0.571,0,0.714
"762","Wayne_Ellington",76,200,"2019",31,"TOT","NBA","SG",53,1297,11.8,0.569,0.814,0.107,1.1,7.9,4.5,8.3,2,0.4,7.7,17.2,1.3,1.4,2.6,0.097,-0.3,0.3,0,0.7,1664,"DET",53,26,27,24.5,1.83,4.28,186,6270000,1,"NYK",32,36,15.5,0.3,0,0.3,0.3,0,0,100,90.9,9.1,"NYK",9,27,15.5,5.1,18.1,14.6,0.5,1.78,1,0.282,0.3,0,0.4,0,0,0.462
"772","Tyler_Ennis",75,194,"2017",22,"TOT","NBA","PG",53,588,10.9,0.521,0.337,0.12,1.6,6.8,4.2,21.7,2.1,0.3,17,19.1,0.1,0.3,0.4,0.031,-2.4,-0.8,-3.2,-0.2,1623,"LAL",53,28,25,11.1,0.84,4.55,321,1733880,1,"LAL",23,54,12.7,0.8,0,0.8,0.5,0,2.3,97.7,81.8,6.1,"LAL",22,32,12.7,4.1,28.3,10.9,2.1,4.4,4.06,0.147,0.3,0,0.4,0.75,0,0.571
"776","Jacob_Evans",76,210,"2019",21,"GSW","NBA","SG",30,204,3.5,0.374,0.283,0.019,3.3,9.5,6.5,13.7,1.2,1.2,17.1,13.5,-0.3,0.2,-0.1,-0.03,-6.9,-1.2,-8.2,-0.3,667,"GSW",30,21,9,6.8,0.55,4.51,370,1644240,0,"MIN",22,29,14.4,0.5,0,0.5,0.3,0.1,0,100,100,20,"MIN",8,21,14.4,4.4,29.2,14.4,1.6,3.22,2.33,0.151,0.3,0.1,0.5,0.333,0,0.857
"778","Jawun_Evans",72,185,"2018",21,"LAC","NBA","PG",48,778,7.2,0.421,0.213,0.194,1.3,10.4,5.9,17.8,2.3,0.6,13.8,17.7,-0.8,0.6,-0.2,-0.011,-5.4,0.4,-5,-0.6,744,"LAC",48,24,24,16.2,1.27,4.72,447,815615,0,"OKC",22,8,8,0.1,0,0.1,0,0,0,100,0,0,"OKC",4,4,8,0.8,17.1,6.4,1.3,4.53,4.12,0.044,0.3,0,0.3,0,0,0
"788","Dante_Exum",77,190,"2017",21,"UTA","NBA","PG",66,1228,8.5,0.521,0.41,0.201,2.9,9.3,6.2,14.1,0.9,0.8,16.8,18.1,-0.1,1.3,1.2,0.046,-3.2,-0.1,-3.3,-0.4,322,"UTA",66,40,26,18.6,1.36,4.41,222,3940320,0,"UTA",22,14,16.8,0.7,0.1,0.6,0.4,0.1,10,90,100,16.7,"UTA",10,4,16.8,8.1,35.4,14.1,2.6,4.45,3.93,0.23,0.4,0,0.8,0.8,0,0.545
"789","Dante_Exum",77,190,"2018",22,"UTA","NBA","PG",14,235,16.7,0.566,0.207,0.356,2,10.5,6.3,29.7,1.7,1.1,16.6,23.1,0.3,0.3,0.7,0.133,-0.3,0.4,0.1,0.1,323,"UTA",14,10,4,16.8,1.3,4.7,201,4992385,1,"UTA",23,42,15.8,0.7,0,0.7,0.5,0.1,0,100,91.7,12.5,"UTA",21,20,15.8,7,32.8,14.9,2.5,4.51,3.99,0.213,0.2,0,0.6,1.429,0,0.522
