"","name","height","weight","season","age.x","team.x","lg","pos","g","mp","per","ts","x3p_ar","f_tr","orb","drb","trb","ast","stl","blk","tov","usg","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","x","team.y","gp.x","w.x","l.x","min.x","dist_miles","avg_speed","rk","salary_current","contract_year","team.x.x","age.y","gp.y","min.y","box_outs","off_box_outs","def_box_outs","team_reb_on_box_outs","player_reb_on_box_outs","x_box_outs_off","x_box_outs_def","x_team_reb_when_box_out","x_player_reb_when_box_out","team.y.y","w.y","l.y","min","pts","touches","front_ct_touches","time_of_poss","avg_sec_per_touch","avg_drib_per_touch","pts_per_touch","elbow_touches","post_ups","paint_touches","pts_per_elbow_touch","pts_per_post_touch","pts_per_paint_touch"
"48","LaMarcus_Aldridge",83,260,"2019",33,"SAS","NBA","C",81,2687,22.9,0.576,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,6.4,2.9,9.3,0.167,2.4,-0.6,1.8,2.6,1026,"SAS",81,48,33,33.2,2.35,4.05,38,22347015,0,"SAS",34,53,33.1,5.5,0.5,5,3.2,1.4,8.9,91.1,92.8,40.3,"SAS",22,30,33,18.9,55.1,38.7,1.8,1.92,0.76,0.343,2.9,9.7,4.8,0.44,0.588,1.008
"51","Grayson_Allen",76,198,"2019",23,"UTA","NBA","SG",38,416,7.5,0.516,0.556,0.337,0.8,5.1,3,8.9,0.7,1.1,13.9,24.4,-0.4,0.4,0,0.002,-4.2,-2.1,-6.3,-0.5,594,"UTA",38,22,16,11,0.86,4.38,333,2074320,0,"MEM",24,30,16.6,0.5,0,0.5,0.3,0,0,100,90.9,0,"MEM",14,16,16.6,7.4,22.6,15.5,1,2.62,1.66,0.325,0.2,0,0.2,0.4,0,0.857
"53","Jarrett_Allen",83,237,"2018",19,"BRK","NBA","C",72,1441,17.5,0.636,0.038,0.37,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,0.141,-0.9,0.1,-0.8,0.5,727,"BKN",70,24,46,20,1.48,4.46,328,1713720,0,"BKN",21,80,26.2,5.1,0.5,4.6,2.5,1.1,9.3,90.7,91,41.4,"BKN",42,38,26.2,10.9,42.6,26.8,0.9,1.25,0.28,0.256,4.1,0.3,8.1,0.544,0.3,0.94
"54","Jarrett_Allen",83,237,"2019",20,"BRK","NBA","C",80,2096,18.5,0.632,0.079,0.489,9.6,24,16.8,7.9,1,4.5,13,15.9,4.4,3.3,7.6,0.175,0.2,1.4,1.6,1.9,728,"BKN",80,42,38,26.2,1.97,4.23,334,2034120,0,"BKN",22,64,25.7,3.5,0.3,3.1,1.7,1.1,10,90,91.7,56.2,"BKN",30,34,25.7,10.6,38.3,23.2,0.9,1.35,0.33,0.278,3.4,0.1,8.5,0.607,0,0.938
"66","Justin_Anderson",78,230,"2017",23,"TOT","NBA","SF",75,1228,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,0.6,1.3,1.9,0.074,-0.9,-0.4,-1.3,0.2,898,"PHI",74,23,51,16.6,1.19,4.34,345,1514160,0,"PHI",24,38,13.7,0.7,0.1,0.7,0.5,0.1,7.4,92.6,90,25,"PHI",27,10,13.9,6.2,20.4,15.6,0.7,1.94,0.85,0.305,0.4,0,1.7,0.846,0,0.71
"67","Justin_Anderson",78,230,"2018",24,"PHI","NBA","SF",38,519,13,0.54,0.51,0.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,0.6,0.7,1.2,0.115,-0.6,-0.3,-0.9,0.1,899,"PHI",37,27,10,13.9,1,4.31,339,1579440,0,"ATL",25,48,9.7,0.8,0.1,0.7,0.3,0.1,10.5,89.5,89.5,36.8,"ATL",17,31,9.7,3.7,11.7,7.3,0.4,1.89,1.1,0.318,0.3,0,0.8,0.5,0,1
"68","Justin_Anderson",78,230,"2019",25,"ATL","NBA","SF",48,463,11.2,0.516,0.49,0.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,0.1,0.4,0.4,0.043,-2.4,-0.3,-2.7,-0.1,900,"ATL",48,17,31,9.7,0.74,4.25,290,2516048,1,"BKN",26,3,5.6,0.3,0,0.3,0,0,0,100,0,0,"BKN",2,1,5.6,1,6.7,3.3,0.2,1.94,0.8,0.15,0,0,0,0,0,0
"72","Kyle_Anderson",81,230,"2017",23,"SAS","NBA","SF",72,1020,12.5,0.525,0.191,0.273,3.7,19,11.5,12.4,2.5,2.1,14.3,12.1,0.7,2,2.7,0.127,-1.4,3.2,1.8,1,995,"SAS",71,53,18,14.2,1.02,4.34,383,1192080,0,"SAS",24,74,26.7,1.8,0.5,1.4,0.9,0.3,26.5,73.5,83.8,27.5,"SAS",41,33,26.7,7.9,40.5,24.6,1.8,2.64,1.58,0.195,0.8,0.4,2.4,0.542,0.406,0.943
"73","Kyle_Anderson",81,230,"2018",24,"SAS","NBA","SF",74,1978,15.9,0.582,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,2.4,3.8,6.2,0.151,-0.4,3.3,2.9,2.4,996,"SAS",74,41,33,26.7,1.96,4.41,297,2151704,1,"MEM",25,43,29.8,2,0.4,1.6,0.8,0.4,20.5,79.5,79.5,36.4,"MEM",19,24,29.8,8,44.6,30.2,2,2.71,1.48,0.18,1.6,0.3,3,0.5,0.769,0.931
"74","Kyle_Anderson",81,230,"2019",25,"MEM","NBA","SF",43,1281,12.8,0.569,0.123,0.232,4.1,18.1,11,15,2.1,2.7,16,12.6,0.8,1.8,2.7,0.1,-1.6,2.4,0.8,0.9,997,"MEM",43,19,24,29.8,2.21,4.16,148,8641000,0,"MEM",26,59,19.3,0.8,0.1,0.7,0.6,0.3,16.7,83.3,91.7,47.2,"MEM",30,29,19.3,5.7,28.1,16.5,1.1,2.45,1.37,0.202,1,0.2,1.9,0.439,0.455,0.827
"84","Ryan_Anderson",81,240,"2017",28,"HOU","NBA","PF",72,2116,13.5,0.583,0.655,0.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4,1.1,5.2,0.117,1.7,-2,-0.4,0.9,1424,"HOU",72,50,22,29.4,1.95,4.01,30,18735364,0,"HOU",30,66,26.1,6.1,1.3,4.8,2.8,1.1,21.3,78.7,83.4,32.7,"HOU",52,14,26.1,9.3,31,18.8,0.7,1.39,0.45,0.301,0.4,0.3,1.7,0.28,0.667,0.699
"85","Ryan_Anderson",81,240,"2018",29,"HOU","NBA","PF",66,1725,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1,7.5,14.4,3.1,1.7,4.8,0.132,0.9,-0.8,0.1,0.9,1425,"HOU",66,52,14,26.1,1.79,4.13,42,19578455,0,"MIA",31,25,12.9,3.2,0.4,2.8,1.7,0.5,12.7,87.3,89.4,25.5,"MIA",7,18,12.9,2.5,25.7,14.3,0.6,1.5,0.43,0.098,0.4,0.4,0.5,0,0.545,0.385
"86","Ryan_Anderson",81,240,"2019",30,"TOT","NBA","PF",25,322,4.6,0.414,0.58,0.232,6.1,12.5,9.2,7.8,0.6,0.3,15.5,12,-0.3,0,-0.2,-0.035,-4.5,-1.9,-6.4,-0.4,1426,"MIA",25,7,18,12.8,0.96,4.2,44,20421546,0,"HOU",32,2,7,1,0,1,0.5,0,0,100,100,0,"HOU",1,1,7,2.5,5,1.5,0.1,1.58,0,0.5,0,0,0,0,0,0
"89","Ike_Anigbogu",82,250,"2018",19,"IND","NBA","C",11,30,21.6,0.558,0,0.667,19,15,16.9,0,1.7,8.9,14.7,20.3,0.1,0,0.1,0.165,1.8,0.1,1.9,0,624,"IND",11,5,6,2.7,0.18,4.03,439,950000,0,"IND",20,3,2.1,0.7,0.3,0.3,0.3,0.3,50,50,50,50,"IND",2,1,2,0,3,1.3,0.1,1.32,0.22,0,0,0,0.3,0,0,0
"106","Carmelo_Anthony",80,240,"2017",32,"NYK","NBA","SF",74,2538,17.9,0.535,0.303,0.263,2.6,16,9.3,14.5,1.2,1.1,9,29.1,3.2,1.5,4.7,0.089,2.3,-1.6,0.7,1.7,210,"NYK",74,29,45,34.3,2.21,3.86,9,24559380,0,"OKC",34,78,32.1,4.9,0.6,4.3,2.4,0.6,11.3,88.7,88.9,23.6,"OKC",46,30,32,16.3,53.9,28.5,1.8,2.06,0.97,0.302,1.4,3.6,1.4,0.433,0.654,0.981
"107","Carmelo_Anthony",80,240,"2018",33,"OKC","NBA","PF",78,2501,12.7,0.503,0.406,0.165,2.9,17.7,10,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,0.071,-0.6,-1.3,-1.9,0,211,"OKC",76,46,30,32,2.01,3.77,12,26243760,0,"HOU",35,10,29.4,3.1,0.9,2.2,1.4,0.4,29,71,70,20,"HOU",4,6,29.4,13.4,32.7,21.2,1.1,2.04,0.94,0.41,0.4,2.8,1.1,1.5,1.036,0.545
"108","Carmelo_Anthony",80,240,"2019",34,"HOU","NBA","PF",10,294,10.9,0.513,0.529,0.182,3.3,17.3,10.2,2.6,0.7,2,5.8,20.5,0.1,0.2,0.3,0.048,-1.3,-1.4,-2.7,-0.1,212,"HOU",10,4,6,29.4,1.96,3.71,308,2393887,1,"POR",36,50,32.5,2.4,0.3,2.2,1.5,0.8,10.7,89.3,94.9,48.7,"POR",21,28,32.4,15.3,41.1,25.8,1.7,2.42,1.16,0.371,1.4,5.6,1.8,0.368,0.686,0.862
"109","Carmelo_Anthony",80,240,"2019",34,"HOU","NBA","PF",10,294,10.9,0.513,0.529,0.182,3.3,17.3,10.2,2.6,0.7,2,5.8,20.5,0.1,0.2,0.3,0.048,-1.3,-1.4,-2.7,-0.1,213,"HOU",10,4,6,29.4,1.96,3.71,20,25534253,1,"POR",36,50,32.5,2.4,0.3,2.2,1.5,0.8,10.7,89.3,94.9,48.7,"POR",21,28,32.4,15.3,41.1,25.8,1.7,2.42,1.16,0.371,1.4,5.6,1.8,0.368,0.686,0.862
"111","OG_Anunoby",79,232,"2018",20,"TOR","NBA","SF",74,1481,10,0.587,0.569,0.179,3.4,10.4,7,5,1.7,0.8,10.8,12.4,1.4,1.6,3,0.098,-1.2,0.6,-0.6,0.5,1274,"TOR",74,51,23,20,1.5,4.54,334,1645200,0,"TOR",21,67,20.2,2.7,0.2,2.5,1.1,0.2,6.7,93.3,84.3,18,"TOR",46,21,20.2,7,24.5,15.1,0.8,1.87,0.98,0.286,0.4,0.3,1.3,0.733,0.455,0.767
"112","OG_Anunoby",79,232,"2019",21,"TOR","NBA","SF",67,1352,9.8,0.544,0.5,0.153,4.8,10.8,7.9,4.7,1.6,1.3,11.3,15.5,0.3,1.7,2,0.07,-2.4,0.1,-2.4,-0.1,1275,"TOR",67,46,21,20.2,1.58,4.37,342,1952760,0,"TOR",22,63,30.1,2.4,0.2,2.3,1.5,0.6,6.6,93.4,94.1,36.6,"TOR",44,18,30,10.7,34.6,21.5,1.1,1.93,1.03,0.309,1.2,0.7,2.6,0.514,0.326,0.799
"123","DJ_Augustin",71,183,"2017",29,"ORL","NBA","PG",78,1538,11,0.524,0.53,0.311,1,7.4,4.1,20.4,1,0.1,13.3,19.4,0.7,0.5,1.2,0.038,-1.2,-1.8,-3,-0.4,284,"ORL",78,29,49,19.7,1.34,4.1,144,7250000,0,"ORL",30,75,23.5,1.2,0,1.2,0.8,0.1,2.2,97.8,92.5,9,"ORL",23,52,23.5,10.2,52.4,21.6,4.4,4.99,5.12,0.195,0.3,0,0.5,0.731,0,0.371
"124","DJ_Augustin",71,183,"2018",30,"ORL","NBA","PG",75,1760,15.4,0.615,0.504,0.35,1.9,8.2,5,24.4,1.5,0,16.5,18.6,3.3,0.8,4.1,0.11,1,-1.2,-0.2,0.8,285,"ORL",75,23,52,23.5,1.68,4.35,152,7250000,0,"ORL",31,81,28,0.7,0.1,0.7,0.4,0.1,6.7,93.3,91.4,11.4,"ORL",40,39,27.9,11.7,59.9,17,6.2,6.21,6.7,0.195,0.3,0,0.6,0.714,0,0.52
"125","DJ_Augustin",71,183,"2019",31,"ORL","NBA","PG",81,2269,15.7,0.616,0.459,0.309,1.9,7.8,4.8,26.9,1.1,0.1,14.3,17.2,5,1.9,6.9,0.146,1.1,-0.7,0.5,1.4,286,"ORL",79,40,39,27.9,2.05,4.17,171,7250000,0,"ORL",32,49,24.8,0.5,0,0.5,0.3,0,4,96,84.2,10.5,"ORL",25,24,24.8,10.4,54.1,17.3,5.7,6.36,6.77,0.193,0.1,0,0.3,0.333,0,0.286
"127","Deandre_Ayton",83,250,"2019",20,"PHO","NBA","C",71,2183,20.5,0.608,0.005,0.217,11.1,26.1,18.5,9.6,1.3,2.6,11.7,21.2,4.1,1.7,5.8,0.128,1.3,-1.1,0.2,1.2,360,"PHX",71,17,54,30.7,2.16,3.96,157,8165160,0,"PHX",21,30,33.2,2.6,0.7,2,2,1.2,25.3,74.7,95.2,58.1,"PHX",12,18,33.2,19,62.1,36.8,1.7,1.66,0.37,0.306,6,6.8,14.6,0.413,0.554,0.916
"129","Dwayne_Bacon",78,221,"2018",22,"CHO","NBA","SG",53,713,5.8,0.431,0.224,0.13,0.6,18.5,9.4,7.5,1.1,0.2,10.2,13.7,-0.7,0.6,-0.1,-0.007,-4.8,0.1,-4.7,-0.5,469,"CHA",53,25,28,13.4,0.96,4.29,449,815615,0,"CHA",23,43,17.6,1,0,1,0.5,0.1,0,100,80,12,"CHA",20,23,17.6,7.3,21.7,15.7,0.9,2.61,1.74,0.339,0.2,0,0.3,1,0,1.636
"130","Dwayne_Bacon",78,221,"2019",23,"CHO","NBA","SG",43,759,11.7,0.57,0.339,0.179,1.1,11.7,6.3,9.2,0.8,0.6,6.1,16.8,0.9,0.3,1.2,0.073,-2.1,-1.6,-3.7,-0.3,470,"CHA",43,20,23,17.6,1.28,4.06,432,1378242,0,"CHA",24,39,17.6,0.5,0,0.4,0.4,0.1,5.6,94.4,87.5,12.5,"CHA",10,29,17.6,5.7,26.2,19.1,1.1,2.53,1.72,0.219,0.2,0.2,0.4,0.778,0.75,0.824
