"","x","name","season","team.x","gp.x","w.x","l.x","min.x","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year","team.y","gp.y","w.y","l.y","min.y","pts","touches","front_ct_touches","time_of_poss","avg_sec_per_touch","avg_drib_per_touch","pts_per_touch","elbow_touches","post_ups","paint_touches","pts_per_elbow_touch","pts_per_post_touch","pts_per_paint_touch"
"405",405,"Derrick_Rose","2019","MIN",51,24,27,27.3,10801.7,2.05,1.1,0.94,4.18,4.51,3.86,324,2176260,0,1,"DET",49,17,32,26,18.1,64.6,21,6.3,5.85,5.48,0.28,0.3,0,0.6,0.533,0,0.483
"407",407,"Derrick_White","2018","SAS",17,7,10,8.2,3310.8,0.63,0.34,0.28,4.54,5.02,4,384,1404600,1667160,0,"SAS",67,41,26,25.8,9.9,51.1,17.5,4,4.73,4.49,0.193,0.4,0,0.7,0.667,0,0.8
"408",408,"Derrick_White","2019","SAS",67,41,26,25.8,10442.5,1.98,1.1,0.88,4.4,4.84,3.94,365,1667160,1948080,0,"SAS",60,26,34,24.1,10.5,49.1,17.5,3.8,4.62,4.04,0.214,0.3,0,0.7,0.944,2,0.75
"410",410,"Derrick_Williams","2017","CLE",50,16,34,16.1,6056.8,1.15,0.63,0.52,4.29,4.64,3.92,206,4598000,0,1,"LAL",2,1,1,4.3,1,6.5,4,0.2,1.97,0.77,0.154,0,0,0.5,0,0,2
"411",411,"Devin_Booker","2017","PHX",76,23,53,35,12688.9,2.4,1.28,1.12,4.13,4.51,3.77,296,2223600,2319360,0,"PHX",54,16,38,34.5,24.9,67.2,38,4.8,4.24,3.57,0.371,1.1,1.9,1.4,0.6,0.495,0.795
"412",412,"Devin_Booker","2018","PHX",54,16,38,34.5,13001.7,2.46,1.36,1.11,4.3,4.73,3.86,290,2319360,3314365,0,"PHX",64,15,49,35,26.6,75.7,38.9,6,4.76,4.12,0.351,1.4,1.3,1.6,0.703,0.695,1.09
"413",413,"Devin_Booker","2019","PHX",64,15,49,35,13549.9,2.57,1.45,1.11,4.11,4.57,3.63,257,3314365,27250000,0,"PHX",62,26,36,36.1,26.1,60.3,40.7,4.2,4.17,3.47,0.433,2.5,1.9,2.3,0.525,0.547,0.887
"415",415,"Devin_Harris","2017","DAL",64,28,36,16.7,6058.8,1.15,0.64,0.51,4.13,4.43,3.81,214,4228000,4403000,0,"DEN",71,33,38,18.9,8.4,33.7,17.9,2.1,3.68,3.23,0.248,0.7,0,0.4,0.404,0,0.714
"416",416,"Devin_Harris","2018","DEN",71,33,38,18.9,6848.8,1.3,0.73,0.57,4.19,4.58,3.78,211,4402546,0,1,"DAL",68,28,40,15.7,6.3,25.5,17,1.1,2.69,2.05,0.247,0.7,0,0.4,0.087,0,0.714
"418",418,"Devonte_Graham","2019","CHA",46,18,28,14.7,5985.7,1.13,0.62,0.52,4.32,4.76,3.88,455,988464,1416852,0,"CHA",62,23,39,35.2,18.2,90.6,35.2,8.2,5.4,4.97,0.201,0.3,0,0.5,0.4,0,0.345
"421",421,"Dewayne_Dedmon","2017","SAS",75,55,20,17.5,6444.7,1.22,0.66,0.56,4.19,4.5,3.87,262,2898000,3028410,0,"ATL",61,18,43,24.9,10,42,24.6,1,1.47,0.33,0.239,3.8,0.6,4.2,0.393,0.429,0.981
"422",422,"Dewayne_Dedmon","2018","ATL",61,18,43,24.9,9351.2,1.77,0.97,0.81,4.29,4.65,3.92,179,6e+06,6300000,0,"ATL",64,24,40,25.1,10.8,45.9,25.9,1.2,1.53,0.44,0.236,2.4,0.7,5.3,0.506,0.5,0.893
"423",423,"Dewayne_Dedmon","2019","ATL",64,24,40,25.1,9900.7,1.88,1.02,0.86,4.19,4.55,3.82,172,7200000,0,1,"ATL",44,17,27,17.6,5.8,26.4,14,0.7,1.58,0.36,0.22,1.5,0.6,3.5,0.727,0.571,0.84
"425",425,"Deyonta_Davis","2017","MEM",36,23,13,6.6,2397,0.45,0.24,0.22,4.12,4.34,3.95,362,1369229,1307614,0,"MEM",62,16,46,15.2,5.8,22.1,12.1,0.5,1.36,0.24,0.263,2.2,0.4,3.9,0.191,0.308,1.061
"426",426,"Deyonta_Davis","2018","MEM",62,16,46,15.2,5748.3,1.09,0.58,0.51,4.33,4.61,4.05,390,1312611,1544951,0,"ATL",9,3,6,13.2,4,17.3,8.9,0.3,1.11,0.08,0.231,0.6,0,3.4,0.4,0,0.968
"429",429,"Dillon_Brooks","2018","MEM",82,22,60,28.7,10868.5,2.06,1.08,0.98,4.35,4.49,4.2,446,815615,1378242,0,"MEM",18,9,9,18.3,7.5,24.6,19.8,0.9,2.22,1.12,0.305,0.5,0,1.1,1,0,0.65
"430",430,"Dillon_Brooks","2019","MEM",18,9,9,18.3,7283.7,1.38,0.73,0.65,4.18,4.35,4.01,426,1378242,1618520,0,"MEM",65,32,33,28.5,15.7,41.9,30.1,1.9,2.69,1.67,0.374,0.5,0.2,1.1,0.742,0.769,0.761
"432",432,"Dion_Waiters","2017","MIA",46,27,19,30.1,10822.9,2.05,1.12,0.92,4.09,4.39,3.78,264,2898000,3028410,0,"MIA",29,15,14,30.8,14.7,56.3,31,4.4,4.66,4.1,0.261,0.7,0,0.5,0.4,0,0.571
"433",433,"Dion_Waiters","2018","MIA",29,15,14,30.8,11333.6,2.15,1.2,0.94,4.19,4.55,3.81,107,1.1e+07,11550000,0,"MIA",44,20,24,25.9,12,45.6,25.6,3,3.98,3.3,0.263,0.3,0,0.2,0.143,0,0.222
"434",434,"Dion_Waiters","2019","MIA",44,20,24,25.9,9467,1.79,1.01,0.78,3.88,4.23,3.51,119,11550000,12100000,0,"LAL",3,1,2,14,9.3,20.7,9.7,1.6,4.78,4.18,0.452,0,0,0,0,0,0
"437",437,"Dirk_Nowitzki","2017","DAL",53,22,31,26.3,8317.8,1.58,0.84,0.73,3.61,3.72,3.49,8,2.5e+07,2.5e+07,0,"DAL",77,24,53,24.7,12,42.5,27.6,1,1.39,0.25,0.283,1.9,2.6,0.9,0.469,0.627,0.866
"438",438,"Dirk_Nowitzki","2018","DAL",77,24,53,24.7,7788.2,1.48,0.81,0.67,3.6,3.8,3.39,198,5e+06,5e+06,0,"DAL",51,17,34,15.6,7.3,26.5,18.7,0.6,1.29,0.22,0.275,0.9,2,0.2,0.553,0.515,0.909
"440",440,"Domantas_Sabonis","2017","OKC",81,46,35,20.1,7526.8,1.43,0.76,0.67,4.27,4.8,3.79,284,2440200,2550000,0,"IND",74,45,29,24.5,11.6,54.8,32.9,1.4,1.51,0.61,0.212,4.8,2.6,6,0.632,0.466,0.798
"441",441,"Domantas_Sabonis","2018","IND",74,45,29,24.5,9357,1.77,0.94,0.83,4.38,4.71,4.06,269,2550000,2659800,0,"IND",74,43,31,24.8,14.1,64.3,37.3,1.8,1.68,0.67,0.219,6.2,4.4,7.2,0.637,0.45,0.858
"442",442,"Domantas_Sabonis","2019","IND",74,43,31,24.8,9923.9,1.88,1,0.88,4.23,4.55,3.91,283,2659800,3529555,0,"IND",62,37,25,34.8,18.5,88,51.8,2.7,1.83,0.78,0.21,8.5,6.1,8.4,0.6,0.422,0.801
"444",444,"Donovan_Mitchell","2018","UTA",79,46,33,33.4,12329.9,2.34,1.29,1.05,4.22,4.56,3.87,266,2621280,3111480,0,"UTA",76,49,27,33.7,23.8,61.8,33.4,4.9,4.71,4.29,0.384,0.5,0.1,1.3,0.784,1.182,0.865
"445",445,"Donovan_Mitchell","2019","UTA",76,49,27,33.7,12884.9,2.44,1.36,1.08,4.08,4.56,3.6,266,3111480,3635760,0,"UTA",63,40,23,34.4,24.2,68.2,30.9,5.7,5.05,4.47,0.355,0.3,0,1,0.588,0,0.857
"448",448,"Donte_DiVincenzo","2019","MIL",27,20,7,15.2,6434.2,1.22,0.65,0.57,4.46,4.86,4.07,295,2481000,2905800,0,"MIL",58,50,8,23,9.4,39.6,19.1,1.7,2.61,1.85,0.238,0.5,0,1.5,0.933,0,0.798
"450",450,"Dorian_FinneySmith","2017","DAL",80,32,48,20.4,7777.6,1.47,0.79,0.69,4.34,4.47,4.2,479,543471,905249,0,"DAL",21,4,17,21.3,5.9,27.1,17.2,0.8,1.87,0.82,0.216,0.3,0.2,1.4,0.5,0,0.9
"451",451,"Dorian_FinneySmith","2018","DAL",21,4,17,21.4,8295.9,1.57,0.84,0.73,4.44,4.62,4.24,426,1312611,1544951,0,"DAL",81,33,48,24.5,7.5,30.8,19.6,1,1.85,0.86,0.243,0.8,0.2,2.6,0.365,0.267,0.724
"452",452,"Dorian_FinneySmith","2019","DAL",81,33,48,24.5,10064.4,1.91,1.02,0.88,4.34,4.59,4.08,404,1544951,0,1,"DAL",62,36,26,30,9.5,36.5,22.1,1.1,1.83,0.84,0.26,0.7,0,2.5,0.667,0.667,0.799
"454",454,"Doug_McDermott","2017","OKC",66,35,31,22.8,9086.9,1.72,0.93,0.79,4.54,4.94,4.15,282,2483040,3294994,0,"DAL",80,29,51,21.7,7.7,26.3,21.3,0.7,1.5,0.45,0.294,0.7,0.1,1.8,0.5,0.364,1.055
"455",455,"Doug_McDermott","2018","DAL",80,29,51,21.7,8978.7,1.7,0.93,0.77,4.72,5.1,4.34,239,3294994,0,1,"IND",77,43,34,17.4,7.3,19.8,16.9,0.4,1.3,0.47,0.37,0.5,0,0.8,0.878,2.5,1.311
"456",456,"Doug_McDermott","2019","IND",77,43,34,17.4,7507,1.42,0.76,0.66,4.56,4.92,4.2,168,7333334,7333334,0,"IND",62,37,25,20,10.4,24,19.5,0.5,1.33,0.51,0.432,0.4,0,1,1.182,0,1.238
"458",458,"Dragan_Bender","2017","PHX",41,12,29,13.3,5117.7,0.97,0.51,0.46,4.38,4.91,3.92,213,4276320,4468800,0,"PHX",82,21,61,25.2,6.5,45,22.8,1.1,1.51,0.45,0.144,0.8,1.1,1.2,0.294,0.141,0.677
"459",459,"Dragan_Bender","2018","PHX",82,21,61,25.2,9632.6,1.82,1.01,0.81,4.35,4.86,3.84,210,4468800,4661280,0,"PHX",46,9,37,18,5,33.2,15.6,0.8,1.41,0.39,0.151,0.9,0.7,1.8,0.829,0.242,1.181
"460",460,"Dragan_Bender","2019","PHX",46,9,37,18,6999.7,1.33,0.73,0.6,4.17,4.56,3.77,219,4661280,5896519,0,"GSW",15,9,6,18.7,7.1,38.3,22.8,0.9,1.35,0.35,0.186,0.9,0.9,2.8,0.929,0.429,0.81
"463",463,"Draymond_Green","2017","GSW",76,62,14,32.5,11252.6,2.13,1.09,1.04,3.94,4.36,3.57,54,15330435,16400000,0,"GSW",70,48,22,32.7,11,78.2,39.5,2.9,2.22,1.28,0.141,2.2,4.3,3.7,0.404,0.151,0.703
"464",464,"Draymond_Green","2018","GSW",70,48,22,32.7,11451.2,2.17,1.12,1.05,4.02,4.44,3.66,65,16400000,17469565,0,"GSW",66,48,18,31.3,7.4,70,35.2,2.3,1.96,1.06,0.105,2.6,4.2,2.8,0.186,0.104,0.582
"465",465,"Draymond_Green","2019","GSW",66,48,18,31.3,10984.8,2.08,1.07,1.01,3.82,4.25,3.46,61,17469565,18539130,0,"GSW",43,10,33,28.4,8,70.2,33.1,3.1,2.64,1.82,0.114,1.6,2.8,1.6,0.29,0.208,0.735
"469",469,"Dwayne_Bacon","2018","CHA",53,25,28,13.4,5051.4,0.96,0.51,0.45,4.29,4.52,4.06,449,815615,1378242,0,"CHA",43,20,23,17.6,7.3,21.7,15.7,0.9,2.61,1.74,0.339,0.2,0,0.3,1,0,1.636
"470",470,"Dwayne_Bacon","2019","CHA",43,20,23,17.6,6764.9,1.28,0.68,0.6,4.06,4.32,3.79,432,1378242,1618520,0,"CHA",39,10,29,17.6,5.7,26.2,19.1,1.1,2.53,1.72,0.219,0.2,0.2,0.4,0.778,0.75,0.824
"472",472,"Dwight_Howard","2017","ATL",74,37,37,29.7,10263.7,1.94,1.02,0.93,3.95,4.24,3.67,13,23180275,23500000,0,"CHA",81,35,46,30.4,16.6,48.1,27,1.6,2.01,0.91,0.346,2.6,8.2,9.3,0.404,0.562,0.987
"473",473,"Dwight_Howard","2018","CHA",81,35,46,30.4,10829.1,2.05,1.11,0.94,4.06,4.38,3.73,25,23500000,23819725,0,"WAS",9,4,5,25.5,12.8,43.1,19.1,1.2,1.61,0.57,0.296,2.2,3.3,7.3,0.8,0.567,1.045
"474",474,"Dwight_Howard","2019","WAS",9,4,5,25.5,9339.8,1.77,0.95,0.82,3.9,4.31,3.55,53,18919725,0,1,"LAL",62,49,13,19.2,7.5,30.4,13.7,0.7,1.41,0.38,0.248,1.5,0.7,5.9,0.253,0.488,1.057
"475",475,"Dwight_Howard","2019","WAS",9,4,5,25.5,9339.8,1.77,0.95,0.82,3.9,4.31,3.55,205,5337000,5603850,0,"LAL",62,49,13,19.2,7.5,30.4,13.7,0.7,1.41,0.38,0.248,1.5,0.7,5.9,0.253,0.488,1.057
"478",478,"Dwight_Powell","2017","DAL",76,29,47,17.4,6608.4,1.25,0.68,0.58,4.34,4.52,4.14,123,8375000,9003125,0,"DAL",79,23,56,21.2,8.5,33.6,18.9,0.9,1.53,0.41,0.253,2.4,0.4,5.9,0.354,0.424,0.889
"479",479,"Dwight_Powell","2018","DAL",79,23,56,21.2,8274.4,1.57,0.86,0.71,4.45,4.77,4.12,131,9003125,9631250,0,"DAL",77,31,46,21.6,10.6,35.8,21,0.9,1.51,0.47,0.295,2.4,0.3,6,0.617,0.538,1.013
"480",480,"Dwight_Powell","2019","DAL",77,31,46,21.6,8727.4,1.65,0.91,0.75,4.27,4.63,3.89,136,9631250,10259375,0,"DAL",39,24,15,26.4,9.4,38.7,20.4,1,1.48,0.45,0.243,2.1,0.1,5.4,0.634,0.5,0.986
"482",482,"Dwyane_Wade","2017","CHI",60,29,31,29.9,10573.2,2,1.1,0.9,4.03,4.37,3.7,12,23200000,23800000,0,"MIA",67,37,30,22.9,11.4,47.8,23,3.2,4.01,3.06,0.239,1,2,2.1,0.514,0.511,0.846
"483",483,"Dwyane_Wade","2018","MIA",67,37,30,22.9,8372.5,1.59,0.86,0.73,4.16,4.54,3.79,20,23800000,0,1,"MIA",72,35,37,26.2,15,54.9,27.8,3.8,4.19,3.34,0.274,1.7,1.6,2.3,0.374,0.535,0.651
"485",485,"Dzanan_Musa","2019","BKN",9,4,5,4.4,1736.4,0.33,0.19,0.14,4.23,4.54,3.89,373,1632240,1911600,0,"BKN",35,17,18,11.5,4.2,17.7,9.7,0.8,2.67,2.13,0.239,0.1,0,0.7,0.667,0,0.957
"486",490,"Ed_Davis","2017","POR",46,19,27,17.1,6428,1.22,0.65,0.56,4.26,4.48,4.03,149,6666667,6352531,0,"POR",78,48,30,18.9,5.3,30.5,12.3,0.8,1.67,0.45,0.174,1.8,0.4,4.8,0.507,0.393,0.777
"487",491,"Ed_Davis","2018","POR",78,48,30,18.9,7113.7,1.35,0.74,0.61,4.3,4.52,4.06,164,6352531,0,1,"BKN",81,42,39,17.9,5.8,32.1,15.5,0.8,1.51,0.4,0.181,2.1,0.1,5,0.565,0.714,0.894
"488",492,"Ed_Davis","2019","BKN",81,42,39,17.9,7071.8,1.34,0.74,0.6,4.19,4.55,3.8,224,4449000,0,1,"UTA",25,15,10,10.7,1.3,18.2,8.2,0.5,1.65,0.45,0.073,1.2,0.1,2.2,0.069,1,0.446
"491",495,"Ekpe_Udoh","2018","UTA",63,36,27,12.8,4752.7,0.9,0.47,0.43,4.23,4.4,4.05,246,3200000,3360000,0,"UTA",51,35,16,6.3,2.3,10.2,5.9,0.3,1.51,0.44,0.228,1,0.4,2.1,0.453,0.333,1
"493",497,"Elfrid_Payton","2017","ORL",82,29,53,29.4,11362.5,2.15,1.1,1.05,4.42,4.71,4.15,275,2613600,3332340,0,"PHX",63,13,50,28.7,12.7,65.5,20.9,5.6,5.1,4.69,0.193,1,0.1,1.7,0.646,0.375,0.683
"494",498,"Elfrid_Payton","2018","PHX",63,13,50,28.7,11291.9,2.14,1.12,1.02,4.48,4.89,4.11,237,3332340,0,1,"NOP",42,18,24,29.8,10.6,71.6,29.2,5,4.16,3.65,0.148,0.8,0.3,2.1,0.25,0.143,0.596
"495",499,"Elfrid_Payton","2019","NOP",42,18,24,29.8,12117,2.29,1.24,1.05,4.35,4.81,3.92,270,3e+06,0,1,"NYK",45,17,28,27.7,10,75,27.2,6,4.84,4.48,0.133,0.5,0.1,1.6,0.5,0,0.557
"497",501,"Elie_Okobo","2019","PHX",53,7,46,18.1,7762.4,1.47,0.8,0.67,4.57,4.99,4.15,448,1238464,1416852,0,"PHX",53,22,31,13,3.9,30,9.9,2.4,4.72,4.51,0.131,0.2,0,0.3,0.5,0,0.412
"499",503,"Emmanuel_Mudiay","2017","DEN",54,24,30,25.6,9922.6,1.88,1.05,0.82,4.41,4.92,3.89,247,3241800,3381480,0,"NYK",64,29,35,19.4,8.6,45.6,17.7,3.5,4.56,4.11,0.189,0.3,0.1,0.8,1,0.889,0.653
"500",504,"Emmanuel_Mudiay","2018","NYK",64,29,35,19.4,7678.1,1.45,0.82,0.63,4.54,5.07,4,235,3381480,4294480,0,"NYK",58,13,45,27.2,14.6,67.3,26.3,5.3,4.71,4.23,0.217,0.4,0.2,0.9,0.5,0.357,0.804
"501",505,"Emmanuel_Mudiay","2019","NYK",58,13,45,27.2,11315.8,2.14,1.22,0.92,4.45,4.98,3.9,230,4294480,0,1,"UTA",48,32,16,15.7,7.3,36.5,15.1,2.7,4.51,4.02,0.2,0.2,0.1,0.4,0.25,0,0.706
"503",507,"Enes_Kanter","2017","OKC",72,43,29,21.3,7770.7,1.47,0.76,0.71,4.17,4.38,3.98,38,17145838,17884176,0,"NYK",70,26,44,25.8,14.1,51.4,29.8,1.5,1.78,0.44,0.275,3.5,5.9,7.9,0.517,0.524,1.005
"504",508,"Enes_Kanter","2018","NYK",70,26,44,25.8,9733.7,1.84,0.97,0.87,4.3,4.45,4.15,51,17884176,18622514,0,"POR",67,28,39,24.5,13.7,45.7,30.8,1.5,2,0.65,0.299,3,6.6,7.2,0.567,0.556,1.004
"505",509,"Enes_Kanter","2019","POR",67,28,39,24.5,9351.9,1.77,0.95,0.82,4.08,4.2,3.94,54,18622514,0,1,"BOS",51,32,19,17.5,8.2,25.2,18.2,0.8,1.82,0.49,0.323,0.9,2.6,5.6,0.5,0.672,1.035
"507",511,"Eric_Bledsoe","2017","PHX",64,21,43,33,12361.1,2.34,1.24,1.1,4.27,4.63,3.92,65,1.4e+07,14500000,0,"MIL",74,40,34,31.4,17.7,71.8,27.4,5.5,4.6,4,0.247,0.8,0.4,1.4,0.169,0.531,0.861
"508",512,"Eric_Bledsoe","2018","MIL",74,40,34,31.4,11763.8,2.23,1.16,1.06,4.29,4.69,3.92,77,14500000,1.5e+07,0,"MIL",78,59,19,29.1,15.9,56.2,23.5,4.1,4.43,4.03,0.283,0.5,0.1,1.8,0.564,0.556,0.812
"509",513,"Eric_Bledsoe","2019","MIL",78,59,19,29.1,11627.6,2.2,1.17,1.04,4.26,4.69,3.86,79,1.5e+07,0,1,"MIL",55,46,9,27.1,15.4,56.6,20.7,4.3,4.52,4.04,0.271,0.4,0.3,1.3,0.381,0.267,0.557
"511",515,"Eric_Gordon","2017","HOU",75,50,25,31,10893.3,2.06,1.06,1,4,4.34,3.69,79,12385364,12943020,0,"HOU",69,55,14,31.2,18,40.2,25.3,2,2.95,2.46,0.448,0.3,0.1,0.7,0.55,0.5,0.844
"512",516,"Eric_Gordon","2018","HOU",69,55,14,31.2,10755.6,2.04,1.07,0.97,3.94,4.23,3.66,90,12943020,13500375,0,"HOU",68,44,24,31.7,16.2,38.8,24.1,1.7,2.64,2.01,0.418,0.3,0.1,0.6,0.611,0.8,1.048
"513",517,"Eric_Gordon","2019","HOU",68,44,24,31.7,11147,2.11,1.12,0.99,3.75,3.97,3.52,95,13500375,14057730,0,"HOU",34,21,13,28.6,14.5,34.9,22.2,1.5,2.65,2.06,0.417,0.3,0.2,0.4,1.222,0.625,0.6
"516",520,"Eric_Moreland","2018","DET",67,32,35,12,4664.8,0.88,0.46,0.42,4.43,4.59,4.27,326,1739333,1826300,0,"TOR",5,3,2,8.6,1.4,14.6,8.4,0.4,1.71,0.37,0.096,1.4,0.6,1.2,0.286,0.667,0.333
"518",522,"Ersan_Ilyasova","2017","ATL",82,35,47,26.1,9721.5,1.84,1,0.84,4.24,4.69,3.8,122,8400000,0,1,"PHI",69,36,33,25.1,10.9,45.7,27.3,1,1.36,0.45,0.238,2.8,0.7,3.8,0.391,0.66,0.862
"519",523,"Ersan_Ilyasova","2018","PHI",69,36,33,25.1,9483.1,1.8,0.97,0.83,4.31,4.71,3.92,178,6e+06,0,1,"MIL",67,49,18,18.4,6.8,28.1,15.9,0.6,1.26,0.36,0.241,1.1,0.4,2.8,0.534,0.37,0.884
"520",524,"Ersan_Ilyasova","2019","MIL",67,49,18,18.4,7294.2,1.38,0.73,0.65,4.2,4.53,3.87,177,7e+06,7e+06,0,"MIL",55,44,11,16,6.9,25.8,14,0.6,1.39,0.42,0.267,0.9,0.3,2.5,0.708,0.667,0.985
"521",486,"ETwaun_Moore","2017","NOP",73,32,41,24.9,9481,1.8,0.95,0.85,4.33,4.7,3.98,125,8081363,8445024,0,"NOP",82,48,34,31.5,12.5,39,27.6,1.5,2.24,1.62,0.319,1.1,0.2,1.9,0.681,0.647,1.032
"522",487,"ETwaun_Moore","2018","NOP",82,48,34,31.5,12401.6,2.35,1.22,1.13,4.49,4.88,4.13,134,8445024,8808685,0,"NOP",53,21,32,27.6,11.9,37.7,26,1.5,2.45,1.87,0.317,1.2,0.1,2.1,0.815,0.667,0.929
"523",488,"ETwaun_Moore","2019","NOP",53,21,32,27.6,11471.6,2.17,1.15,1.02,4.42,4.88,4,144,8808685,8664928,0,"NOP",50,26,24,18.8,8.7,27.3,18.2,1.2,2.69,2.29,0.318,0.5,0,0.9,0.826,1,0.723
"525",525,"Evan_Fournier","2017","ORL",68,23,45,32.9,12389.5,2.35,1.25,1.1,4.31,4.67,3.97,42,1.7e+07,1.7e+07,0,"ORL",57,20,37,32.2,17.8,41.7,32.9,1.8,2.53,1.79,0.426,0.8,0.1,1.2,0.864,0.286,1.014
"526",526,"Evan_Fournier","2018","ORL",57,20,37,32.2,12459.7,2.36,1.26,1.1,4.4,4.8,4.02,60,1.7e+07,1.7e+07,0,"ORL",79,40,39,31.5,15.1,43.4,35.1,2.2,2.99,2.15,0.348,0.9,0.1,1.1,0.618,0.25,0.884
"527",527,"Evan_Fournier","2019","ORL",79,40,39,31.5,12726.7,2.41,1.32,1.09,4.34,4.65,4.02,65,1.7e+07,1.7e+07,0,"ORL",61,26,35,31.7,18.8,44.5,36.2,2.3,3.12,2.26,0.423,0.7,0.1,0.6,0.762,0.6,1
"529",529,"Evan_Turner","2017","POR",65,34,31,25.5,9500.6,1.8,0.99,0.81,4.24,4.57,3.89,47,16393443,17131148,0,"POR",79,48,31,25.7,8.2,38.7,21.3,2.4,3.71,2.82,0.212,0.2,1.8,0.8,0.737,0.65,0.896
"530",530,"Evan_Turner","2018","POR",79,48,31,25.7,9512.9,1.8,0.97,0.83,4.21,4.4,4.01,58,17131148,17868852,0,"POR",73,47,26,22,6.8,48.6,18.6,3.8,4.74,4.04,0.139,0.5,1.8,1.2,0.424,0.679,0.824
"531",531,"Evan_Turner","2019","POR",73,47,26,22,8367.6,1.58,0.87,0.71,4.02,4.2,3.82,60,17868852,18606557,0,"MIN",19,3,16,13.2,3.3,26.8,10.5,1.9,4.23,3.52,0.122,0.2,0.6,0.7,0.667,0.417,0.769
"533",533,"Frank_Jackson","2019","NOP",61,22,39,19.2,8038.2,1.52,0.82,0.71,4.46,4.85,4.08,416,1378242,1618520,0,"NOP",50,24,26,12.7,5.5,19.3,11.3,0.9,2.68,2.19,0.283,0.1,0,0.3,1.143,0,0.857
"535",535,"Frank_Kaminsky","2017","CHA",75,31,44,26.1,9974,1.89,1.08,0.81,4.36,4.87,3.82,271,2730000,2847600,0,"CHA",79,35,44,23.2,11.1,47.3,26.6,1.3,1.64,0.6,0.233,2,1.2,1.3,0.443,0.598,0.835
"536",536,"Frank_Kaminsky","2018","CHA",79,35,44,23.2,8830.8,1.67,0.95,0.72,4.33,4.85,3.8,259,2847600,3627842,0,"CHA",47,22,25,16.1,8.6,33.5,21,0.8,1.52,0.56,0.257,1.2,0.7,1.8,0.719,0.875,0.93
"537",537,"Frank_Kaminsky","2019","CHA",47,22,25,16.1,6380.2,1.21,0.68,0.53,4.22,4.63,3.79,243,3627842,0,1,"PHX",31,12,19,22.1,10.6,45.6,28.2,1.2,1.54,0.52,0.234,4.1,1.5,3.9,0.378,0.66,0.758
"539",539,"Frank_Mason","2018","SAC",52,17,35,18.9,6843.9,1.3,0.69,0.61,4.16,4.41,3.92,430,1184385,1378242,0,"SAC",38,16,22,11.5,5.1,26.2,9.5,2.1,4.79,4.61,0.196,0.2,0,0.5,0.556,0,1.263
"540",540,"Frank_Mason","2019","SAC",38,16,22,11.5,4510.3,0.85,0.46,0.4,4.16,4.48,3.83,418,1378242,1618520,0,"MIL",6,5,1,8.8,2.3,18,8,1.5,4.93,4.65,0.13,0.2,0,0.3,0,0,0
"541",541,"Frank_Ntilikina","2018","NYK",77,27,50,22,8325.8,1.58,0.84,0.73,4.36,4.66,4.06,231,3501120,4155720,0,"NYK",42,9,33,21.1,5.8,40.2,17.5,2.8,4.17,3.66,0.144,0.2,0.1,0.1,0.5,0,0.333
"542",542,"Frank_Ntilikina","2019","NYK",42,9,33,21.1,8407.1,1.59,0.84,0.75,4.23,4.52,3.94,232,4155720,4855800,0,"NYK",57,19,38,20.8,6.3,49.5,18.1,3.6,4.38,3.93,0.127,0.2,0,0.4,0.571,0,0.5
"544",544,"Fred_VanVleet","2017","TOR",36,24,12,8.1,3276.8,0.62,0.32,0.3,4.6,4.81,4.43,460,543471,905249,0,"TOR",76,55,21,20,8.6,39.9,18.5,2.9,4.39,4.26,0.217,0.2,0,0.3,0.583,0,0.55
"545",545,"Fred_VanVleet","2018","TOR",76,55,21,20,8228.7,1.56,0.83,0.73,4.69,5.09,4.3,417,1312611,0,1,"TOR",64,46,18,27.5,11,56.1,26.8,4.1,4.41,4.2,0.195,0.2,0,0.5,1.273,0,0.586
"546",546,"Fred_VanVleet","2019","TOR",64,46,18,27.5,11292.2,2.14,1.16,0.98,4.36,4.76,3.96,147,8653847,9e+06,0,"TOR",48,35,13,35.8,17.6,77.9,36,5.9,4.58,4.32,0.226,0.3,0,0.8,0.308,0,0.622
"548",548,"Furkan_Korkmaz","2018","PHI",14,11,3,5.7,2328.6,0.44,0.25,0.19,4.68,4.89,4.44,379,1465920,1740000,0,"PHI",48,30,18,14.2,5.8,19,14.9,0.6,1.9,1.16,0.306,0.4,0,0.6,0.889,0,1.222
"549",549,"Furkan_Korkmaz","2019","PHI",48,30,18,14.2,6077,1.15,0.63,0.52,4.53,4.99,4.08,359,1740000,2033160,0,"PHI",64,38,26,21.8,9.7,25.3,19.4,0.9,2.06,1.49,0.384,0.6,0,0.6,0.556,0,0.789
"551",551,"Garrett_Temple","2017","SAC",65,25,40,26.6,9986.3,1.89,1.01,0.88,4.27,4.52,4.02,129,8e+06,8e+06,0,"SAC",65,23,42,24.8,8.4,38.2,25.1,1.9,2.99,2.3,0.22,0.4,0,0.8,0.652,0,0.54
"552",552,"Garrett_Temple","2018","SAC",65,23,42,24.9,9442.8,1.79,0.97,0.81,4.35,4.61,4.09,139,8e+06,8e+06,0,"LAC",75,37,38,27.2,7.8,36.1,25.4,1.5,2.45,1.67,0.216,0.6,0,0.8,0.548,0.667,0.825
