"","x","name","season","team.x","gp.x","w.x","l.x","min.x","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year","team.y","gp.y","w.y","l.y","min.y","pts","touches","front_ct_touches","time_of_poss","avg_sec_per_touch","avg_drib_per_touch","pts_per_touch","elbow_touches","post_ups","paint_touches","pts_per_elbow_touch","pts_per_post_touch","pts_per_paint_touch"
"366",354,"DeAnthony_Melton","2019","PHX",50,13,37,19.7,8173.2,1.55,0.83,0.72,4.42,4.79,4.06,456,949000,1416852,0,"MEM",52,25,27,19.4,8.1,38.1,18.8,2.1,3.29,2.59,0.212,0.5,0.1,1.6,1.167,0,0.798
"368",368,"Dejounte_Murray","2017","SAS",38,29,9,8.5,3425.8,0.65,0.35,0.3,4.62,4.92,4.31,389,1180080,1233240,0,"SAS",81,47,34,21.5,8.1,52.6,17.5,4.3,4.89,4.5,0.153,0.6,0,2.2,0.449,1.25,0.758
"371",371,"Delon_Wright","2017","TOR",27,19,8,16.5,6635.9,1.26,0.67,0.59,4.57,4.9,4.23,329,1577280,1645200,0,"TOR",69,49,20,20.8,8,42.4,21.9,2.9,4.1,3.58,0.189,0.3,0,0.9,0.409,0,0.898
"372",372,"Delon_Wright","2018","TOR",69,49,20,20.8,8378.8,1.59,0.85,0.73,4.61,4.97,4.25,336,1645200,2536898,0,"MEM",75,45,30,22.6,8.7,47.9,21.1,3.5,4.33,3.88,0.182,0.4,0.1,1.3,0.483,0,0.819
"373",373,"Delon_Wright","2019","MEM",75,45,30,22.6,9623.8,1.82,0.99,0.83,4.5,4.84,4.14,286,2536898,0,1,"DAL",64,38,26,21.7,7.3,43.8,19.9,3,4.05,3.5,0.165,0.3,0,1.3,0.667,0,0.639
"375",375,"DeMar_DeRozan","2017","TOR",73,46,27,35.5,12655.3,2.4,1.34,1.06,4.06,4.42,3.69,2,26540100,27739975,0,"TOR",80,57,23,33.9,23,63.3,38.2,4.9,4.68,3.99,0.363,1.4,1.2,1.1,0.618,0.452,0.857
"376",376,"DeMar_DeRozan","2018","TOR",80,57,23,33.9,12623.5,2.39,1.33,1.06,4.24,4.71,3.77,10,27739975,27739975,0,"SAS",77,44,33,34.9,21.2,59.9,31.1,5.1,5.1,4.65,0.354,1.2,2.4,1.1,0.6,0.481,0.816
"377",377,"DeMar_DeRozan","2019","SAS",77,44,33,34.9,13516.5,2.56,1.44,1.12,4.18,4.59,3.76,15,27739975,27739975,0,"SAS",60,25,35,34.3,22.2,61.2,32.8,5,4.9,4.38,0.363,1.1,1.8,1.1,0.477,0.453,0.697
"379",379,"DeMarcus_Cousins","2017","NOP",72,30,42,34.2,10800,2.05,1.07,0.97,3.6,3.67,3.52,45,16957900,18063850,0,"NOP",48,27,21,36.2,25.2,89.4,57,3.9,2.59,1.29,0.282,4,7.5,5,0.258,0.44,0.938
"380",380,"DeMarcus_Cousins","2018","NOP",48,27,21,36.2,11439.3,2.17,1.11,1.05,3.6,3.77,3.44,50,18063850,0,1,"GSW",30,23,7,25.7,16.3,55.4,36.8,2,2.21,0.91,0.293,2.6,7.2,5.1,0.688,0.484,0.908
"382",382,"DeMarre_Carroll","2017","TOR",71,43,28,26.2,9563,1.81,0.95,0.86,4.16,4.26,4.05,62,14200000,14800000,0,"BKN",71,24,47,29.9,13.7,51.3,31.6,2.1,2.48,1.47,0.267,0.4,0.2,1.8,0.615,0,0.651
"383",383,"DeMarre_Carroll","2018","BKN",71,24,47,29.9,10776.7,2.04,1.09,0.95,4.11,4.26,3.95,75,14800000,15400000,0,"BKN",67,36,31,25.4,11.1,36.2,21.5,1.3,2.13,1.27,0.307,0.4,0.1,1.1,1,0.5,0.907
"384",384,"DeMarre_Carroll","2019","BKN",67,36,31,25.4,9705.1,1.84,1,0.83,4.04,4.41,3.67,75,15400000,0,1,"HOU",21,10,11,11,3.5,15.1,7.3,0.6,2.32,1.31,0.23,0.1,0,0.5,0,0,0.5
"387",387,"Demetrius_Jackson","2017","BOS",5,1,4,3.4,1303,0.25,0.13,0.11,4.23,5.35,3.93,350,1450000,1384750,0,"PHI",15,12,3,5.3,1.1,12.7,4.6,0.9,4.39,4.32,0.084,0.1,0,0.2,0,0,0
"388",388,"Demetrius_Jackson","2018","PHI",15,12,3,5.3,2215.9,0.42,0.23,0.19,4.71,5.04,4.37,488,92858,92857,0,"PHI",6,5,1,6.6,3.7,13.5,7,1,4.47,4.06,0.272,0.2,0,0.5,2,0,0.667
"390",390,"Dennis_Schroder","2017","ATL",79,42,37,31.4,11931.4,2.26,1.22,1.04,4.32,4.76,3.91,272,2708582,15500000,0,"ATL",66,21,45,30.9,19.4,87.4,36.5,7.1,4.88,4.15,0.221,0.4,0,0.5,0.444,0,0.343
"391",391,"Dennis_Schroder","2018","ATL",66,21,45,30.9,12167.3,2.3,1.26,1.04,4.47,4.87,4.07,70,15500000,15500000,0,"OKC",78,46,32,29.3,15.4,55.2,24.2,4.4,4.81,4.13,0.279,0.3,0,0.5,0.182,1,0.444
"392",392,"Dennis_Schroder","2019","OKC",78,46,32,29.3,11704.6,2.22,1.13,1.09,4.21,4.54,3.91,74,15500000,15500000,0,"OKC",63,39,24,31,19,71.6,34.9,5,4.15,3.45,0.266,0.3,0,0.6,0.8,0,0.811
