Player,Season,TEAM,AGE,GP,MIN,Box Outs,OFF Box Outs,DEF Box Outs,Team Reb on Box Outs,Player Reb on Box Outs,% Box Outs Off,% Box Outs Def,% Team Reb When Box Out,% Player Reb When Box Out
Rudy Gay,2019,SAS,33,60,21.5,1.8,0.1,1.7,0.9,0.5,5.6,94.4,87.7,46.2
Royce O'Neale,2019,UTA,26,64,29.1,1.3,0,1.3,0.9,0.3,2.3,97.7,94.8,31
Rondae Hollis-Jefferson,2019,TOR,25,52,19.2,2,0.3,1.7,1,0.4,17,83,87.9,36.2
Romeo Langford,2019,BOS,20,27,11,0.6,0.1,0.5,0.4,0.1,12.5,87.5,90.9,18.2
Rodney McGruder,2019,LAC,28,50,15,0.6,0.1,0.6,0.4,0.2,9.7,90.3,91.3,39.1
Rodney Hood,2019,POR,27,21,29.5,1.2,0,1.2,0.4,0.1,0,100,90,20
Rodions Kurucs,2019,BKN,22,39,12.8,1.3,0.1,1.3,0.7,0.1,3.9,96.1,90.3,19.4
Robin Lopez,2019,MIL,32,60,14.4,3.5,0.4,3.2,2.1,0.5,10.3,89.7,89.2,19.4
Robert Williams III,2019,BOS,22,23,14,1.4,0.1,1.3,0.8,0.5,9.1,90.9,90,55
Robert Covington,2019,HOU,29,62,30.1,2.3,0.1,2.2,1.2,0.6,4.8,95.2,86.5,38.2
Ricky Rubio,2019,PHX,29,57,31.6,0.7,0,0.7,0.6,0.2,0,100,100,28.1
Richaun Holmes,2019,SAC,26,39,28.9,3.3,0.5,2.7,1.9,0.8,16.5,83.5,92.5,37.5
Reggie Jackson,2019,LAC,30,23,24.2,1,0,1,0.9,0.2,0,100,91.3,17.4
Reggie Bullock,2019,NYK,29,29,23.6,0.4,0.1,0.3,0.3,0.1,18.2,81.8,100,33.3
Rayjon Tucker,2019,UTA,22,14,5.6,0.2,0,0.2,0.1,0,0,100,100,0
Raul Neto,2019,PHI,28,49,11.5,0.3,0,0.3,0.2,0,0,100,81.8,0
Rajon Rondo,2019,LAL,34,48,20.5,0.5,0,0.5,0.3,0,0,100,85.7,7.1
RJ Barrett,2019,NYK,19,56,30.4,0.5,0,0.5,0.3,0.2,6.9,93.1,86.4,40.9
Quinndary Weatherspoon,2019,SAS,23,3,5,0,0,0,0,0,0,0,0,0
Quinn Cook,2019,LAL,27,38,10.8,0.2,0,0.2,0.2,0.1,0,100,100,33.3
Paul Watson,2019,TOR,25,5,5.2,0.2,0,0.2,0,0,0,100,0,0
Paul Millsap,2019,DEN,35,44,24.4,2,0.6,1.5,1.3,0.6,27,73,85.1,41.8
Paul George,2019,LAC,30,42,29.1,1.2,0,1.2,0.8,0.2,2,98,88.9,25
Patty Mills,2019,SAS,31,63,22.7,0.8,0,0.8,0.5,0.1,0,100,89.5,10.5
Patrick Patterson,2019,LAC,31,51,11.9,1.3,0.1,1.2,0.7,0.3,8.8,91.2,85.7,31
Patrick McCaw,2019,TOR,24,37,24.5,0.7,0,0.7,0.3,0.1,0,100,91.7,33.3
Patrick Beverley,2019,LAC,31,48,27.1,0.3,0.1,0.2,0.2,0.1,21.4,78.6,81.8,36.4
Pat Connaughton,2019,MIL,27,61,18.3,0.5,0.1,0.4,0.3,0.1,10.3,89.7,94.1,23.5
Pascal Siakam,2019,TOR,26,53,35.5,2.7,0,2.6,1.4,0.5,1.4,98.6,93.7,31.6
PJ Dozier,2019,DEN,23,21,11.1,0.5,0,0.5,0.3,0.1,0,100,75,12.5
P.J. Washington,2019,CHA,21,58,30.3,2.4,0.1,2.3,1.2,0.5,4.4,95.6,89.9,38
P.J. Tucker,2019,HOU,35,64,34.4,3.7,0.4,3.4,2.1,0.8,9.6,90,89.5,34
Otto Porter Jr.,2019,CHI,26,14,23.6,0.2,0.2,0,0.1,0.1,100,0,100,100
Oshae Brissett,2019,TOR,21,19,7.1,0.4,0.1,0.4,0.2,0.1,12.5,87.5,80,40
Omari Spellman,2019,MIN,22,49,18.1,1.9,0.3,1.6,1.1,0.5,18.3,81.7,90.2,39.3
OG Anunoby,2019,TOR,22,63,30.1,2.4,0.2,2.3,1.5,0.6,6.6,93.4,94.1,36.6
Norvel Pelle,2019,PHI,27,20,8.9,1.4,0.3,1.1,0.9,0.6,20.7,79.3,90.5,57.1
Norman Powell,2019,TOR,27,44,28.8,0.8,0.1,0.8,0.5,0.1,5.7,94.3,80,20
Noah Vonleh,2019,DEN,24,33,11,1.5,0.2,1.3,1,0.6,12,88,91.7,50
Nikola Vucevic,2019,ORL,29,54,32.6,5.5,0.5,5,3.3,1.4,8.5,91.5,93.7,40.2
Nikola Jokic,2019,DEN,25,65,32.3,4.2,0.7,3.5,2.7,1.5,15.7,84.3,93.7,52.6
Nigel Williams-Goss,2019,UTA,25,9,3.1,0.4,0,0.4,0.3,0,0,100,100,0
Nicolo Melli,2019,NOP,29,52,17.1,2.6,0.3,2.3,1.4,0.6,10.5,89.5,91.4,39.5
Nicolas Claxton,2019,BKN,21,15,12.5,2.1,0.1,1.9,1.3,0.3,6.5,93.5,90.5,19
Nicolas Batum,2019,CHA,31,22,23,0.7,0.2,0.5,0.4,0.4,31.3,68.8,81.8,72.7
Nickeil Alexander-Walker,2019,NOP,21,41,12.2,0.4,0,0.4,0.2,0.1,5.6,94.4,90.9,27.3
Nerlens Noel,2019,OKC,26,55,18.4,2.9,0.2,2.6,1.4,0.6,8.3,91.7,87.1,38.8
Nemanja Bjelica,2019,SAC,32,64,28.5,2,0.2,1.8,1.1,0.5,11.7,88.3,89.7,43.6
Naz Reid,2019,MIN,20,30,16.5,2.4,0.2,2.2,1.4,0.4,9.7,90.3,80.8,25
Naz Mitrou-Long,2019,IND,26,3,14.2,1,0,1,1,0,0,100,100,0
Nassir Little,2019,POR,20,48,11.9,0.7,0,0.7,0.2,0,3,97,84.6,7.7
Myles Turner,2019,IND,24,55,29.6,3,0.2,2.9,1.8,0.6,5.4,94.6,90.2,27.7
Mychal Mulder,2019,GSW,25,7,29.1,1.7,0,1.7,1,0.1,0,100,70,10
Moses Brown,2019,POR,20,9,3.7,0.2,0,0.2,0.1,0.1,0,100,100,100
Moritz Wagner,2019,WAS,23,37,19.1,3.4,0.3,3.1,1.7,0.8,7.9,92.1,85.3,37.3
Montrezl Harrell,2019,LAC,26,63,27.8,5.8,0.4,5.3,3.3,1.1,7.2,92.8,91.7,30.7
Monte Morris,2019,DEN,24,65,21.6,0.5,0,0.5,0.3,0,0,100,76.2,9.5
Mo Bamba,2019,ORL,22,60,14.5,1.9,0.4,1.6,1.3,0.7,20.5,79.5,91.5,48.8
Miye Oni,2019,UTA,22,5,2.1,0.2,0,0.2,0.2,0,0,100,100,0
Mitchell Robinson,2019,NYK,22,61,23.2,4.4,0.6,3.8,2.4,1.1,13.5,86.5,90.8,41.1
Miles Bridges,2019,CHA,22,65,30.7,1.2,0.1,1.1,0.7,0.2,5.3,94.7,93.6,29.8
Mike Scott,2019,PHI,31,63,17.8,2.3,0.3,2,1.3,0.6,13.7,86.3,88.9,43.3
Mike Muscala,2019,OKC,28,41,12,2.4,0.1,2.3,1.3,0.4,6,94,91.5,27.1
Mike Conley,2019,UTA,32,41,28.6,0.6,0,0.6,0.4,0.1,0,100,94.1,17.6
Mikal Bridges,2019,PHX,23,65,27.3,1.5,0.1,1.5,0.7,0.2,3,97,94,22
Michael Porter Jr.,2019,DEN,21,48,14,0.3,0.1,0.3,0.2,0.1,23.5,76.5,100,54.5
Michael Kidd-Gilchrist,2019,DAL,26,21,11,1.5,0.1,1.4,1.1,0.4,9.4,90.6,95.7,39.1
Michael Frazier,2019,HOU,26,8,8.2,0.1,0,0.1,0,0,0,100,0,0
Michael Carter-Williams,2019,ORL,28,42,18.4,0.5,0.1,0.4,0.4,0.1,15,85,100,13.3
Mfiondu Kabengele,2019,LAC,22,12,5.4,0,0,0,0,0,0,0,0,0
Meyers Leonard,2019,MIA,28,49,20.1,4.5,0.5,4,2.6,0.9,10.1,89.9,87,30.8
Melvin Frazier Jr.,2019,ORL,23,15,3.4,0.1,0,0.1,0.1,0,0,100,100,0
Maxi Kleber,2019,DAL,28,66,25.7,3.7,0.3,3.4,2.2,0.7,7,93,91.7,28
Max Strus,2019,CHI,24,2,3.1,0.5,0,0.5,0,0,0,100,0,0
Maurice Harkless,2019,NYK,27,62,23,0.9,0.1,0.8,0.6,0.3,13.6,86.4,92.9,38.1
Matthew Dellavedova,2019,CLE,29,57,14.4,1.1,0.1,1,0.7,0.1,6.7,93.3,86,9.3
Matt Thomas,2019,TOR,25,33,9.7,0.3,0,0.2,0.1,0,11.1,88.9,80,20
Matt Mooney,2019,CLE,23,4,4.7,0.8,0,0.8,0.5,0.3,0,100,100,50
Matisse Thybulle,2019,PHI,23,57,19.5,0.5,0,0.4,0.3,0,3.8,96.2,95,10
Mason Plumlee,2019,DEN,30,53,17,1.4,0.4,1.1,0.8,0.3,25,75,95.5,36.4
Marvin Williams,2019,MIL,33,52,19.4,2.4,0.2,2.2,1.2,0.2,8.7,91.3,81,11.4
Marvin Bagley III,2019,SAC,21,13,25.7,3.3,0.8,2.5,1.9,1.1,23.3,76.7,92.3,53.8
Marquese Chriss,2019,GSW,22,59,20.3,2.2,0.2,2,1.1,0.6,10.6,89.4,87.8,51.4
Marques Bolden,2019,CLE,22,1,2.8,0,0,0,0,0,0,0,0,0
Marko Guduric,2019,MEM,25,42,11.3,0.3,0.1,0.2,0.1,0.1,16.7,83.3,75,25
Markieff Morris,2019,LAL,30,52,21.3,1.9,0.1,1.8,1.1,0.4,4,96,89.2,35.4
Markelle Fultz,2019,ORL,22,64,28.3,0.8,0,0.8,0.6,0.1,4,96,92.9,7.1
Mario Hezonja,2019,POR,25,47,16.3,1,0,1,0.6,0.2,0,100,96.4,35.7
Marial Shayok,2019,PHI,24,2,5.2,0.5,0,0.5,0.5,0.5,0,100,100,100
Marcus Smart,2019,BOS,26,53,32.5,1.6,0.1,1.6,1,0.3,3.5,96.5,87.3,25.4
Marcus Morris Sr.,2019,LAC,30,55,31.4,2.1,0.2,1.9,1.2,0.4,9.5,90.5,88.9,33.3
Marco Belinelli,2019,SAS,34,52,15,0.3,0,0.3,0.2,0,0,100,91.7,16.7
Marc Gasol,2019,TOR,35,36,27.5,3.9,0.2,3.7,2.4,0.9,5.7,94.3,90.6,32.3
Malik Newman,2019,CLE,23,1,3.7,0,0,0,0,0,0,0,0,0
Malik Monk,2019,CHA,22,55,21.3,0.3,0,0.2,0.1,0.1,7.1,92.9,87.5,50
Malik Beasley,2019,MIN,23,55,22,0.7,0,0.6,0.4,0.1,5.6,94.4,85.7,17.9
Malcolm Miller,2019,TOR,27,25,5,0.7,0,0.7,0.4,0.1,0,100,90.9,27.3
Malcolm Brogdon,2019,IND,27,48,30.7,0.4,0.1,0.3,0.3,0.1,30,70,86.7,33.3
Luke Kornet,2019,CHI,24,36,15.5,2.6,0.2,2.4,1.4,0.6,6.4,93.6,94.5,36.4
Luke Kennard,2019,DET,23,28,32.9,0.6,0,0.6,0.4,0.1,0,100,83.3,25
Luka Samanic,2019,SAS,20,1,12,1,0,1,1,0,0,100,100,0
Luka Doncic,2019,DAL,21,54,33.3,0.3,0,0.3,0.2,0.1,5.6,94.4,100,36.4
Luguentz Dort,2019,OKC,21,29,22,0.5,0,0.5,0.3,0,0,100,88.9,11.1
Louis King,2019,DET,21,10,6.2,0.3,0,0.3,0.1,0.1,0,100,100,100
Lou Williams,2019,LAC,33,60,29.3,0.5,0,0.5,0.3,0,0,100,90,10
Lonzo Ball,2019,NOP,22,56,32.4,0.5,0.1,0.5,0.3,0.1,10.7,89.3,78.9,31.6
Lonnie Walker IV,2019,SAS,21,53,14.5,0.3,0,0.3,0.3,0.1,0,100,86.7,20
LeBron James,2019,LAL,35,60,34.9,1.6,0.2,1.5,0.9,0.5,10.2,89.8,83.3,48.5
Lauri Markkanen,2019,CHI,23,50,29.8,2,0.1,2,1.2,0.3,2.9,97.1,92.5,23.9
Larry Nance Jr.,2019,CLE,27,56,26.3,3.6,0.8,2.9,1.9,1,20.8,79.2,87.6,44.6
Langston Galloway,2019,DET,28,66,25.8,0.6,0,0.6,0.4,0.1,2.7,97.3,86.2,17.2
Landry Shamet,2019,LAC,23,47,27.5,0.8,0,0.8,0.5,0.1,0,100,88.9,14.8
LaMarcus Aldridge,2019,SAS,34,53,33.1,5.5,0.5,5,3.2,1.4,8.9,91.1,92.8,40.3
Kyrie Irving,2019,BKN,28,20,32.9,0.8,0.1,0.8,0.5,0,5.9,94.1,81.8,0
Kyle O'Quinn,2019,PHI,30,26,9.9,1.5,0.3,1.2,0.8,0.3,20,80,90.9,40.9
Kyle Lowry,2019,TOR,34,52,36.6,1.9,0.1,1.8,1.4,0.3,8.1,91.9,89.3,16.7
Kyle Kuzma,2019,LAL,24,54,24.6,1.9,0.1,1.7,0.9,0.4,7,93,90.7,37
Kyle Korver,2019,MIL,39,50,16.7,0.6,0,0.6,0.4,0,3.2,96.8,95,10
Kyle Guy,2019,SAC,22,2,2,0,0,0,0,0,0,0,0,0
Kyle Anderson,2019,MEM,26,59,19.3,0.8,0.1,0.7,0.6,0.3,16.7,83.3,91.7,47.2
Ky Bowman,2019,GSW,22,45,22.6,0.8,0,0.8,0.5,0,0,100,92,8
Kristaps Porzingis,2019,DAL,24,51,31.3,2.8,0.1,2.7,1.8,0.9,4.8,95.2,97.9,50.5
Kris Dunn,2019,CHI,26,51,24.9,0.7,0,0.7,0.4,0.1,0,100,100,31.6
Kostas Antetokounmpo,2019,LAL,22,3,1.7,0.7,0,0.7,0.3,0,0,100,100,0
Khyri Thomas,2019,DET,24,8,7.7,0.1,0,0.1,0,0,0,100,0,0
Khris Middleton,2019,MIL,28,55,30.1,1.2,0.1,1.1,0.8,0.3,7.5,92.5,88,32
Khem Birch,2019,ORL,27,40,19.4,2.2,0.3,1.9,1.1,0.5,15.9,84.1,91.8,40.8
Kevon Looney,2019,GSW,24,20,13.1,2.5,0.1,2.4,1.4,0.7,6,94,96.4,50
Kevin Porter Jr.,2019,CLE,20,50,23.2,0.5,0,0.4,0.3,0.1,8.3,91.7,94.4,16.7
Kevin Love,2019,CLE,31,56,31.8,3.8,0.4,3.5,2.3,1.4,9.8,90.2,91.4,55
Kevin Knox II,2019,NYK,20,65,17.9,0.5,0,0.5,0.3,0.1,0,100,95.2,28.6
Kevin Huerter,2019,ATL,21,56,31.4,1,0.1,0.9,0.7,0.2,8.6,91.4,95.3,20.9
Kevin Hervey,2019,OKC,23,7,2.8,0,0,0,0,0,0,0,0,0
Kentavious Caldwell-Pope,2019,LAL,27,63,25.5,1,0.1,0.8,0.5,0.1,14.8,85.2,81.1,24.3
Kent Bazemore,2019,SAC,30,64,25.1,0.5,0,0.4,0.3,0.1,3.4,96.6,94.1,47.1
Kenrich Williams,2019,NOP,25,35,22.3,2.1,0.1,1.9,0.9,0.2,5.6,94.4,83.8,18.9
Kendrick Nunn,2019,MIA,24,62,29.8,1.1,0,1.1,0.8,0.1,1.4,98.6,90.7,16.7
Kemba Walker,2019,BOS,30,50,31.8,0.5,0,0.5,0.3,0.1,0,100,87.5,18.8
Kelly Oubre Jr.,2019,PHX,24,56,34.5,0.9,0.1,0.8,0.6,0.2,8,92,97.1,38.2
Kelly Olynyk,2019,MIA,29,59,18.5,2.3,0.2,2,1.3,0.3,9.8,90.2,86.2,20.7
Keldon Johnson,2019,SAS,20,9,10.2,0.1,0,0.1,0,0,0,100,0,0
Kelan Martin,2019,MIN,24,31,16,0.9,0,0.9,0.5,0.1,0,100,93.3,26.7
Keita Bates-Diop,2019,DEN,24,39,17.1,0.6,0,0.6,0.3,0.1,0,100,100,16.7
Kawhi Leonard,2019,LAC,28,51,32.2,1.6,0,1.6,0.9,0.3,0,100,88.7,32.1
Karl-Anthony Towns,2019,MIN,24,35,33.9,3.4,0.4,3,2.1,1.2,11.7,88.3,90.1,50.6
Kadeem Allen,2019,NYK,27,10,11.7,0.2,0,0.2,0.2,0,0,100,100,0
KZ Okpala,2019,MIA,21,5,5.2,0.2,0,0.2,0.2,0,0,100,100,0
Juwan Morgan,2019,UTA,23,16,4.6,0.8,0.1,0.7,0.5,0.2,8.3,91.7,100,37.5
Justise Winslow,2019,MEM,24,11,32,1.2,0.1,1.1,0.5,0.2,7.7,92.3,62.5,25
Justin Wright-Foreman,2019,UTA,22,1,1.5,1,0,1,1,0,0,100,100,0
Justin Robinson,2019,WAS,22,9,5.4,0.3,0,0.3,0.3,0,0,100,100,0
Justin Patton,2019,OKC,22,5,4.9,1,0,1,0.2,0,0,100,100,0
Justin James,2019,SAC,23,34,6.4,0.1,0,0.1,0.1,0,0,100,100,25
Justin Jackson,2019,DAL,25,58,16,0.9,0,0.8,0.5,0.1,2,98,93.5,22.6
Justin Holiday,2019,IND,31,65,24.9,1.7,0,1.7,1.1,0.3,0.9,99.1,93.2,26
Justin Anderson,2019,BKN,26,3,5.6,0.3,0,0.3,0,0,0,100,0,0
Julius Randle,2019,NYK,25,64,32.5,2.7,0.6,2.2,1.8,1,20,80,95,52.9
Juancho Hernangomez,2019,MIN,24,48,17.4,1.4,0.2,1.2,0.8,0.3,13.4,86.6,97.4,36.8
Juan Toscano-Anderson,2019,GSW,27,13,20.9,2.6,0.2,2.4,1.1,0.5,8.8,91.2,73.7,31.6
Jrue Holiday,2019,NOP,29,55,34.9,1.6,0.1,1.5,0.8,0.1,4.5,95.5,92,16
Josh Richardson,2019,PHI,26,48,30.7,0.5,0.1,0.4,0.3,0.1,13.6,86.4,94.4,22.2
Josh Reaves,2019,DAL,22,2,0.7,0,0,0,0,0,0,0,0,0
Josh Okogie,2019,MIN,21,62,25,0.4,0.2,0.3,0.3,0.1,37,63,89.5,47.4
Josh Magette,2019,ORL,30,8,4.7,0.1,0,0.1,0.1,0,0,100,100,0
Josh Jackson,2019,MEM,23,18,19.8,0.8,0.2,0.6,0.4,0.1,21.4,78.6,80,20
Josh Hart,2019,NOP,25,57,27.4,1.1,0,1.1,0.5,0.2,0,100,96.3,37
Josh Gray,2019,NOP,26,2,11.4,0,0,0,0,0,0,0,0,0
Jordan Poole,2019,GSW,20,57,22.3,0.3,0,0.3,0.2,0,0,100,81.3,12.5
Jordan McRae,2019,DET,29,37,21.2,0.1,0,0.1,0.1,0,0,100,100,0
Jordan McLaughlin,2019,MIN,24,30,19.7,0.4,0,0.4,0.3,0.1,0,100,80,20
Jordan Clarkson,2019,UTA,27,63,24.2,1,0,1,0.6,0.2,3.1,96.9,88.9,24.4
Jordan Bone,2019,DET,22,10,5.3,0,0,0,0,0,0,0,0,0
Jordan Bell,2019,MEM,25,29,8.8,0.6,0.1,0.5,0.5,0.2,23.5,76.5,100,53.8
Jonathan Isaac,2019,ORL,22,32,29.7,2.3,0.3,2,1.1,0.4,12.3,87.7,94.4,36.1
Jonas Valanciunas,2019,MEM,28,62,26.3,5.9,1.4,4.5,3.5,1.9,23.5,76.5,89.8,47.8
Jonah Bolden,2019,PHX,24,7,6.7,0.4,0,0.4,0.1,0,0,100,100,0
Johnathan Williams,2019,WAS,25,11,12.3,1.2,0.3,0.9,0.6,0.2,23.1,76.9,87.5,25
Johnathan Motley,2019,LAC,25,13,3.2,0.3,0,0.3,0.1,0.1,0,100,100,100
John Konchar,2019,MEM,24,15,11.1,0.2,0.1,0.1,0.2,0.1,33.3,66.7,100,66.7
John Henson,2019,DET,29,40,15,2.1,0.1,2,1.2,0.6,7,93,94.1,45.1
John Collins,2019,ATL,22,41,33.2,3.2,0.8,2.4,1.7,0.9,25.4,74.6,86.3,45
Joel Embiid,2019,PHI,26,44,30.2,4.5,0.6,3.9,2.9,1.5,13.1,86.9,95.5,50.8
Joe Ingles,2019,UTA,32,64,29.9,1.3,0,1.3,0.7,0.1,0,100,87.5,12.5
Joe Harris,2019,BKN,28,63,30.9,1.5,0.1,1.4,1.1,0.2,6.2,93.8,90.7,18.7
Joe Chealey,2019,CHA,24,4,8.4,0,0,0,0,0,0,0,0,0
Jimmy Butler,2019,MIA,30,54,34.3,1.7,0.3,1.4,1.1,0.3,17,83,90.9,24.2
Jevon Carter,2019,PHX,24,50,15.1,0.3,0,0.3,0.2,0,0,100,100,22.2
Jerome Robinson,2019,WAS,23,55,13.6,0.4,0,0.4,0.3,0.1,8.3,91.7,83.3,22.2
Jeremy Pargo,2019,GSW,34,3,14.8,1.7,0,1.7,0.7,0,0,100,100,0
Jeremy Lamb,2019,IND,28,46,28.1,0.3,0,0.3,0.2,0,14.3,85.7,100,25
Jeremiah Martin,2019,BKN,23,3,5.3,0,0,0,0,0,0,0,0,0
Jerami Grant,2019,DEN,26,64,26.2,2.1,0.2,1.9,0.9,0.2,8.8,91.2,85.3,17.6
Jeff Teague,2019,ATL,31,59,24.8,0.3,0,0.3,0.2,0,0,100,100,18.2
Jeff Green,2019,HOU,33,40,18.9,2.3,0,2.3,1.1,0.3,1.1,98.9,95.8,20.8
Jayson Tatum,2019,BOS,22,59,34.6,1.2,0.1,1.2,0.6,0.3,4.1,95.9,90.2,41.5
Jaylen Nowell,2019,MIN,20,15,10.1,0.1,0,0.1,0.1,0,0,100,100,0
Jaylen Hoard,2019,POR,21,13,7.9,0.4,0,0.4,0.2,0.1,0,100,100,66.7
Jaylen Brown,2019,BOS,23,50,34,1.6,0.1,1.6,1,0.3,4.9,95.1,94.1,25.5
Jaxson Hayes,2019,NOP,20,56,17,2.3,0.1,2.2,1.1,0.5,3.9,96.1,94.1,36.8
Javonte Green,2019,BOS,26,44,9.4,0.5,0,0.5,0.3,0.2,4.8,95.2,86.7,53.3
Jarrod Uthoff,2019,MEM,27,4,3.4,0.5,0,0.5,0.3,0,0,100,100,0
Jarrett Culver,2019,MIN,21,63,23.9,0.4,0.1,0.4,0.3,0.1,10.7,89.3,84.2,36.8
Jarrett Allen,2019,BKN,22,64,25.7,3.5,0.3,3.1,1.7,1.1,10,90,91.7,56.2
Jarrell Brantley,2019,UTA,23,5,2.7,0,0,0,0,0,0,0,0,0
Jarred Vanderbilt,2019,MIN,21,11,4.2,0.5,0,0.5,0.2,0.1,0,100,100,50
Jaren Jackson Jr.,2019,MEM,20,54,28,1.9,0,1.8,0.9,0.2,2,97,90.7,18.5
Jared Harper,2019,PHX,22,3,2.6,0,0,0,0,0,0,0,0,0
Jared Dudley,2019,LAL,34,40,7.8,1.1,0.1,1.1,0.8,0.1,4.5,95.5,90.9,15.2
James Johnson,2019,MIN,33,32,19.4,1.9,0,1.9,0.9,0.2,1.6,98.4,83.3,19.4
James Harden,2019,HOU,30,61,36.7,1.6,0,1.6,1,0.2,2,98,95.4,21.5
James Ennis III,2019,ORL,29,61,17.3,0.4,0.1,0.3,0.3,0.1,33.3,66.7,95.2,42.9
Jamal Murray,2019,DEN,23,55,32.8,0.8,0.1,0.8,0.5,0.1,8.5,91.5,96.6,17.2
Jalen McDaniels,2019,CHA,22,16,18.3,1,0,1,0.6,0.2,0,100,83.3,25
Jalen Lecque,2019,PHX,19,4,6.6,0,0,0,0,0,0,0,0,0
Jalen Brunson,2019,DAL,23,57,17.9,0.5,0,0.5,0.3,0.1,6.9,93.1,75,20
Jakob Poeltl,2019,SAS,24,58,16.6,3,0.3,2.6,1.8,0.8,11.6,88.4,94.5,40.9
Jake Layman,2019,MIN,26,23,22,2.6,0.2,2.4,1.1,0.3,6.7,93.3,83.9,22.6
Jahlil Okafor,2019,NOP,24,28,15.2,3.1,0.4,2.6,1.7,0.8,14,86,90.6,41.5
Jae Crowder,2019,MIA,29,58,29.2,1,0.1,1,0.6,0.2,5.1,94.9,94.3,40
Jacob Evans,2019,MIN,22,29,14.4,0.5,0,0.5,0.3,0.1,0,100,100,20
Jabari Parker,2019,SAC,25,33,25.8,2.2,0.5,1.7,1,0.5,22.2,77.8,86.8,44.7
JaVale McGee,2019,LAL,32,61,16.8,2.1,0.2,1.8,1.1,0.6,11.1,88.9,88,46.7
JaMychal Green,2019,LAC,29,55,20.5,2.8,0.4,2.4,1.6,0.6,13.5,86.5,88.8,34.7
JaKarr Sampson,2019,IND,27,26,13.1,1.3,0.1,1.2,0.7,0.1,6.1,93.9,81,19
Ja Morant,2019,MEM,20,59,30,0.8,0,0.8,0.6,0.1,2.1,97.9,89.7,15.4
JJ Redick,2019,NOP,35,54,26.4,1.1,0,1.1,0.7,0.1,3.3,96.7,83.3,9.5
J.P. Macura,2019,CLE,24,1,0.6,0,0,0,0,0,0,0,0,0
J.J. Barea,2019,DAL,35,26,15,0.1,0,0.1,0.1,0,0,100,75,25
Ivica Zubac,2019,LAC,23,64,18.1,2.8,0.6,2.3,1.8,1.1,19.6,80.4,93.4,57
Ish Smith,2019,WAS,31,60,26.2,0.5,0,0.4,0.3,0.1,3.7,96.3,88.9,16.7
Isaiah Thomas,2019,WAS,31,40,23.1,0.2,0,0.2,0.2,0,0,100,87.5,12.5
Isaiah Roby,2019,OKC,22,3,3.8,0.7,0,0.7,0.3,0.3,0,100,100,100
Isaiah Hartenstein,2019,HOU,22,23,11.6,2.6,0.4,2.2,1.5,0.7,16.7,83.3,92.1,39.5
Isaac Bonga,2019,WAS,20,58,17.7,0.8,0.1,0.7,0.4,0.1,10.9,89.1,82.8,27.6
Iman Shumpert,2019,BKN,29,13,18.5,0.7,0,0.7,0.4,0.1,0,100,100,20
Ignas Brazdeikis,2019,NYK,21,9,5.9,0,0,0,0,0,0,0,0,0
Ian Mahinmi,2019,WAS,33,38,21.3,3.8,0.5,3.3,2.1,0.8,13,87,89.9,32.6
Henry Ellenson,2019,BKN,23,5,3,0,0,0,0,0,0,0,0,0
Hassan Whiteside,2019,POR,30,61,31.3,2.9,0.9,1.9,1.7,1.1,33.3,66.7,94.6,63.1
Harry Giles III,2019,SAC,22,38,15.2,2,0.2,1.8,1.1,0.7,10.7,89.3,97.7,58.1
Harrison Barnes,2019,SAC,28,64,34.9,2.2,0.2,2,1.2,0.3,7.9,92.1,87.1,25.9
Hamidou Diallo,2019,OKC,21,38,18.4,0.5,0.1,0.5,0.4,0.2,10.5,89.5,93.3,40
Grayson Allen,2019,MEM,24,30,16.6,0.5,0,0.5,0.3,0,0,100,90.9,0
Grant Williams,2019,BOS,21,62,15.6,2.6,0.5,2,1.4,0.5,19.5,79.9,85.7,32.7
Gorgui Dieng,2019,MEM,30,58,17.5,2.5,0.3,2.2,1.4,0.6,11.1,88.9,93,39.5
Gordon Hayward,2019,BOS,30,45,33.4,1.5,0.2,1.3,0.9,0.2,10.4,89.6,95.2,26.2
Goran Dragic,2019,MIA,34,54,28.4,0.4,0,0.4,0.3,0.1,4.3,95.7,89.5,36.8
Goga Bitadze,2019,IND,20,49,8.4,1.4,0.1,1.2,0.6,0.2,9,91,88.2,35.3
Glenn Robinson III,2019,PHI,26,60,29.1,0.6,0,0.6,0.3,0.1,5.6,94.4,81.8,18.2
Giannis Antetokounmpo,2019,MIL,25,57,30.9,2,0.3,1.7,1,0.6,16.7,83.3,93.2,57.6
Georges Niang,2019,UTA,26,58,13.3,1.1,0,1.1,0.6,0.1,0,100,84.6,15.4
George Hill,2019,MIL,34,52,21.2,0.9,0.2,0.7,0.5,0.2,26.1,73.9,83.9,29
Gary Trent Jr.,2019,POR,21,53,20,0.4,0.1,0.3,0.2,0,19,81,73.3,13.3
Gary Payton II,2019,WAS,27,29,14.9,0.2,0,0.2,0.1,0.1,16.7,83.3,80,40
Gary Harris,2019,DEN,25,56,31.8,0.5,0,0.5,0.4,0.1,0,100,87,13
Gary Clark,2019,ORL,25,35,12.1,1.2,0,1.1,0.5,0.2,2.4,97.6,81,33.3
Garrison Mathews,2019,WAS,23,18,12.6,0.8,0.1,0.8,0.5,0.1,6.7,93.3,100,11.1
Garrett Temple,2019,BKN,34,55,28.1,0.6,0,0.6,0.4,0.1,3.2,96.8,85.2,22.2
