Player,Season,TEAM,AGE,GP,MIN,Box Outs,OFF Box Outs,DEF Box Outs,Team Reb on Box Outs,Player Reb on Box Outs,% Box Outs Off,% Box Outs Def,% Team Reb When Box Out,% Player Reb When Box Out
Seth Curry,2018,POR,28,74,18.9,0.4,0,0.4,0.3,0.1,0,100,91.7,16.7
Shabazz Napier,2018,BKN,27,56,17.6,0.5,0,0.5,0.3,0,3.6,96.4,94.4,11.1
Shai Gilgeous-Alexander,2018,LAC,20,82,26.5,0.8,0,0.8,0.4,0.1,0,100,90,17.5
Shake Milton,2018,PHI,22,20,13.4,0.8,0,0.8,0.5,0.1,0,100,76.9,23.1
Shaquille Harrison,2018,CHI,25,73,19.6,0.8,0,0.8,0.5,0.2,3.4,96.6,95,35
Shaun Livingston,2018,GSW,33,64,15.1,0.4,0.1,0.3,0.2,0,13,87,82.4,11.8
Shelvin Mack,2018,CHA,29,57,21.9,0.9,0,0.9,0.4,0.1,0,100,72.7,12.1
Sindarius Thornwell,2018,LAC,24,64,4.9,0.2,0,0.2,0.1,0,9.1,90.9,100,25
Skal Labissiere,2018,POR,23,22,8,2.1,0.2,1.9,0.8,0.2,8.7,91.3,78.3,21.7
Solomon Hill,2018,NOP,28,44,20,1.8,0.1,1.6,0.8,0.1,7.7,92.3,77.3,9.1
Spencer Dinwiddie,2018,BKN,26,68,28.1,1.1,0,1.1,0.7,0.2,0,100,89.8,24.5
Stanley Johnson,2018,NOP,23,66,18.3,1.6,0.1,1.4,0.7,0.3,9.4,90.6,85.2,31.5
Stephen Curry,2018,GSW,31,69,33.8,1.3,0.3,1.1,0.7,0.3,19.6,80.4,75,29.4
Sterling Brown,2018,MIL,24,58,17.8,1.3,0.1,1.2,0.8,0.1,9.2,90.8,93.9,14.3
Steven Adams,2018,OKC,25,80,33.4,8.9,2.8,6.1,4.5,1.8,31.1,68.9,86.1,34.2
Svi Mykhailiuk,2018,DET,22,42,10.5,0.5,0,0.5,0.3,0,0,100,92.9,7.1
T.J. McConnell,2018,PHI,27,76,19.3,0.4,0,0.4,0.3,0.1,0,100,95.7,17.4
T.J. Warren,2018,PHX,25,43,31.6,4.2,0.1,4.1,1.2,0.3,1.7,98.3,89.8,20.3
TJ Leaf,2018,IND,22,58,9,1.6,0.2,1.4,0.6,0.2,11.1,88.9,86,30.2
Tahjere McCall,2018,BKN,24,1,8,1,0,1,1,0,0,100,100,0
Taj Gibson,2018,MIN,34,70,24.1,4.5,1.3,3.2,1.9,0.9,28.3,71.4,77.3,37.2
Taurean Prince,2018,ATL,25,55,28.2,0.8,0,0.8,0.6,0.1,0,100,88.2,23.5
Terrance Ferguson,2018,OKC,21,74,26.1,1.2,0.1,1.1,0.8,0,4.6,95.4,87.7,4.6
Terrence Jones,2018,HOU,27,2,2.6,0.5,0,0.5,0.5,0.5,0,100,100,100
Terrence Ross,2018,ORL,28,81,26.5,1,0.1,1,0.7,0.2,7.1,92.9,91.7,26.7
Terry Rozier,2018,BOS,25,79,22.7,0.6,0,0.6,0.4,0.1,2.1,97.9,85.7,20
Thabo Sefolosha,2018,UTA,35,50,12.2,1.8,0.1,1.7,0.9,0.2,6.5,93.5,93.6,23.4
