Player,Season,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
Marcin Gortat,2016,WAS,82,49,33,31.2,10.8,47,22.1,1.1,1.39,0.31,0.229,4.8,3.1,8.8,0.448,0.59,0.861
Marcelo Huertas,2016,LAL,23,5,18,10.3,2.7,23.3,7.5,1.9,4.99,4.73,0.117,0.2,0,0.2,1,0,0
Marc Gasol,2016,MEM,74,40,34,34.2,19.5,74.9,56.1,2.5,2.04,0.63,0.261,8.5,10.7,4.5,0.297,0.54,0.65
Manu Ginobili,2016,SAS,68,51,17,18.6,7.4,32,22,1.5,2.83,2.01,0.23,0.4,0.1,0.8,0.333,0,0.404
Manny Harris,2016,DAL,4,1,3,6.2,2,15,8.5,1,4.1,3.57,0.133,0,0,1.3,0,0,0.4
Malik Beasley,2016,DEN,21,11,10,7.7,3.8,10,6.8,0.4,2.12,1.42,0.376,0.1,0,0.4,0,0,1.75
Malcolm Delaney,2016,ATL,73,37,36,17.1,5.4,37,15.5,3,4.88,4.56,0.145,0.2,0,0.3,0,0,0.381
Malcolm Brogdon,2016,MIL,75,38,37,26.4,10.2,57.2,23.8,4.2,4.41,4.38,0.179,0.8,0.5,1.6,0.552,0.324,0.602
Malachi Richardson,2016,SAC,22,9,13,9,3.6,11.7,8.3,0.5,2.57,1.78,0.306,0.2,0,0.1,0,0,1
Luol Deng,2016,LAL,56,18,38,26.5,7.6,37.6,22.3,1.2,1.99,1.08,0.202,0.8,0.9,2,0.667,0.4,0.802
Luke Babbitt,2016,MIA,68,35,33,15.7,4.8,26.2,13.1,0.6,1.45,0.54,0.182,0.3,0.1,0.2,0.353,0,0.267
Luis Scola,2016,BKN,35,7,28,12.7,5,24.1,15.2,0.6,1.44,0.51,0.207,1,1.3,2.3,0.324,0.543,0.775
Lucas Nogueira,2016,TOR,56,33,23,19,4.4,20.9,10.9,0.4,1.04,0.24,0.211,1.9,0.1,4.3,0.204,0.25,0.788
Luc Mbah a Moute,2016,LAC,80,49,31,22.3,6.1,20.1,12.8,0.6,1.66,0.8,0.301,0.5,0.1,1.4,0.474,0.273,0.786
Lou Williams,2016,HOU,81,34,47,24.6,17.5,44,23.2,2.8,3.77,3.12,0.399,0.2,0,0.6,0.3,0,0.674
Leandro Barbosa,2016,PHX,65,19,46,14.5,6.4,21.5,15.8,1,2.9,2.52,0.295,0.3,0,0.4,0.316,0,0.667
LeBron James,2016,CLE,74,51,23,37.8,26.4,88.1,43.2,6.4,4.36,3.28,0.3,3.3,3.9,3.8,0.531,0.41,0.921
Lavoy Allen,2016,IND,60,31,29,14.5,3,23.3,11.6,0.6,1.45,0.27,0.127,1.5,0.7,3.4,0.236,0.233,0.559
Larry Sanders,2016,CLE,5,2,3,2.5,0.8,4,2,0.1,1.81,0.6,0.2,0.4,0.4,1.2,0,0,0.667
Larry Nance Jr.,2016,LAL,63,21,42,22.9,7.1,36.7,20.1,0.9,1.52,0.43,0.194,3.4,1,4.8,0.338,0.277,0.683
Langston Galloway,2016,SAC,74,29,45,20.2,7.9,29.6,17.5,1.6,3.2,2.79,0.267,0.5,0.1,0.5,0.27,0,0.514
Lance Thomas,2016,NYK,46,15,31,21,6,29.8,20.4,0.8,1.68,0.44,0.201,0.9,0.3,1.2,0.244,0.5,0.528
Lance Stephenson,2016,IND,18,8,10,20.1,6.8,35.7,19.1,2.9,4.92,4.62,0.19,0.3,0.3,0.5,0.333,0,0.778
Lamar Patterson,2016,ATL,5,1,4,8.1,1.8,17.2,8,1.1,3.8,3.15,0.105,0.2,0,0.4,0,0,0
