Player,Season,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
Aaron Gordon,2016,ORL,80,29,51,28.7,12.7,38.7,27.3,1.6,2.4,1.6,0.329,1.1,1.1,3.3,0.919,0.692,1.142
Aaron Brooks,2016,IND,64,36,28,13.6,4.8,27.9,9.8,2.6,5.59,5.94,0.172,0.1,0,0.2,1,0,0.308
AJ Hammons,2016,DAL,22,4,18,7.4,2.2,7.4,5.7,0.2,1.85,0.34,0.294,0.5,1,1.1,0.7,0.091,0.64
Zhou Qi,2017,HOU,18,14,4,6.9,1.2,8.2,4.4,0.2,1.5,0.5,0.15,0.2,0.2,0.6,0.5,0,0.727
Zaza Pachulia,2017,GSW,69,47,22,14.1,5.4,26.1,15.6,0.6,1.48,0.44,0.207,2.4,1.2,3.9,0.552,0.247,0.825
Zach Randolph,2017,SAC,59,18,41,25.6,14.5,51.3,35.8,1.8,2.07,0.84,0.283,4.3,8.5,4.4,0.295,0.529,0.927
Zach LaVine,2017,CHI,24,9,15,27.3,16.7,46.1,28.7,3.3,4.34,3.73,0.362,0.3,0.2,0.8,1,0.5,1
Zach Collins,2017,POR,66,41,25,15.8,4.4,19,12,0.6,1.85,0.69,0.232,0.8,1.4,1.6,0.4,0.323,0.689
Yogi Ferrell,2017,DAL,82,24,58,27.8,10.2,45.7,22,3,3.97,3.45,0.224,0.6,0,0.4,0.271,0,0.606
Xavier Silas,2017,BOS,2,1,1,3.7,0,4.5,3.5,0.2,2.22,1.56,0,0.5,0,0.5,0,0,0
Xavier Rathan-Mayes,2017,NYK,5,0,5,23.6,5.8,54.8,22.6,3.8,4.14,3.52,0.106,0,0,0.6,0,0,0.333
Xavier Munford,2017,MIL,6,2,4,3.5,0.5,7.3,2.8,0.6,4.82,3.98,0.068,0.2,0,0,0,0,0
Wilson Chandler,2017,DEN,74,41,33,31.7,10,38.4,27,1.5,2.38,1.28,0.26,0.5,1.4,3.3,0.286,0.413,0.653
Willy Hernangomez,2017,CHA,48,20,28,10.3,5.1,18.5,10,0.5,1.7,0.54,0.276,1.9,1.4,3.2,0.319,0.406,0.771
Willie Reed,2017,LAC,42,20,22,10.2,4.6,12.5,7.2,0.4,1.7,0.59,0.372,1.1,1,2.9,0.6,0.442,1.132
Willie Cauley-Stein,2017,SAC,73,23,50,28,12.8,54.8,33,1.7,1.85,0.64,0.233,7.1,3.9,6.6,0.35,0.489,0.84
Will Barton,2017,DEN,81,46,35,33.1,15.7,58.5,33.3,3.8,3.89,3.09,0.268,0.5,0.1,1.4,0.667,0,1.009
Wesley Matthews,2017,DAL,63,20,43,33.8,12.7,46.8,34.5,1.8,2.28,1.41,0.272,1.4,2.5,1.2,0.124,0.346,0.513
Wesley Johnson,2017,LAC,74,38,36,20.1,5.4,20.8,13.2,0.5,1.45,0.59,0.262,0.4,0.1,0.9,0.654,0.5,0.783
Wes Iwundu,2017,ORL,62,18,44,16.5,3.7,18.3,11.4,0.7,2.46,1.57,0.202,0.3,0,1,0.8,0,0.852
Wayne Selden,2017,MEM,35,10,25,19.8,9.3,29.1,23.1,1.5,3.03,2.24,0.32,0.3,0,0.5,0.5,0,0.632
Wayne Ellington,2017,MIA,76,41,35,26.6,11.3,29.9,23.9,0.8,1.59,0.77,0.376,0.3,0,0.4,0.583,3,0.677
Walt Lemon Jr.,2017,NOP,5,4,1,7,3.4,12.6,5.8,0.9,4.22,3.68,0.27,0,0,0,0,0,0
Wade Baldwin IV,2017,POR,7,4,3,11.5,5.4,18.3,8,1.4,4.52,4.02,0.297,0,0,0.3,0,0,0.5
Vincent Hunter,2017,MEM,4,0,4,1.8,1.5,2.8,2,0.1,1.91,1.27,0.545,0.3,0.5,0.8,2,1,0.667
Vince Carter,2017,SAC,58,20,38,17.7,5.4,28.3,18.4,0.9,1.94,0.71,0.191,0.9,1.3,0.7,0.154,0.333,0.286
Victor Oladipo,2017,IND,75,48,27,34,23.1,64.3,36,4.4,4.13,3.6,0.36,1.1,0,1.1,0.585,0,0.894
Vander Blue,2017,LAL,5,1,4,9,0.6,5.6,4.2,0.3,2.75,1.79,0.107,0,0,0,0,0,0
Udonis Haslem,2017,MIA,14,9,5,5.1,0.6,5.1,3.9,0.2,2.04,0.66,0.113,0.6,0.6,0.4,0,0.25,0.667
Tyus Jones,2017,MIN,82,47,35,17.9,5.1,38.3,12.8,3.1,4.81,4.28,0.132,0.2,0,0.3,0.316,0,0.769
Tyson Chandler,2017,PHX,46,15,31,25,6.5,33.9,18.3,0.9,1.56,0.28,0.192,3.4,0.5,6.6,0.173,0.091,0.875
Tyrone Wallace,2017,LAC,30,17,13,28.4,9.7,44.2,21.9,2.3,3.14,2.69,0.22,0.7,0.3,1.3,0.762,0.667,0.625
Tyreke Evans,2017,MEM,52,19,33,30.9,19.4,72.9,37.4,5.8,4.79,4.08,0.266,0.5,0.4,1.3,0.643,0.5,0.536
Tyler Zeller,2017,MIL,64,26,38,16.7,6.5,22.1,15,0.5,1.33,0.35,0.296,2.2,0.4,4.6,0.486,0.519,0.911
Tyler Ulis,2017,PHX,71,20,51,23.4,7.8,54.2,17.7,4.6,5.14,5.38,0.144,0.4,0,0.3,0.16,0,0.389
Tyler Lydon,2017,DEN,1,1,0,2.2,0,4,3,0.1,1.01,0.5,0,0,0,1,0,0,0
Tyler Johnson,2017,MIA,71,38,33,28.5,11.6,42.1,27.6,2,2.87,2.27,0.275,0.5,0,0.7,0.486,0,0.585
Tyler Ennis,2017,LAL,54,22,32,12.7,4.1,28.3,10.9,2.1,4.4,4.06,0.147,0.3,0,0.4,0.75,0,0.571
Tyler Dorsey,2017,ATL,56,15,41,17.4,7.2,26.8,19.4,1.3,2.92,2.23,0.27,0.3,0,0.5,0.471,0,0.643
Tyler Cavanaugh,2017,ATL,38,11,27,13.2,4.8,22.2,13.1,0.5,1.32,0.36,0.217,1.4,0.1,1.8,0.148,0,0.686
Troy Williams,2017,NYK,21,7,14,14.6,6.3,19.2,14.3,0.5,1.69,0.74,0.329,0.4,0,1.7,1.125,0,0.829
Troy Daniels,2017,PHX,79,20,59,20.5,8.9,24.4,18.6,0.7,1.73,1.04,0.364,0.4,0,0.2,0.645,1,0.588
Tristan Thompson,2017,CLE,53,27,26,20.2,5.8,28.2,12.9,0.7,1.52,0.44,0.205,1.9,0.5,5.7,0.466,0.385,0.717
Trey McKinney-Jones,2017,IND,1,1,0,1.2,0,1,1,0,2.28,0,0,0,0,0,0,0,0
Trey Lyles,2017,DEN,73,41,32,19.1,9.9,35.5,20.2,1.2,1.95,0.86,0.279,0.7,1.8,2,0.82,0.541,0.972
Trey Burke,2017,NYK,36,10,26,21.8,12.8,55.9,21,4.8,5.11,4.88,0.229,0.3,0.1,0.4,0.364,0.667,1.125
Trevor Booker,2017,IND,67,36,31,17.1,6.4,34,19.3,0.9,1.66,0.6,0.187,2,1.8,3.8,0.478,0.39,0.763
Trevor Ariza,2017,HOU,67,51,16,33.9,11.7,38,26.5,1.1,1.8,0.87,0.308,0.3,0.1,0.8,0.739,0.286,0.404
Treveon Graham,2017,CHA,63,28,35,16.7,4.3,19.5,11.7,0.5,1.68,0.83,0.223,0.3,0.1,0.9,0.35,0,0.673
Travis Wear,2017,LAL,17,7,10,13.4,4.4,19.5,9.8,0.4,1.38,0.53,0.227,0.2,0.3,0.2,1,0.8,1
Torrey Craig,2017,DEN,39,22,17,16.1,4.2,16.9,10.7,0.5,1.79,0.92,0.248,0.2,0.1,1.8,0.444,0,0.841
Tony Snell,2017,MIL,74,42,32,27.4,6.8,25.7,16.7,0.7,1.58,0.75,0.266,0.3,0,0.4,0.792,0,0.714
Tony Parker,2017,SAS,55,32,23,19.5,7.7,46.2,15.4,4.3,5.55,5.88,0.166,0.4,0,0.3,0.2,0,0.444
Tony Bradley,2017,UTA,9,6,3,3.2,0.9,4.3,2.7,0.1,1.53,0.49,0.205,0.9,0.2,0.8,0.5,0,0.571
Tony Allen,2017,NOP,22,12,10,12.4,4.7,14.3,8.5,0.5,2.08,1.32,0.327,0.5,0.2,2.2,0.909,0.5,0.729
Tomas Satoransky,2017,WAS,73,39,34,22.5,7.2,48.1,18.4,3.5,4.36,4.25,0.149,0.4,0.2,1.5,0.387,0.769,0.72
Tobias Harris,2017,LAC,80,39,41,33.3,18.6,70.2,37.9,2.5,2.12,1.18,0.265,0.9,1.7,1.6,0.735,0.752,0.721
Timothe Luwawu-Cabarrot,2017,PHI,51,29,22,15.6,5.7,20.2,16.2,0.6,1.69,0.94,0.284,0.2,0,0.9,1.111,0,0.844
Timofey Mozgov,2017,BKN,29,11,18,11.9,4.4,18.4,12.2,0.4,1.41,0.38,0.241,1.3,1.2,3.1,0.432,0.389,0.733
Tim Quarterman,2017,HOU,3,2,1,4.2,1.3,8.7,3,0.7,4.77,4.12,0.154,0,0,0,0,0,0
Tim Hardaway Jr.,2017,NYK,57,19,38,33.1,17.5,53.9,39.9,2.2,2.49,1.45,0.324,1.1,0,1.2,0.823,0,1.086
Tim Frazier,2017,WAS,59,31,28,14.2,3,32.7,10,2.7,4.94,4.64,0.091,0.2,0,0.4,0.182,0,0.217
Thon Maker,2017,MIL,73,40,33,16.8,4.8,22.5,11.9,0.5,1.46,0.22,0.215,2,0.2,3,0.26,0.333,0.573
Thomas Bryant,2017,LAL,15,7,8,4.8,1.5,6.8,3.7,0.2,1.5,0.34,0.216,0.5,0.3,0.7,0,0,1
Thaddeus Young,2017,IND,81,48,33,32.2,11.8,48.7,26.4,1.4,1.7,0.7,0.242,2,3.4,4.9,0.5,0.505,0.88
Thabo Sefolosha,2017,UTA,38,16,22,21.2,8.2,34.2,20.9,1.1,1.97,1.04,0.24,1.1,0.1,1.6,0.775,0,0.814
Terry Rozier,2017,BOS,77,51,26,26,11.5,58.2,24.8,4.1,4.18,3.68,0.197,0.5,0,0.9,0.333,2,0.423
Terrence Ross,2017,ORL,24,10,14,25,8.7,29.8,21.1,1.1,2.22,1.44,0.292,0.5,0.1,0.4,0.308,0,1.1
Terrance Ferguson,2017,OKC,59,37,22,12.6,3.2,8.2,6.7,0.2,1.41,0.72,0.389,0.3,0,0.5,0.933,0,0.621
Taurean Prince,2017,ATL,81,24,57,30,14.1,48,32.9,2.1,2.62,1.63,0.294,0.3,0.1,0.8,0.5,0.4,0.902
Tarik Black,2017,HOU,51,40,11,10.5,3.5,18.6,9.3,0.5,1.71,0.37,0.19,1.1,0.2,2.8,0.732,0.333,0.785
Taj Gibson,2017,MIN,82,47,35,33.2,12.2,49.8,27.2,1.2,1.48,0.56,0.245,3.8,2.7,7.1,0.519,0.628,0.91
TJ Leaf,2017,IND,53,31,22,8.7,2.9,11.7,6.5,0.3,1.47,0.47,0.251,0.4,0.2,0.9,0.5,0.5,0.86
T.J. Warren,2017,PHX,65,18,47,33,19.6,45.1,34.3,1.7,2.31,1.46,0.434,3.2,1.8,4.6,0.74,0.686,1.054
T.J. McConnell,2017,PHI,75,50,25,22.4,6.2,53.2,21.5,3.6,4.04,3.74,0.117,0.3,0.1,0.7,0.667,0,0.453
Steven Adams,2017,OKC,75,43,32,32.8,13.9,40,26,0.9,1.41,0.34,0.348,5,2,13,0.614,0.682,0.812
Sterling Brown,2017,MIL,54,26,28,14.4,4,16,9.9,0.5,1.88,1.17,0.251,0.3,0,0.5,0.471,0,0.577
Stephen Curry,2017,GSW,51,41,10,32,26.4,77.1,31.1,5.1,3.96,3.7,0.342,1.1,0.2,1.6,0.945,0.667,0.901
Stanley Johnson,2017,DET,69,33,36,27.4,8.7,28.4,20.6,1.4,2.94,2.07,0.305,0.3,0.4,0.8,0.45,0.4,0.769
Spencer Dinwiddie,2017,BKN,78,27,51,28.9,12.7,70.7,28.9,6,5.07,4.28,0.179,0.1,0,0.5,0.2,2,0.902
Solomon Hill,2017,NOP,12,8,4,15.6,2.4,20.6,10.3,0.8,2.21,1.45,0.117,0.5,0.1,1.3,0,0,0.313
Skal Labissiere,2017,SAC,60,19,41,20.7,8.7,33.9,21.1,1,1.84,0.52,0.258,4,3.8,4.2,0.315,0.408,0.693
Sindarius Thornwell,2017,LAC,73,36,37,15.8,3.9,17.6,11.2,0.6,2.16,1.46,0.219,0.2,0,0.8,0.4,0,0.661
Shelvin Mack,2017,ORL,69,21,48,19.8,6.9,43.6,17.9,3.6,4.88,4.74,0.157,0.3,0.1,0.3,0.5,0,0.739
Shaun Livingston,2017,GSW,71,49,22,15.9,5.5,32.8,14.6,1.9,3.43,2.89,0.169,0.7,1.2,1.7,0.633,0.593,0.828
Shaquille Harrison,2017,PHX,23,3,20,16.7,6.6,33.4,14.3,2.4,4.22,3.81,0.198,0.1,0,0.7,0,0,0.733
Shane Larkin,2017,BOS,51,36,15,14.6,4.5,27.4,12.3,2.1,4.62,4.6,0.166,0.2,0,0.3,0.625,0,0.692
Shabazz Napier,2017,POR,74,46,28,20.7,8.7,36,16.8,2.8,4.61,4.24,0.241,0.3,0,0.6,0.391,0,0.415
Shabazz Muhammad,2017,MIL,43,25,18,9.7,5,10.6,8.4,0.4,2.19,1.33,0.468,0.5,1.1,1.5,1.045,0.66,0.922
Serge Ibaka,2017,TOR,76,53,23,27.5,12.6,42.1,25.5,1.1,1.62,0.46,0.3,1.3,1.1,2.5,0.735,0.889,0.865
Semi Ojeleye,2017,BOS,70,47,23,16.2,2.8,20.3,10.5,0.5,1.59,0.56,0.137,0.2,0.1,0.7,0.471,0,0.521
Sean Kilpatrick,2017,CHI,52,22,30,12.3,6.3,17.9,11.8,0.9,3.09,2.53,0.354,0.3,0,0.3,0.625,0,0.692
Scotty Hopson,2017,DAL,1,0,1,8.4,1,7,2,0.3,2.18,1.71,0.143,0,0,0,0,0,0
Sam Dekker,2017,LAC,73,36,37,12.1,4.2,18.4,9.8,0.5,1.67,0.86,0.225,0.3,0.1,1.4,1.273,0.333,0.879
Salah Mejri,2017,DAL,61,21,40,11.9,3.5,17.3,9,0.4,1.45,0.33,0.202,1.9,0.2,3.2,0.342,0.833,0.809
Ryan Arcidiacono,2017,CHI,24,6,18,12.7,2,24.5,8.9,1.5,3.78,3.47,0.082,0,0,0.1,0,0,1
Ryan Anderson,2017,HOU,66,52,14,26.1,9.3,31,18.8,0.7,1.39,0.45,0.301,0.4,0.3,1.7,0.28,0.667,0.699
Russell Westbrook,2017,OKC,78,47,31,36.4,25.3,96,30.6,9.1,5.72,5.34,0.263,1.2,0.9,2.1,0.696,0.58,0.675
Rudy Gobert,2017,UTA,56,37,19,32.4,13.5,59.5,33.7,1.5,1.49,0.35,0.227,6.7,0.6,10.8,0.405,0.143,0.88
Rudy Gay,2017,SAS,57,36,21,21.6,11.5,40.1,21.9,1.6,2.44,1.39,0.287,1.6,3.1,2.3,0.404,0.701,0.955
Royce O'Neale,2017,UTA,69,43,26,16.7,5,22.1,14.4,1,2.81,2.3,0.225,0.3,0,0.6,0.429,0,0.526
Rondae Hollis-Jefferson,2017,BKN,66,25,41,28,13.8,59.8,34.1,2.1,2.07,1.2,0.231,2.3,4.2,4.2,0.572,0.535,0.7
Ron Baker,2017,NYK,28,11,17,13.1,2.1,19.2,12.2,0.9,2.95,2.41,0.112,0.1,0,0.4,0.5,0,1
Rodney Purvis,2017,ORL,16,5,11,18.1,6,21.3,15.3,0.9,2.49,1.85,0.282,0.4,0,0.3,0,0,0
Rodney McGruder,2017,MIA,18,11,7,16.6,5.1,19.4,13.7,0.6,1.91,1.11,0.261,0.5,0,1.4,0.444,0,0.885
Rodney Hood,2017,CLE,60,29,31,26.9,14.7,37.8,27.8,1.9,3.03,2.26,0.389,0.5,0.2,0.7,0.844,0.917,0.581
Robin Lopez,2017,CHI,64,23,41,26.4,11.8,34.9,28.8,1.1,1.84,0.74,0.338,6.4,4.1,6.8,0.537,0.41,0.843
Robert Covington,2017,PHI,79,51,28,31.7,12.7,46.9,30,1.1,1.44,0.47,0.271,0.8,0.1,1.5,0.468,0.571,0.78
Ricky Rubio,2017,UTA,77,44,33,29.3,13.1,77.2,33,5.9,4.61,4.36,0.17,0.5,0,0.4,0.343,0,0.235
Richaun Holmes,2017,PHI,47,30,17,15.5,6.6,27.6,18.7,0.7,1.42,0.42,0.238,3.9,0.4,4,0.159,0.444,1.032
Richard Jefferson,2017,DEN,20,10,10,8.2,1.5,9,6.3,0.3,2.33,1.26,0.168,0.1,0,0.8,0,0,0.6
Reggie Jackson,2017,DET,45,27,18,26.7,14.6,68.8,22.8,6.3,5.53,5.26,0.212,0.3,0.1,0.7,0.571,0.5,0.485
Reggie Hearn,2017,DET,3,3,0,2.2,1,1,1,0.1,3.88,2.33,1,0,0,0,0,0,0
Reggie Bullock,2017,DET,62,32,30,27.9,11.3,30.2,25,0.8,1.66,0.66,0.372,0.6,0,1.7,0.65,0,0.858
Raymond Felton,2017,OKC,80,48,32,16.7,6.8,35.4,13.7,3.2,5.46,5.06,0.193,0.2,0,0.3,0.706,0,0.818
Raul Neto,2017,UTA,41,28,13,12.2,4.5,27.6,12.2,2.1,4.63,4.59,0.162,0.2,0,0.4,0.571,0,1
Rashad Vaughn,2017,MIL,28,13,15,7.6,2.3,7.8,5.7,0.3,2.02,1.39,0.295,0.1,0,0.1,2,0,0.75
Ramon Sessions,2017,WAS,28,10,18,14,4.9,32,11.7,2.7,5,4.74,0.152,0.2,0,0.3,1.167,0,0.444
Rajon Rondo,2017,NOP,65,41,24,26.2,8.3,69.3,25.3,4.7,4.08,3.44,0.119,0.6,0.1,1.1,0.158,0,0.377
RJ Hunter,2017,HOU,5,3,2,9,3.8,12.8,5.8,0.9,4.41,4.13,0.297,0,0,0.4,0,0,2.5
Quinn Cook,2017,GSW,33,21,12,22.4,9.5,49.7,24.1,3.1,3.69,3.73,0.19,0.6,0,0.8,0.476,0,0.571
Quincy Pondexter,2017,CHI,23,6,17,8.5,2,12.4,7.6,0.4,1.93,0.91,0.157,0.1,0,0.9,1.333,0,0.65
Quincy Acy,2017,BKN,68,25,43,19.5,5.9,32.8,20,0.7,1.27,0.25,0.18,0.5,0.2,0.9,0.429,0.357,0.629
Paul Zipser,2017,CHI,54,17,37,15.3,4,28.8,15.9,1,1.99,1.14,0.14,0.3,0.1,0.6,0.143,1,0.6
Paul Millsap,2017,DEN,38,22,16,30.1,14.6,48.8,33,1.9,2.34,1.29,0.299,1.2,4.4,3.1,0.591,0.581,0.828
Paul George,2017,OKC,78,47,31,36.6,22,56.7,37.7,2.8,2.99,2.29,0.388,0.9,1,1.7,0.486,0.403,0.699
Pau Gasol,2017,SAS,77,45,32,23.5,10.1,53.1,32.6,1.4,1.55,0.38,0.189,4.9,3.1,4.6,0.338,0.423,0.821
Patty Mills,2017,SAS,82,47,35,25.7,10,47.1,25,3.1,3.99,4.21,0.212,0.3,0,0.4,0.545,0,0.706
Patrick Patterson,2017,OKC,80,48,32,15.3,3.7,20.7,11.5,0.5,1.32,0.43,0.18,0.4,0.3,0.8,0.276,0.455,0.651
Patrick McCaw,2017,GSW,57,41,16,16.9,4,26.2,14.5,1.2,2.82,2.03,0.153,0.3,0,0.9,0.889,0,0.717
Patrick Beverley,2017,LAC,11,5,6,30.3,12.2,63.5,30.8,4.2,3.93,3.61,0.192,0.8,0,1.3,0.222,0,0.429
Pat Connaughton,2017,POR,82,49,33,18.1,5.4,21.5,15.7,0.8,2.24,1.3,0.25,0.3,0,0.9,0.682,0,0.712
Pascal Siakam,2017,TOR,81,59,22,20.7,7.3,37.7,21.5,1.1,1.73,0.84,0.193,1,0.3,2.8,0.53,0.364,0.872
PJ Dozier,2017,OKC,2,1,1,1.6,1,2.5,1.5,0.1,2.68,2.2,0.4,0,0,0,0,0,0
P.J. Tucker,2017,HOU,82,65,17,27.8,6.1,32.3,15.9,0.7,1.38,0.56,0.19,0.6,0.1,1.4,0.042,0,0.518
Otto Porter Jr.,2017,WAS,77,42,35,31.6,14.7,48.4,28.6,1.7,2.16,1.13,0.305,1.5,0.7,2.4,0.679,0.6,0.909
Omri Casspi,2017,GSW,53,40,13,14,5.7,24.3,14,0.7,1.78,0.88,0.233,0.9,0.5,2.9,0.56,0.379,0.895
Omer Asik,2017,CHI,18,7,11,10.1,1.2,13.2,5.5,0.3,1.34,0.38,0.092,1.1,0.1,1.4,0.45,0,0.32
Omari Johnson,2017,MEM,4,1,3,18.8,5.5,27.8,16.5,0.7,1.56,0.37,0.198,1.3,0.3,1.3,0,0,0.8
Okaro White,2017,CLE,6,2,4,13.3,3.3,20.2,8.7,0.5,1.4,0.26,0.165,0,0,0.7,0,0,1.25
OG Anunoby,2017,TOR,74,51,23,20,5.9,18,13,0.5,1.76,0.97,0.33,0.2,0.1,1,0.647,0.167,0.944
Norman Powell,2017,TOR,70,51,19,15.2,5.5,21,14.6,0.9,2.71,2.22,0.262,0.2,0,0.3,0.733,0,0.611
Noah Vonleh,2017,CHI,54,24,30,16.2,4.9,30.1,13.1,0.8,1.65,0.73,0.163,0.8,0.9,2.2,0.341,0.391,0.792
Nikola Vucevic,2017,ORL,57,17,40,29.5,16.5,65.5,42.9,1.8,1.69,0.58,0.252,5.2,6.1,6.8,0.446,0.362,0.884
Nikola Mirotic,2017,NOP,55,34,21,27.2,15.6,56.2,27.2,1.7,1.81,0.72,0.278,0.9,2.8,3.3,0.725,0.558,0.961
Nikola Jokic,2017,DEN,75,43,32,32.6,18.5,86.2,51,3.1,2.13,0.99,0.214,4.2,7.5,6.3,0.318,0.455,0.803
Nik Stauskas,2017,BKN,41,14,27,12.8,4.4,19.1,12.4,1,3,2.33,0.231,0.1,0,0.1,0,0,0.333
Nigel Hayes,2017,SAC,9,6,3,13.6,3,21.3,12.8,0.6,1.71,0.48,0.141,1.4,0.8,0.3,0.154,0.571,0
Nicolas Brussino,2017,ATL,4,0,4,2.5,0,2,1.3,0.1,2.09,1.25,0,0,0,0.3,0,0,0
Nicolas Batum,2017,CHA,64,27,37,31,11.6,53.9,39.5,2.3,2.51,1.46,0.214,0.9,1.8,1.3,0.661,0.416,0.837
Nick Young,2017,GSW,80,56,24,17.4,7.3,19.5,14.4,0.7,2.03,1.23,0.372,0.3,0.1,0.4,0.87,0.333,1.065
Nick Collison,2017,OKC,13,9,4,4.4,2,9.6,5.8,0.3,1.65,0.61,0.208,0.9,0.1,1.4,0.917,2,0.944
Nerlens Noel,2017,DAL,30,6,24,15.7,4.4,20.4,11.5,0.5,1.53,0.45,0.214,2.6,0.4,5.1,0.282,0.167,0.682
Nene,2017,HOU,52,42,10,14.6,6.5,24,14.1,0.6,1.62,0.44,0.273,3.3,0.6,4.2,0.637,0.781,0.761
Nemanja Bjelica,2017,MIN,67,38,29,20.5,6.8,32.1,16.8,0.9,1.72,0.74,0.211,0.3,0.2,1.4,0.522,0.267,0.979
Naz Mitrou-Long,2017,UTA,1,0,1,0.5,3,2,2,0,0.92,0.5,1.5,0,0,0,0,0,0
Nate Wolters,2017,UTA,5,3,2,3.8,0.4,7.4,4.2,0.5,4.43,3.27,0.054,0,0,0,0,0,0
Myles Turner,2017,IND,65,39,26,28.2,12.7,48.9,27.9,1.1,1.4,0.34,0.26,3.4,2.4,3.7,0.498,0.619,0.849
Myke Henry,2017,MEM,20,3,17,18.9,5.4,26.5,20.1,0.9,2.09,1.21,0.202,0.6,0.1,1.1,0.583,0,0.952
Montrezl Harrell,2017,LAC,76,39,37,17,11,27.5,17.3,0.9,1.95,0.86,0.4,1.9,2.3,4.7,0.76,0.773,1.02
Monte Morris,2017,DEN,3,2,1,8.4,3.3,20.3,8,1.8,5.33,5.33,0.164,0,0,0,0,0,0
Mirza Teletovic,2017,MIL,9,4,5,15.8,7.6,28.7,15.9,0.6,1.24,0.34,0.264,0.1,0.2,0.4,0,1,0.5
Mindaugas Kuzminskas,2017,NYK,1,0,1,1.9,0,2,2,0.1,2.42,1,0,0,0,2,0,0,0
Milton Doyle,2017,BKN,10,2,8,12.5,3.4,21.2,11.9,1.4,3.89,3.36,0.16,0.3,0,0.4,0,0,0.5
Milos Teodosic,2017,LAC,45,29,16,25.2,9.5,61.4,24.7,3.6,3.53,3,0.155,0.3,0,0.2,0.308,0,0.4
Miles Plumlee,2017,ATL,55,19,36,16.7,4.3,24.4,15.1,0.7,1.62,0.47,0.176,4,0.5,4.4,0.198,0.333,0.713
Mike Scott,2017,WAS,76,39,37,18.5,8.8,29.9,19.3,0.8,1.59,0.6,0.294,2.8,1.4,2.1,0.366,0.679,0.795
Mike Muscala,2017,ATL,53,14,39,20,7.6,31.2,18.7,0.7,1.28,0.36,0.245,1.8,0.2,2.3,0.379,0.333,0.76
Mike James,2017,PHX,36,11,25,19.1,9.3,46.4,15.6,4.2,5.4,5.31,0.201,0.2,0,0.5,0.375,0,0.111
Mike Conley,2017,MEM,12,7,5,31.1,17.1,69,34.8,5.3,4.6,4.48,0.248,0.3,0,0.4,0,0,0.6
Michael Kidd-Gilchrist,2017,CHA,74,34,40,25,9.2,23.7,15.9,0.9,2.19,1.57,0.388,0.9,0.5,2.1,0.631,0.735,0.83
Michael Carter-Williams,2017,CHA,52,23,29,16.1,4.6,34.5,12.4,2.9,5.08,4.74,0.133,0.3,0.1,1.2,0.176,0,0.617
Michael Beasley,2017,NYK,73,23,50,22.1,13,41.8,26.4,1.5,2.11,0.94,0.31,4.1,3.6,3.1,0.567,0.541,0.934
Meyers Leonard,2017,POR,33,17,16,7.7,3.4,14,8.5,0.4,1.76,0.36,0.242,1.1,0.3,1.5,0.676,1,0.843
Maxi Kleber,2017,DAL,72,20,52,16.8,5.4,20.1,12.4,0.5,1.4,0.33,0.267,0.9,0.4,2.5,0.388,0.645,0.923
Maurice Harkless,2017,POR,59,36,23,21.4,6.5,24.6,17,0.8,1.92,0.79,0.266,0.5,1,2.5,0.621,0.45,0.828
Matthew Dellavedova,2017,MIL,37,21,16,18.7,4.3,38.6,17,2.9,4.51,4.29,0.111,0.2,0.2,0.3,0,0,0.4
Matt Williams Jr.,2017,MIA,3,1,2,3.8,1.7,3.7,3,0.1,2.23,1.73,0.455,0,0,0,0,0,0
Matt Costello,2017,SAS,4,2,2,8,1,11,6,0.3,1.56,0.45,0.091,0.5,0.3,2,0,0,0.25
Mason Plumlee,2017,DEN,74,40,34,19.5,7.1,31.3,20.3,1.1,2.05,0.93,0.227,2.1,1.6,5.4,0.386,0.446,0.821
Marvin Williams,2017,CHA,78,33,45,25.7,9.5,45.1,23.7,0.9,1.21,0.3,0.212,1.1,0.9,1.7,0.407,0.746,0.794
Marshall Plumlee,2017,MIL,8,5,3,6.5,1.8,7.4,4.6,0.2,1.83,0.51,0.237,0.9,0.1,1.8,0.286,0,0.286
Marreese Speights,2017,ORL,52,15,37,13,7.7,25.6,17.3,0.6,1.47,0.35,0.302,0.6,1.7,0.9,0.267,0.607,0.733
Marquis Teague,2017,MEM,3,0,3,24.6,3.7,54.3,17.3,4.1,4.47,3.69,0.067,0,0,0,0,0,0
Marquese Chriss,2017,PHX,72,19,53,21.2,7.7,38.9,20.5,1,1.52,0.41,0.199,1.9,1.5,2.8,0.3,0.37,0.786
Markieff Morris,2017,WAS,73,37,36,27,11.5,38.1,25.7,1,1.57,0.53,0.302,2.4,3.5,3,0.448,0.552,0.886
Markelle Fultz,2017,PHI,14,11,3,18.1,7.1,43.6,15.3,3.7,5.02,4.7,0.164,0.5,0,1,0.571,0,1.143
Markel Brown,2017,HOU,4,4,0,7.9,1.3,10.8,4.5,0.6,3.2,2.72,0.116,0,0.3,0,0,0,0
Mario Hezonja,2017,ORL,75,21,54,22.1,9.6,35.5,21.1,1.4,2.39,1.29,0.271,0.7,0.2,1.1,0.571,0.308,0.975
